id,dish_set_id,dish_group_id,priority,material_group_id,effect_group_id,success_effect_group_id,gain_coin,gain_power,sort_order,dish_type
1,1,1,1,100,100,1,300,250,11,1
2,1,2,1,200,200,1,300,250,10,0
3,10,11,1,101,101,2,500,500,24,0
4,10,12,1,201,201,2,500,500,23,2
5,10,13,1,301,301,2,500,500,22,3
6,10,14,1,401,401,2,500,500,21,0
7,10,15,1,501,501,2,500,500,20,1
8,11,11,10,101,111,2,500,500,24,0
9,11,12,10,201,211,2,500,500,23,2
10,11,13,10,301,311,2,500,500,22,3
11,11,14,10,401,411,2,500,500,21,0
12,11,15,10,501,511,2,500,500,20,1
13,12,11,100,101,121,2,500,500,24,0
14,12,12,100,201,221,2,500,500,23,2
15,12,13,100,301,321,2,500,500,22,3
16,12,14,100,401,421,2,500,500,21,0
17,12,15,100,501,521,2,500,500,20,1
18,20,21,1,102,102,3,800,800,34,0
19,20,22,1,202,202,3,800,800,33,2
20,20,23,1,302,302,3,800,800,32,3
21,20,24,1,402,402,3,800,800,31,0
22,20,25,1,502,502,3,800,800,30,1
23,21,21,10,102,112,3,800,800,34,0
24,21,22,10,202,212,3,800,800,33,2
25,21,23,10,302,312,3,800,800,32,3
26,21,24,10,402,412,3,800,800,31,0
27,21,25,10,502,512,3,800,800,30,1
28,22,21,100,102,122,3,800,800,34,0
29,22,22,100,202,222,3,800,800,33,2
30,22,23,100,302,322,3,800,800,32,3
31,22,24,100,402,422,3,800,800,31,0
32,22,25,100,502,522,3,800,800,30,1
33,30,31,1,900,900,4,1000,1500,100,0
34,31,31,10,900,901,4,1000,1500,100,0
35,32,31,100,901,901,4,1000,1500,100,0
