id,command_group_id,material_group_id,is_success,cutt_id,prop_id
1,2000,200,0,000_01_0000,1486_00
2,2000,200,0,001_02_0201,1486_00
3,1000,100,0,000_01_0000,1487_00
4,1000,100,0,001_02_0101,1487_00
5,1010,101,0,000_01_0000,1485_00
6,1010,101,0,002_02_0000,1485_00
7,1010,101,0,002_03_0301,1485_00
8,2010,201,0,000_01_0000,1471_00
9,2010,201,0,002_02_0000,1471_00
10,2010,201,0,002_03_0401,1471_00
11,3010,301,0,000_01_0000,1473_00
12,3010,301,0,002_02_0000,1473_00
13,3010,301,0,002_03_0501,1473_00
14,4010,401,0,000_01_0000,1483_00
15,4010,401,0,002_02_0000,1483_00
16,4010,401,0,002_03_0601,1483_00
17,5010,501,0,000_01_0000,1476_00
18,5010,501,0,002_02_0000,1476_00
19,5010,501,0,002_03_0701,1476_00
20,1021,102,1,000_01_0000,1485_01
21,1021,102,1,002_02_0000,1485_01
22,1021,102,1,002_03_0302,1485_01
23,2021,202,1,000_01_0000,1471_01
24,2021,202,1,002_02_0000,1471_01
25,2021,202,1,002_03_0402,1471_01
26,3021,302,1,000_01_0000,1473_01
27,3021,302,1,002_02_0000,1473_01
28,3021,302,1,002_03_0502,1473_01
29,4021,402,1,000_01_0000,1483_01
30,4021,402,1,002_02_0000,1483_01
31,4021,402,1,002_03_0602,1483_01
32,5021,502,1,000_01_0000,1476_01
33,5021,502,1,002_02_0000,1476_01
34,5021,502,1,002_03_0702,1476_01
35,1022,102,2,000_01_0000,1485_02
36,1022,102,2,003_02_0000,1485_02
37,1022,102,2,003_03_0303,1485_02
38,2022,202,2,000_01_0000,1471_02
39,2022,202,2,003_02_0000,1471_02
40,2022,202,2,003_03_0403,1471_02
41,3022,302,2,000_01_0000,1473_02
42,3022,302,2,003_02_0000,1473_02
43,3022,302,2,003_03_0503,1473_02
44,4022,402,2,000_01_0000,1483_02
45,4022,402,2,003_02_0000,1483_02
46,4022,402,2,003_03_0603,1483_02
47,5022,502,2,000_01_0000,1476_02
48,5022,502,2,003_02_0000,1476_02
49,5022,502,2,003_03_0703,1476_02
50,9000,900,0,000_01_0000,1478_00
51,9000,900,0,003_02_0000,1478_00
52,9000,900,0,003_03_0803,1478_00
53,9010,901,0,000_01_0000,1478_00
54,9010,901,0,003_02_0000,1478_00
55,9010,901,0,003_03_0803,1478_00
