id,command_group_id,chara_type,se_cue_name,se_cuesheet_name
1,2000,1,snd_sfx_UI_cooking_eat_1000_n,snd_sfx_home_002_cooking
2,2000,2,snd_sfx_UI_cooking_eat_1000_l,snd_sfx_home_002_cooking
3,2000,3,snd_sfx_UI_cooking_eat_1000_l,snd_sfx_home_002_cooking
4,1000,1,snd_sfx_UI_cooking_eat_2000_n,snd_sfx_home_002_cooking
5,1000,2,snd_sfx_UI_cooking_eat_2000_l,snd_sfx_home_002_cooking
6,1000,3,snd_sfx_UI_cooking_eat_2000_l,snd_sfx_home_002_cooking
7,1010,1,snd_sfx_UI_cooking_eat_1010_n,snd_sfx_home_002_cooking
8,1010,2,snd_sfx_UI_cooking_eat_1010_l,snd_sfx_home_002_cooking
9,1010,3,snd_sfx_UI_cooking_eat_1010_c,snd_sfx_home_002_cooking
10,2010,1,snd_sfx_UI_cooking_eat_2010_n,snd_sfx_home_002_cooking
11,2010,2,snd_sfx_UI_cooking_eat_2010_l,snd_sfx_home_002_cooking
12,2010,3,snd_sfx_UI_cooking_eat_2010_c,snd_sfx_home_002_cooking
13,3010,1,snd_sfx_UI_cooking_eat_3010_n,snd_sfx_home_002_cooking
14,3010,2,snd_sfx_UI_cooking_eat_3010_l,snd_sfx_home_002_cooking
15,3010,3,snd_sfx_UI_cooking_eat_3010_c,snd_sfx_home_002_cooking
16,4010,1,snd_sfx_UI_cooking_eat_4010_n_l,snd_sfx_home_002_cooking
17,4010,2,snd_sfx_UI_cooking_eat_4010_l_l,snd_sfx_home_002_cooking
18,4010,3,snd_sfx_UI_cooking_eat_4010_c_l,snd_sfx_home_002_cooking
19,4010,4,snd_sfx_UI_cooking_eat_4010_n_d,snd_sfx_home_002_cooking
20,4010,5,snd_sfx_UI_cooking_eat_4010_l_d,snd_sfx_home_002_cooking
21,4010,6,snd_sfx_UI_cooking_eat_4010_c_d,snd_sfx_home_002_cooking
22,5010,1,snd_sfx_UI_cooking_eat_5010_n,snd_sfx_home_002_cooking
23,5010,2,snd_sfx_UI_cooking_eat_5010_l,snd_sfx_home_002_cooking
24,5010,3,snd_sfx_UI_cooking_eat_5010_c,snd_sfx_home_002_cooking
25,1021,1,snd_sfx_UI_cooking_eat_1021_n,snd_sfx_home_002_cooking
26,1021,2,snd_sfx_UI_cooking_eat_1021_l,snd_sfx_home_002_cooking
27,1021,3,snd_sfx_UI_cooking_eat_1021_c,snd_sfx_home_002_cooking
28,2021,1,snd_sfx_UI_cooking_eat_2021_n,snd_sfx_home_002_cooking
29,2021,2,snd_sfx_UI_cooking_eat_2021_l,snd_sfx_home_002_cooking
30,2021,3,snd_sfx_UI_cooking_eat_2021_c,snd_sfx_home_002_cooking
31,3021,1,snd_sfx_UI_cooking_eat_3021_n,snd_sfx_home_002_cooking
32,3021,2,snd_sfx_UI_cooking_eat_3021_l,snd_sfx_home_002_cooking
33,3021,3,snd_sfx_UI_cooking_eat_3021_c,snd_sfx_home_002_cooking
34,4021,1,snd_sfx_UI_cooking_eat_4021_n_l,snd_sfx_home_002_cooking
35,4021,2,snd_sfx_UI_cooking_eat_4021_l_l,snd_sfx_home_002_cooking
36,4021,3,snd_sfx_UI_cooking_eat_4021_c_l,snd_sfx_home_002_cooking
37,4021,4,snd_sfx_UI_cooking_eat_4021_n_d,snd_sfx_home_002_cooking
38,4021,5,snd_sfx_UI_cooking_eat_4021_l_d,snd_sfx_home_002_cooking
39,4021,6,snd_sfx_UI_cooking_eat_4021_c_d,snd_sfx_home_002_cooking
40,5021,1,snd_sfx_UI_cooking_eat_5021_n,snd_sfx_home_002_cooking
41,5021,2,snd_sfx_UI_cooking_eat_5021_l,snd_sfx_home_002_cooking
42,5021,3,snd_sfx_UI_cooking_eat_5021_c,snd_sfx_home_002_cooking
43,1022,1,snd_sfx_UI_cooking_eat_1022_n,snd_sfx_home_002_cooking
44,1022,2,snd_sfx_UI_cooking_eat_1022_l,snd_sfx_home_002_cooking
45,1022,3,snd_sfx_UI_cooking_eat_1022_c,snd_sfx_home_002_cooking
46,2022,1,snd_sfx_UI_cooking_eat_2022_n,snd_sfx_home_002_cooking
47,2022,2,snd_sfx_UI_cooking_eat_2022_l,snd_sfx_home_002_cooking
48,2022,3,snd_sfx_UI_cooking_eat_2022_l,snd_sfx_home_002_cooking
49,3022,1,snd_sfx_UI_cooking_eat_3022_n,snd_sfx_home_002_cooking
50,3022,2,snd_sfx_UI_cooking_eat_3022_l,snd_sfx_home_002_cooking
51,3022,3,snd_sfx_UI_cooking_eat_3022_c,snd_sfx_home_002_cooking
52,4022,1,snd_sfx_UI_cooking_eat_4022_n_l,snd_sfx_home_002_cooking
53,4022,2,snd_sfx_UI_cooking_eat_4022_l_l,snd_sfx_home_002_cooking
