id,effect_group_id,effect_type,effect_value_1,effect_value_2,effect_value_3,effect_value_4
1,100,2,25,101,102,106
2,100,203,2,0,0,0
3,200,2,25,101,105,103
4,200,203,2,0,0,0
5,101,2,40,101,0,0
6,201,2,40,105,0,0
7,301,2,40,102,0,0
8,401,2,40,103,0,0
9,501,2,40,106,0,0
10,111,2,50,101,0,0
11,211,2,50,105,0,0
12,311,2,50,102,0,0
13,411,2,50,103,0,0
14,511,2,50,106,0,0
15,121,2,60,101,0,0
16,221,2,60,105,0,0
17,321,2,60,102,0,0
18,421,2,60,103,0,0
19,521,2,60,106,0,0
20,102,2,70,101,0,0
21,102,21,25,0,0,0
22,102,201,10,0,0,0
23,202,2,70,105,0,0
24,202,21,25,0,0,0
25,202,201,10,0,0,0
26,302,2,70,102,0,0
27,302,21,25,0,0,0
28,302,201,10,0,0,0
29,402,2,70,103,0,0
30,402,21,25,0,0,0
31,402,201,10,0,0,0
32,502,2,80,106,0,0
33,502,21,25,0,0,0
34,112,2,80,101,0,0
35,112,21,30,0,0,0
36,112,201,10,0,0,0
37,212,2,80,105,0,0
38,212,21,30,0,0,0
39,212,201,10,0,0,0
40,312,2,80,102,0,0
41,312,21,30,0,0,0
42,312,201,10,0,0,0
43,412,2,80,103,0,0
44,412,21,30,0,0,0
45,412,201,10,0,0,0
46,512,2,90,106,0,0
47,512,21,30,0,0,0
48,122,2,90,101,0,0
49,122,21,35,0,0,0
50,122,201,10,0,0,0
51,222,2,90,105,0,0
52,222,21,35,0,0,0
53,222,201,10,0,0,0
54,322,2,90,102,0,0
55,322,21,35,0,0,0
56,322,201,10,0,0,0
57,422,2,90,103,0,0
58,422,21,35,0,0,0
59,422,201,10,0,0,0
60,522,2,100,106,0,0
61,522,21,35,0,0,0
62,900,2,125,0,0,0
63,900,21,60,0,0,0
64,900,201,25,0,0,0
65,900,202,1,0,0,0
66,901,2,165,0,0,0
67,901,21,80,0,0,0
68,901,201,25,0,0,0
69,901,202,1,0,0,0
