id,material_group_id,material_id,material_num
1,100,100,25
2,100,300,50
3,100,500,50
4,200,100,25
5,200,200,50
6,200,400,50
7,101,100,150
8,101,300,80
9,201,200,150
10,201,400,80
11,301,300,150
12,301,200,80
13,401,400,150
14,401,100,40
15,401,300,40
16,501,500,150
17,501,100,80
18,102,100,250
19,102,300,80
20,202,200,250
21,202,400,80
22,302,300,250
23,302,200,80
24,402,400,250
25,402,100,40
26,402,300,40
27,502,500,250
28,502,100,80
29,900,100,100
30,900,200,100
31,900,300,100
32,900,400,100
33,900,500,100
34,901,100,80
35,901,200,80
36,901,300,80
37,901,400,80
38,901,500,80
