id,month,half_type,progress,bg_id,sub_bg_id,mini_motion_group_id_min,mini_motion_group_id_max
1,1,0,1,10004,411,10,12
2,2,0,1,10004,411,10,12
3,3,1,1,10004,111,1,3
4,3,2,1,10004,511,4,6
5,4,0,1,10004,511,4,6
6,5,0,1,10004,111,1,3
7,6,0,1,10004,111,1,3
8,7,0,1,10004,111,1,3
9,8,0,1,10004,111,1,3
10,9,0,1,10004,111,1,3
11,10,0,1,10004,311,7,9
12,11,0,1,10004,311,7,9
13,12,0,1,10004,411,10,12
14,1,0,2,10004,411,22,24
15,2,0,2,10004,411,22,24
16,3,1,2,10004,111,13,15
17,3,2,2,10004,511,16,18
18,4,0,2,10004,511,16,18
19,5,0,2,10004,111,13,15
20,6,0,2,10004,111,13,15
21,7,0,2,10004,111,13,15
22,8,0,2,10004,111,13,15
23,9,0,2,10004,111,13,15
24,10,0,2,10004,311,19,21
25,11,0,2,10004,311,19,21
26,12,0,2,10004,411,22,24
27,1,0,3,10004,411,34,36
28,2,0,3,10004,411,34,36
29,3,1,3,10004,111,25,27
30,3,2,3,10004,511,28,30
31,4,0,3,10004,511,28,30
32,5,0,3,10004,111,25,27
33,6,0,3,10004,111,25,27
34,7,0,3,10004,111,25,27
35,8,0,3,10004,111,25,27
36,9,0,3,10004,111,25,27
37,10,0,3,10004,311,31,33
38,11,0,3,10004,311,31,33
39,12,0,3,10004,411,34,36
40,1,0,4,10004,411,34,36
