id,effect_group_id,effect_type,effect_value_1,effect_value_2,effect_value_3,effect_value_4
1,101,110,100,200,0,0
2,101,130,1,100,20,0
3,101,130,2,100,20,0
4,102,110,100,400,0,0
5,102,130,1,100,20,0
6,102,130,2,100,30,0
7,103,110,100,600,0,0
8,103,130,1,100,30,0
9,103,130,2,100,30,0
10,103,140,11,21,0,5
11,104,110,100,800,0,0
12,104,130,1,100,40,0
13,104,130,2,100,40,0
14,104,140,11,21,0,5
15,105,110,100,999,0,0
16,105,130,1,100,40,0
17,105,130,2,100,40,0
18,105,100,31,0,0,5
19,105,150,31,0,0,5
20,105,100,11,21,0,10
21,105,140,11,21,0,5
22,201,110,200,200,0,0
23,201,130,1,200,20,0
24,201,130,2,200,20,0
25,202,110,200,400,0,0
26,202,130,1,200,20,0
27,202,130,2,200,30,0
28,203,110,200,600,0,0
29,203,130,1,200,30,0
30,203,130,2,200,30,0
31,203,140,12,22,0,5
32,204,110,200,800,0,0
33,204,130,1,200,40,0
34,204,130,2,200,40,0
35,204,140,12,22,0,5
36,205,110,200,999,0,0
37,205,130,1,200,40,0
38,205,130,2,200,40,0
39,205,100,31,0,0,5
40,205,150,31,0,0,5
41,205,100,12,22,0,10
42,205,140,12,22,0,5
43,301,110,300,200,0,0
44,301,130,1,300,20,0
45,301,130,2,300,20,0
46,302,110,300,400,0,0
47,302,130,1,300,20,0
48,302,130,2,300,30,0
49,303,110,300,600,0,0
50,303,130,1,300,30,0
51,303,130,2,300,30,0
52,303,140,13,23,0,5
53,304,110,300,800,0,0
54,304,130,1,300,40,0
55,304,130,2,300,40,0
56,304,140,13,23,0,5
57,305,110,300,999,0,0
58,305,130,1,300,40,0
59,305,130,2,300,40,0
60,305,100,31,0,0,5
61,305,150,31,0,0,5
62,305,100,13,23,0,10
63,305,140,13,23,0,5
64,401,110,400,200,0,0
65,401,130,1,400,20,0
66,401,130,2,400,20,0
67,402,110,400,400,0,0
68,402,130,1,400,20,0
69,402,130,2,400,30,0
70,403,110,400,600,0,0
71,403,130,1,400,30,0
72,403,130,2,400,30,0
73,403,140,14,24,0,5
74,404,110,400,800,0,0
75,404,130,1,400,40,0
76,404,130,2,400,40,0
77,404,140,14,24,0,5
78,405,110,400,999,0,0
79,405,130,1,400,40,0
80,405,130,2,400,40,0
81,405,100,31,0,0,5
82,405,150,31,0,0,5
83,405,100,14,24,0,10
84,405,140,14,24,0,5
85,501,110,500,200,0,0
86,501,130,1,500,20,0
87,501,130,2,500,20,0
88,502,110,500,400,0,0
89,502,130,1,500,20,0
90,502,130,2,500,30,0
91,503,110,500,600,0,0
92,503,130,1,500,30,0
93,503,130,2,500,30,0
94,503,140,15,25,0,5
95,504,110,500,800,0,0
96,504,130,1,500,40,0
97,504,130,2,500,40,0
98,504,140,15,25,0,5
99,505,110,500,999,0,0
100,505,130,1,500,40,0
101,505,130,2,500,40,0
102,505,100,31,0,0,5
103,505,150,31,0,0,5
104,505,100,15,25,0,10
105,505,140,15,25,0,5
