id,facility_id,garden_lv,facility_lv,effect_group_id,coin_num
1,100,1,1,101,0
2,100,1,2,102,100
3,100,2,3,103,180
4,100,3,4,104,220
5,100,3,5,105,250
6,200,1,1,201,0
7,200,1,2,202,100
8,200,2,3,203,180
9,200,3,4,204,220
10,200,3,5,205,250
11,300,1,1,301,0
12,300,1,2,302,100
13,300,2,3,303,180
14,300,3,4,304,220
15,300,3,5,305,250
16,400,1,1,401,0
17,400,1,2,402,100
18,400,2,3,403,180
19,400,3,4,404,220
20,400,3,5,405,250
21,500,1,1,501,0
22,500,1,2,502,100
23,500,2,3,503,180
24,500,3,4,504,220
25,500,3,5,505,250
