id,chara_id,type,condition_type,mini_chara_motion_id
1,0,1,1,5000131
2,1001,1,2,5000401
3,1030,1,3,5000402
4,1051,1,4,5000405
5,1104,1,5,5000403
6,1028,1,6,5000404
7,0,2,1,5000132
8,1001,2,2,5000406
9,1030,2,3,5000407
10,1051,2,4,5000410
11,1104,2,5,5000408
12,1028,2,6,5000409
13,0,3,1,5000420
14,1001,3,2,5000431
15,1030,3,3,5000422
16,1051,3,4,5000422
17,1104,3,5,5000423
18,1028,3,6,5000404
19,0,4,1,5000424
20,1001,4,2,5000424
21,1030,4,3,5000424
22,1051,4,4,5000424
23,1104,4,5,5000424
24,1028,4,6,5000424
25,0,5,1,5000425
26,1001,5,2,5000426
27,1030,5,3,5000427
28,1051,5,4,5000428
29,1104,5,5,5000429
30,1028,5,6,5000430
