id,effect_group_id,condition_type,condition_value_1,condition_value_2,effect_type,effect_value_1,effect_value_2,effect_value_3,effect_value_4,priority,rate,odds
1,1,0,0,0,201,10,0,0,0,1,34,0
2,1,0,0,0,202,1,0,0,0,2,33,0
3,1,3,100,0,203,3,0,0,0,1,33,0
4,1,4,1,0,204,1,0,0,0,1,0,0
5,1,5,120,0,205,4,0,0,0,1,0,1000
6,2,0,0,0,201,10,0,0,0,1,30,1000
7,2,0,0,0,202,1,0,0,0,2,30,1000
8,2,3,100,0,203,3,0,0,0,1,0,3000
9,2,4,1,0,204,1,0,0,0,1,40,1000
10,2,5,120,0,205,4,0,0,0,1,0,1000
11,3,0,0,0,201,10,0,0,0,1,30,1500
12,3,0,0,0,202,1,0,0,0,2,20,1500
13,3,3,100,0,203,3,0,0,0,1,0,0
14,3,4,1,0,204,1,0,0,0,1,50,1500
15,3,5,120,0,205,4,0,0,0,1,0,1000
16,4,0,0,0,201,20,0,0,0,1,0,0
17,4,0,0,0,202,1,0,0,0,2,100,0
18,4,3,100,0,203,3,0,0,0,1,0,0
19,4,4,1,0,204,2,0,0,0,1,0,10000
20,4,5,120,0,205,4,0,0,0,1,0,0
