id,chara_id,chara_motion_set_id
1,1001,40000
1,1002,40001
1,1003,40000
1,1004,40002
1,1005,2001
1,1006,40003
1,1007,40004
1,1008,40005
1,1009,40006
1,1010,40007
1,1011,40008
1,1012,28009
1,1013,40009
1,1014,40000
1,1015,40065
1,1016,1016020
1,1017,40010
1,1018,40011
1,1019,26014
1,1020,1020006
1,1021,1021820
1,1022,2002
1,1023,24001
1,1024,40012
1,1025,2001
1,1026,40023
1,1027,40000
1,1028,1028802
1,1029,1029001
1,1030,40013
1,1031,28002
1,1032,40014
1,1033,1033828
1,1034,7009
1,1035,40015
1,1036,1036810
1,1037,1037802
1,1038,3002
1,1039,1039815
1,1040,1040023
1,1041,40016
1,1042,2001
1,1043,1043000
1,1044,1044815
1,1045,40017
1,1046,1046800
1,1047,1047800
1,1048,29002
1,1049,4009
1,1050,1050802
1,1051,1051007
1,1052,40010
1,1053,4009
1,1054,1054819
1,1055,1055812
1,1056,40018
1,1057,29001
1,1058,1058804
1,1059,25009
1,1060,40019
1,1061,40014
1,1062,5009
1,1063,2000
1,1064,27001
1,1065,2009
1,1066,2009
1,1067,3001
1,1068,1068809
1,1069,2001
1,1070,2009
1,1071,26001
1,1072,2000
1,1073,1073848
1,1074,4001
1,1076,1076000
1,1077,2000
1,1078,24001
1,1079,1079832
1,1080,3000
1,1081,27009
1,1082,3013
1,1083,1083800
1,1084,2009
1,1085,1019
1,1086,26013
1,1087,2000
1,1088,2000
1,1089,2002
1,1090,2001
1,1091,1091834
1,1092,3002
1,1093,2001
1,1094,28009
1,1095,27017
1,1096,1096006
1,1097,26016
1,1098,3002
1,1099,2001
1,1100,2002
1,1102,2018
1,1103,2000
1,1104,26009
1,1105,4017
1,1106,2001
1,1107,1107822
1,1108,28000
1,1109,3001
1,1110,24001
1,1111,2000
1,1112,28001
1,1113,3001
1,1114,1114851
1,1115,2017
1,1116,2013
1,1117,2000
1,1118,1118824
1,1119,4001
1,1120,1120820
1,1121,26001
1,1124,3000
1,1127,2017
1,1129,26009
1,1130,26001
1,1131,4002
1,1132,3013
1,1133,3018
1,1134,3001
1,1135,27000
1,1136,3018
1,1137,1137014
1,1143,26000
2,1001,40020
2,1002,40021
2,1003,40020
2,1004,40022
2,1005,2001
2,1006,40023
2,1007,40024
2,1008,40025
2,1009,40026
2,1010,40027
2,1011,40028
2,1012,28009
2,1013,40029
2,1014,40020
2,1015,40065
2,1016,1016020
2,1017,40030
2,1018,40031
2,1019,26014
2,1020,1020006
2,1021,1021820
2,1022,2002
2,1023,24001
2,1024,40032
2,1025,2001
2,1026,40023
2,1027,40020
2,1028,1028802
2,1029,1029001
2,1030,40013
2,1031,28002
2,1032,40034
2,1033,1033828
2,1034,7009
2,1035,40035
2,1036,1036810
2,1037,1037802
2,1038,3002
2,1039,1039815
2,1040,1040023
2,1041,40036
2,1042,2001
2,1043,1043000
2,1044,1044815
2,1045,40037
2,1046,1046800
2,1047,1047800
2,1048,29002
2,1049,4009
2,1050,1050802
2,1051,1051007
2,1052,40030
2,1053,4009
2,1054,1054819
2,1055,1055812
2,1056,40038
2,1057,29001
2,1058,1058804
2,1059,25009
2,1060,40039
2,1061,40034
2,1062,5009
2,1063,2000
2,1064,27001
2,1065,2009
2,1066,2009
2,1067,3001
2,1068,1068809
2,1069,2001
2,1070,2009
2,1071,26001
2,1072,2000
2,1073,1073848
2,1074,4001
2,1076,1076000
2,1077,2000
2,1078,24001
2,1079,1079832
2,1080,3000
