id,display_id,effect_value_condition_0,effect_value_condition_1,effect_value_condition_2,priority
1,4,0,0,0,10
2,5,0,0,0,12
3,27,0,0,0,14
4,28,0,0,0,15
5,29,0,0,0,16
6,30,0,0,0,17
7,1,11,0,0,20
8,1,10,0,0,21
9,2,10,0,0,22
10,1,20,0,0,23
11,2,20,0,0,25
12,1,1,0,0,33
13,1,2,0,0,35
14,1,3,0,0,37
15,1,4,0,0,39
16,1,5,0,0,41
17,2,1,0,0,34
18,2,2,0,0,36
19,2,3,0,0,38
20,2,4,0,0,40
21,2,5,0,0,42
22,19,0,0,0,43
23,20,0,0,0,44
24,21,0,0,0,45
25,22,0,0,0,46
26,13,0,0,0,47
27,14,0,0,0,48
28,1,51,0,0,28
29,1,52,0,0,29
30,1,53,0,0,30
31,1,54,0,0,31
32,1,55,0,0,32
33,1,30,0,0,50
34,3,0,0,0,70
35,8,0,0,0,80
36,9,0,0,0,90
49,37,0,0,0,100
50,10,0,0,0,110
56,15,0,0,0,150
57,16,0,0,0,151
58,17,101,0,0,160
59,17,105,0,0,161
60,17,102,0,0,162
61,17,103,0,0,163
62,17,106,0,0,164
63,18,0,0,0,180
64,11,0,0,0,190
65,12,0,0,0,200
66,23,0,0,0,210
67,24,0,0,0,211
68,25,0,0,0,212
69,26,0,0,0,213
70,31,0,0,0,230
71,32,0,0,0,231
72,6,0,0,0,10000
73,7,0,0,0,20000
74,34,0,0,0,49
75,35,0,0,0,11
76,36,0,0,0,13
77,39,20,0,0,24
78,38,20,0,0,26
79,40,0,0,0,105
80,33,0,0,0,214
81,41,20,0,0,27
82,42,0,0,0,106
83,43,0,0,0,107
84,44,0,0,0,215
85,46,0,0,0,185
86,45,0,0,0,216
87,47,0,0,0,217
88,48,0,0,0,218
89,49,0,0,0,219
91,51,0,0,0,170
92,52,0,0,0,171
93,53,0,0,0,172
94,54,0,0,0,173
95,55,0,0,0,19999
96,56,0,0,0,51
97,57,0,0,0,52
98,58,0,0,0,10010
99,59,0,0,0,220
