id,npc_group_id,chara_id,mob_id,race_dress_id,speed,stamina,pow,guts,wiz,proper_distance_short,proper_distance_mile,proper_distance_middle,proper_distance_long,proper_running_style_nige,proper_running_style_senko,proper_running_style_sashi,proper_running_style_oikomi,proper_ground_turf,proper_ground_dirt,skill_set_id,motivation_min,motivation_max
1,11,1,8000,8,250,147,228,225,218,5,4,1,1,6,5,4,3,6,1,8001,1,4
2,11,1,8001,8,195,176,202,133,221,6,5,1,1,6,5,4,3,6,1,8002,1,4
3,11,1,8002,8,239,129,191,201,234,7,6,1,1,6,5,4,3,6,1,8003,1,4
4,11,1,8003,8,236,125,233,203,105,5,4,1,1,6,5,4,3,6,1,8004,1,4
5,11,1,8004,8,254,226,143,110,136,6,5,1,1,6,5,4,3,6,1,0,1,4
6,11,1,8005,8,205,163,170,177,245,7,6,1,1,6,5,4,3,6,1,8001,1,4
7,11,1,8006,8,221,192,127,194,157,5,4,1,1,6,5,4,3,6,1,8002,1,4
8,11,1,8007,8,188,220,254,131,252,6,5,1,1,5,6,5,4,6,1,8006,1,4
9,11,1,8008,8,232,116,226,235,238,7,6,1,1,5,6,5,4,6,1,8007,1,4
10,11,1,8009,8,248,179,162,199,254,5,4,1,1,5,6,5,4,6,1,8008,1,4
11,11,1,8010,8,247,123,202,124,216,6,5,1,1,5,6,5,4,6,1,8009,1,4
12,11,1,8011,8,253,125,229,231,227,7,6,1,1,5,6,5,4,6,1,0,1,4
13,11,1,8012,8,191,182,236,199,187,5,4,1,1,5,6,5,4,6,1,8006,1,4
14,11,1,8013,8,237,159,208,210,242,6,5,1,1,5,6,5,4,6,1,8007,1,4
15,11,1,8014,8,225,113,187,197,167,7,6,1,1,5,6,5,4,6,1,8008,1,4
16,11,1,8015,8,234,147,202,157,181,5,4,1,1,5,6,5,4,6,1,8009,1,4
17,11,1,8016,8,187,195,228,179,235,6,5,2,1,5,6,5,4,6,1,0,1,4
18,11,1,8017,8,243,159,175,153,109,7,6,2,1,5,6,5,4,6,1,8006,1,4
19,11,1,8018,8,216,170,245,98,91,5,4,2,1,5,6,5,4,6,1,8007,1,4
20,11,1,8019,8,226,199,214,206,146,6,5,2,1,5,6,5,4,6,1,8008,1,4
21,11,1,8020,8,240,106,208,97,90,7,6,2,1,5,6,5,4,6,1,8009,1,4
22,11,1,8021,8,234,97,249,109,247,5,4,2,1,4,5,6,5,6,1,8011,1,4
23,11,1,8022,8,215,135,168,102,266,6,5,2,1,4,5,6,5,6,1,8012,1,4
24,11,1,8023,8,208,140,167,149,122,7,6,2,1,4,5,6,5,6,1,8013,1,4
25,11,1,8024,8,243,103,191,111,218,5,4,2,1,4,5,6,5,6,1,8014,1,4
26,11,1,8025,8,212,131,190,129,236,6,5,2,1,4,5,6,5,6,1,0,1,4
27,11,1,8026,8,177,104,200,216,154,7,6,2,1,4,5,6,5,6,1,8011,1,4
28,11,1,8027,8,228,134,169,102,254,5,4,2,1,4,5,6,5,6,1,8012,1,4
29,11,1,8028,8,181,132,205,103,228,6,5,2,1,4,5,6,5,6,1,8013,1,4
30,11,1,8029,8,206,104,239,124,179,7,6,2,1,4,5,6,5,6,1,8014,1,4
31,11,1,8030,8,215,205,187,136,138,5,4,2,1,4,5,6,5,6,1,0,1,4
32,11,1,8031,8,231,202,179,182,164,6,5,2,1,4,5,6,5,6,1,8011,1,4
33,11,1,8032,8,197,122,182,153,128,7,6,2,1,4,5,6,5,6,1,8012,1,4
34,11,1,8033,8,184,120,204,215,143,5,4,2,1,4,5,6,5,6,1,8013,1,4
35,11,1,8034,8,232,100,151,238,228,6,5,2,1,4,5,6,5,6,1,8014,1,4
36,11,1,8035,8,210,206,184,239,226,7,6,2,1,4,5,6,5,6,1,0,1,4
37,11,1,8036,8,174,223,239,233,113,5,4,2,1,4,5,6,5,6,1,8011,1,4
38,11,1,8037,8,200,160,202,115,89,6,5,2,1,4,5,6,5,6,1,8012,1,4
39,11,1,8038,8,189,147,223,138,242,7,6,2,1,4,5,6,5,6,1,8013,1,4
40,11,1,8039,8,219,188,238,133,129,5,4,2,1,4,5,6,5,6,1,8014,1,4
41,11,1,8040,8,176,207,246,238,166,6,5,2,1,3,4,5,6,6,1,0,1,4
42,11,1,8041,8,177,178,221,104,141,7,6,2,1,3,4,5,6,6,1,8016,1,4
43,11,1,8042,8,176,172,251,166,107,5,4,2,1,3,4,5,6,6,1,8017,1,4
44,11,1,8043,8,244,208,220,170,225,6,5,2,1,3,4,5,6,6,1,8018,1,4
45,11,1,8044,8,215,104,166,234,228,7,6,2,1,3,4,5,6,6,1,8019,1,4
46,11,1,8045,8,183,175,213,143,247,5,4,2,1,3,4,5,6,6,1,0,1,4
47,11,1,8046,8,216,98,177,96,90,6,5,2,1,3,4,5,6,6,1,8018,1,4
48,11,1,8047,8,205,107,172,189,245,7,6,2,1,3,4,5,6,6,1,8019,1,4
49,12,1,8048,8,180,115,249,214,255,4,5,4,1,6,5,4,3,6,1,8021,1,4
50,12,1,8049,8,244,177,252,207,111,5,6,5,1,6,5,4,3,6,1,8022,1,4
51,12,1,8050,8,186,180,195,228,251,6,7,6,1,6,5,4,3,6,1,8023,1,4
52,12,1,8051,8,229,148,218,200,246,4,5,4,1,6,5,4,3,6,1,8024,1,4
53,12,1,8052,8,198,114,176,253,117,5,6,5,1,6,5,4,3,6,1,0,1,4
54,12,1,8053,8,231,231,128,124,200,6,7,6,1,6,5,4,3,6,1,8021,1,4
55,12,1,8054,8,196,117,234,131,104,4,5,4,1,6,5,4,3,6,1,8022,1,4
56,12,1,8055,8,219,188,199,188,188,5,6,5,1,6,5,4,3,6,1,8023,1,4
57,12,1,8056,8,226,142,249,102,206,6,7,6,1,6,5,4,3,6,1,8024,1,4
58,12,1,8057,8,161,159,241,156,186,4,5,4,1,6,5,4,3,6,1,0,1,4
59,12,1,8058,8,236,168,175,121,228,5,6,5,1,6,5,4,3,6,1,8021,1,4
60,12,1,8059,8,170,122,242,225,245,6,7,6,1,5,6,5,4,6,1,8026,1,4
61,12,1,8060,8,153,136,134,225,104,4,5,4,1,5,6,5,4,6,1,8027,1,4
62,12,1,8061,8,229,227,177,172,104,5,6,5,1,5,6,5,4,6,1,8028,1,4
63,12,1,8062,8,192,122,170,182,172,6,7,6,1,5,6,5,4,6,1,8029,1,4
64,12,1,8063,8,169,190,174,225,151,4,5,4,1,5,6,5,4,6,1,0,1,4
65,12,1,8064,8,149,247,148,184,258,5,6,5,2,5,6,5,4,6,1,8026,1,4
66,12,1,8065,8,221,147,222,186,271,6,7,6,2,5,6,5,4,6,1,8027,1,4
67,12,1,8066,8,228,229,240,250,200,4,5,4,2,5,6,5,4,6,1,8028,1,4
68,12,1,8067,8,223,235,177,233,194,5,6,5,2,5,6,5,4,6,1,8029,1,4
69,12,1,8068,8,253,174,236,104,246,6,7,6,2,5,6,5,4,6,1,0,1,4
70,12,1,8069,8,181,135,160,103,136,4,5,4,2,5,6,5,4,6,1,8026,1,4
71,12,1,8070,8,241,243,195,102,229,5,6,5,2,5,6,5,4,6,1,8027,1,4
72,12,1,8071,8,163,119,174,212,122,6,7,6,2,5,6,5,4,6,1,8028,1,4
73,12,1,8072,8,233,109,207,213,246,4,5,4,2,5,6,5,4,6,1,8029,1,4
74,12,1,8073,8,157,133,191,166,218,5,6,5,2,5,6,5,4,6,1,0,1,4
75,12,1,8074,8,181,127,203,241,225,6,7,6,2,5,6,5,4,6,1,8026,1,4
76,12,1,8075,8,170,115,231,247,262,4,5,4,2,5,6,5,4,6,1,8027,1,4
77,12,1,8076,8,205,181,170,118,147,5,6,5,2,5,6,5,4,6,1,8028,1,4
78,12,1,8077,8,181,223,179,249,202,6,7,6,2,5,6,5,4,6,1,8029,1,4
79,12,1,8078,8,209,187,186,177,245,4,5,4,2,5,6,5,4,6,1,0,1,4
80,12,1,8079,8,154,162,210,105,166,5,6,5,2,5,6,5,4,6,1,8026,1,4
81,12,1,8080,8,228,149,161,156,143,6,7,6,2,5,6,5,4,6,1,8027,1,4
82,12,1,8081,8,157,203,234,178,221,4,5,4,2,5,6,5,4,6,1,8028,1,4
83,12,1,8082,8,208,242,208,109,264,5,6,5,2,4,5,6,5,6,1,8031,1,4
84,12,1,8083,8,203,109,253,145,174,6,7,6,2,4,5,6,5,6,1,8032,1,4
85,12,1,8084,8,175,161,149,209,153,4,5,4,2,4,5,6,5,6,1,8033,1,4
86,12,1,8085,8,227,207,177,127,259,5,6,5,2,4,5,6,5,6,1,8034,1,4
87,12,1,8086,8,179,190,240,129,135,6,7,6,2,4,5,6,5,6,1,0,1,4
88,12,1,8087,8,189,128,190,238,228,4,5,4,2,4,5,6,5,6,1,8031,1,4
89,12,1,8088,8,173,246,213,213,232,5,6,5,2,4,5,6,5,6,1,8032,1,4
90,12,1,8089,8,177,144,240,246,148,6,7,6,2,4,5,6,5,6,1,8033,1,4
91,12,1,8090,8,192,184,181,196,259,4,5,4,2,4,5,6,5,6,1,8034,1,4
92,12,1,8091,8,232,253,179,239,144,5,6,5,2,4,5,6,5,6,1,0,1,4
93,12,1,8092,8,219,207,254,188,159,6,7,6,2,4,5,6,5,6,1,8031,1,4
94,12,1,8093,8,193,225,189,167,118,4,5,4,2,4,5,6,5,6,1,8032,1,4
95,12,1,8094,8,160,180,238,121,111,5,6,5,2,4,5,6,5,6,1,8033,1,4
96,12,1,8095,8,161,239,251,214,159,6,7,6,2,4,5,6,5,6,1,8034,1,4
97,12,1,8096,8,184,168,184,142,153,4,5,4,2,4,5,6,5,6,1,0,1,4
98,12,1,8097,8,206,170,194,222,137,5,6,5,2,4,5,6,5,6,1,8031,1,4
99,12,1,8098,8,197,218,207,128,227,6,7,6,2,4,5,6,5,6,1,8032,1,4
100,12,1,8099,8,220,151,235,156,228,4,5,4,2,4,5,6,5,6,1,8033,1,4
101,12,1,8100,8,226,173,246,138,122,5,6,5,2,4,5,6,5,6,1,8034,1,4
102,12,1,8101,8,210,103,174,196,249,6,7,6,2,4,5,6,5,6,1,0,1,4
103,12,1,8102,8,196,187,210,150,220,4,5,4,2,4,5,6,5,6,1,8031,1,4
104,12,1,8103,8,229,182,234,214,117,5,6,5,2,4,5,6,5,6,1,8032,1,4
105,12,1,8104,8,221,117,181,137,243,6,7,6,2,4,5,6,5,6,1,8033,1,4
106,12,1,8105,8,206,110,240,152,226,4,5,4,2,4,5,6,5,6,1,8034,1,4
107,12,1,8106,8,163,183,228,244,228,5,6,5,2,4,5,6,5,6,1,0,1,4
108,12,1,8107,8,184,163,210,218,233,6,7,6,2,4,5,6,5,6,1,8031,1,4
109,12,1,8108,8,219,132,210,130,181,4,5,4,2,4,5,6,5,6,1,8032,1,4
110,12,1,8109,8,229,238,253,190,172,5,6,5,2,4,5,6,5,6,1,8033,1,4
111,12,1,8110,8,248,196,235,216,252,6,7,6,2,4,5,6,5,6,1,8034,1,4
112,12,1,8111,8,252,137,229,205,172,4,5,4,2,4,5,6,5,6,1,0,1,4
113,12,1,8112,8,151,205,239,122,103,5,6,5,2,4,5,6,5,6,1,8031,1,4
114,12,1,8113,8,161,213,203,251,219,6,7,6,2,4,5,6,5,6,1,8032,1,4
115,12,1,8114,8,160,176,225,116,114,4,5,4,2,3,4,5,6,6,1,8036,1,4
116,12,1,8115,8,176,188,172,246,183,5,6,5,2,3,4,5,6,6,1,8037,1,4
117,12,1,8116,8,242,162,217,197,133,6,7,6,2,3,4,5,6,6,1,8038,1,4
118,12,1,8117,8,248,205,189,238,214,4,5,4,2,3,4,5,6,6,1,8039,1,4
119,12,1,8118,8,206,238,192,131,234,5,6,5,2,3,4,5,6,6,1,0,1,4
