id,min_value,max_value
1,0,299
2,300,599
3,600,899
4,900,1299
5,1300,1799
6,1800,2299
7,2300,2899
8,2900,3499
9,3500,4899
10,4900,6499
11,6500,8199
12,8200,9999
13,10000,12099
14,12100,14499
15,14500,15899
16,15900,17499
17,17500,19199
18,19200,19599
19,19600,19999
20,20000,20399
21,20400,20799
22,20800,21199
23,21200,21599
24,21600,22099
25,22100,22499
26,22500,22999
27,23000,23399
28,23400,23899
29,23900,24299
30,24300,24799
31,24800,25299
32,25300,25799
33,25800,26299
34,26300,26799
35,26800,27299
36,27300,27799
37,27800,28299
38,28300,28799
39,28800,29399
40,29400,29899
41,29900,30399
42,30400,30999
43,31000,31499
44,31500,32099
45,32100,32699
46,32700,33199
47,33200,33799
48,33800,34399
49,34400,34999
50,35000,35599
51,35600,36199
52,36200,36799
53,36800,37499
54,37500,38099
55,38100,38699
56,38700,39399
57,39400,39999
58,40000,40699
59,40700,41299
60,41300,41999
61,42000,42699
62,42700,43399
63,43400,43999
64,44000,44699
65,44700,45399
66,45400,46199
67,46200,46899
68,46900,47599
69,47600,48299
70,48300,48999
71,49000,49799
72,49800,50499
73,50500,51299
74,51300,51999
75,52000,52799
76,52800,53599
77,53600,54399
78,54400,55199
79,55200,55899
80,55900,56699
81,56700,57499
82,57500,58399
83,58400,59199
84,59200,59999
85,60000,60799
86,60800,61699
87,61700,62499
88,62500,63399
89,63400,64199
90,64200,65099
91,65100,66399
92,66400,67699
93,67700,68999
94,69000,70299
95,70300,71599
96,71600,72899
97,72900,74399
98,74400,75999
99,76000,76599
100,76600,77199
101,77200,77799
102,77800,78499
103,78500,79099
104,79100,79699
105,79700,80399
106,80400,80999
107,81000,81699
108,81700,82299
109,82300,82999
110,83000,83599
111,83600,84299
112,84300,84899
113,84900,85599
114,85600,86199
115,86200,86699
116,86700,87299
117,87300,87899
118,87900,88499
119,88500,89099
120,89100,89699
121,89700,90299
122,90300,90899
123,90900,91399
124,91400,91999
125,92000,92599
126,92600,93199
127,93200,93799
128,93800,94399
129,94400,94999
130,95000,95599
131,95600,96299
132,96300,96899
133,96900,97499
134,97500,97999
135,98000,98499
136,98500,98999
137,99000,99599
138,99600,100099
139,100100,100599
140,100600,101099
141,101100,101699
142,101700,102199
143,102200,102699
144,102700,103199
145,103200,103799
146,103800,104299
147,104300,104799
148,104800,105399
149,105400,105899
150,105900,106399
151,106400,106899
152,106900,107499
153,107500,107999
154,108000,108499
155,108500,109099
156,109100,109599
157,109600,110099
158,110100,110699
159,110700,111199
160,111200,111799
161,111800,112299
162,112300,112799
163,112800,113399
164,113400,113899
165,113900,114399
166,114400,114999
167,115000,115499
168,115500,116099
169,116100,116599
170,116600,117099
171,117100,117699
172,117700,118199
173,118200,118799
174,118800,119299
175,119300,119899
176,119900,120399
177,120400,120999
178,121000,121499
179,121500,121999
180,122000,122599
181,122600,123099
182,123100,123699
183,123700,124199
184,124200,124799
185,124800,125299
186,125300,125899
187,125900,126399
188,126400,126999
189,127000,127499
190,127500,128099
191,128100,128699
192,128700,129199
193,129200,129799
194,129800,130299
195,130300,130899
196,130900,131399
197,131400,131999
198,132000,132499
199,132500,133099
200,133100,133699
201,133700,134199
202,134200,134799
203,134800,135299
204,135300,135899
205,135900,136499
206,136500,136999
207,137000,137599
208,137600,138099
209,138100,138699
210,138700,139299
211,139300,139799
212,139800,140399
213,140400,140999
214,141000,141499
215,141500,142099
216,142100,142699
217,142700,143199
218,143200,143799
219,143800,144399
220,144400,144899
221,144900,145499
222,145500,146099
223,146100,146599
224,146600,147199
225,147200,147799
226,147800,148399
227,148400,148899
228,148900,149499
229,149500,150099
230,150100,150699
231,150700,151199
232,151200,151799
233,151800,152399
234,152400,152999
235,153000,153499
236,153500,154099
237,154100,154699
238,154700,155299
239,155300,155899
240,155900,156399
241,156400,156999
242,157000,157599
243,157600,158199
244,158200,158799
245,158800,159299
246,159300,159899
247,159900,160499
248,160500,161099
249,161100,161699
250,161700,162299
251,162300,162899
252,162900,163399
253,163400,163999
254,164000,164599
255,164600,165199
256,165200,165799
257,165800,166399
258,166400,166999
259,167000,167599
260,167600,168199
261,168200,168699
262,168700,169299
263,169300,169899
264,169900,170499
265,170500,171099
266,171100,171699
267,171700,172299
268,172300,172899
269,172900,173499
270,173500,174099
271,174100,174699
272,174700,175299
273,175300,175899
274,175900,176499
275,176500,177099
276,177100,177699
277,177700,178299
278,178300,178899
279,178900,179499
280,179500,180099
281,180100,180699
282,180700,181299
283,181300,181899
284,181900,182499
285,182500,183099
286,183100,183699
287,183700,184299
288,184300,184899
289,184900,185499
290,185500,186199
291,186200,186799
292,186800,187399
293,187400,187999
294,188000,188599
295,188600,189199
296,189200,189799
297,189800,190399
298,190400,999999
