id,reward_set_id,order_min,order_max,reward_type,bonus,odds,item_category,item_id,item_num
1,1,1,18,1,0,1000000,91,59,200
3,2,1,18,1,0,1000000,91,59,200
5,3,1,18,1,0,1000000,91,59,200
8,401,1,1,2,5,400000,91,59,400
9,401,1,1,2,5,50000,90,43,5
10,401,1,1,2,5,10000,97,115,1
12,401,1,1,2,4,400000,91,59,400
14,401,1,1,2,3,400000,91,59,400
16,401,1,1,2,2,400000,91,59,400
18,401,1,1,2,1,400000,91,59,400
20,401,1,18,1,0,1000000,91,59,400
21,401,1,1,1,0,1000000,11,1,1
23,402,1,1,2,5,400000,91,59,400
24,402,1,1,2,5,50000,90,43,5
25,402,1,1,2,5,10000,97,115,1
27,402,1,1,2,4,400000,91,59,400
29,402,1,1,2,3,400000,91,59,400
31,402,1,1,2,2,400000,91,59,400
33,402,1,1,2,1,400000,91,59,400
35,402,1,18,1,0,1000000,91,59,400
36,402,1,1,1,0,1000000,11,4,1
38,403,1,1,2,5,400000,91,59,400
39,403,1,1,2,5,50000,90,43,5
40,403,1,1,2,5,10000,97,115,1
42,403,1,1,2,4,400000,91,59,400
44,403,1,1,2,3,400000,91,59,400
46,403,1,1,2,2,400000,91,59,400
48,403,1,1,2,1,400000,91,59,400
50,403,1,18,1,0,1000000,91,59,400
51,403,1,1,1,0,1000000,11,7,1
53,404,1,1,2,5,400000,91,59,400
54,404,1,1,2,5,50000,90,43,5
55,404,1,1,2,5,10000,97,115,1
57,404,1,1,2,4,400000,91,59,400
59,404,1,1,2,3,400000,91,59,400
61,404,1,1,2,2,400000,91,59,400
63,404,1,1,2,1,400000,91,59,400
65,404,1,18,1,0,1000000,91,59,400
66,404,1,1,1,0,1000000,11,10,1
68,405,1,1,2,5,400000,91,59,400
69,405,1,1,2,5,50000,90,43,5
70,405,1,1,2,5,10000,97,115,1
72,405,1,1,2,4,400000,91,59,400
74,405,1,1,2,3,400000,91,59,400
76,405,1,1,2,2,400000,91,59,400
78,405,1,1,2,1,400000,91,59,400
80,405,1,18,1,0,1000000,91,59,400
81,405,1,1,1,0,1000000,11,13,1
83,501,1,1,2,5,400000,91,59,400
84,501,1,1,2,5,50000,90,43,5
85,501,1,1,2,5,10000,97,115,1
87,501,1,1,2,4,400000,91,59,400
89,501,1,1,2,3,400000,91,59,400
91,501,1,1,2,2,400000,91,59,400
93,501,1,1,2,1,400000,91,59,400
95,501,1,18,1,0,1000000,91,59,400
96,501,1,1,1,0,1000000,11,1,1
98,502,1,1,2,5,400000,91,59,400
99,502,1,1,2,5,50000,90,43,5
100,502,1,1,2,5,10000,97,115,1
102,502,1,1,2,4,400000,91,59,400
104,502,1,1,2,3,400000,91,59,400
106,502,1,1,2,2,400000,91,59,400
108,502,1,1,2,1,400000,91,59,400
110,502,1,18,1,0,1000000,91,59,400
111,502,1,1,1,0,1000000,11,4,1
113,503,1,1,2,5,400000,91,59,400
114,503,1,1,2,5,50000,90,43,5
115,503,1,1,2,5,10000,97,115,1
117,503,1,1,2,4,400000,91,59,400
119,503,1,1,2,3,400000,91,59,400
121,503,1,1,2,2,400000,91,59,400
123,503,1,1,2,1,400000,91,59,400
125,503,1,18,1,0,1000000,91,59,400
126,503,1,1,1,0,1000000,11,7,1
128,504,1,1,2,5,400000,91,59,400
129,504,1,1,2,5,50000,90,43,5
130,504,1,1,2,5,10000,97,115,1
132,504,1,1,2,4,400000,91,59,400
134,504,1,1,2,3,400000,91,59,400
136,504,1,1,2,2,400000,91,59,400
138,504,1,1,2,1,400000,91,59,400
140,504,1,18,1,0,1000000,91,59,400
141,504,1,1,1,0,1000000,11,10,1
143,505,1,1,2,5,400000,91,59,400
144,505,1,1,2,5,50000,90,43,5
145,505,1,1,2,5,10000,97,115,1
147,505,1,1,2,4,400000,91,59,400
149,505,1,1,2,3,400000,91,59,400
151,505,1,1,2,2,400000,91,59,400
153,505,1,1,2,1,400000,91,59,400
155,505,1,18,1,0,1000000,91,59,400
156,505,1,1,1,0,1000000,11,13,1
157,100101,1,1,2,5,400000,91,59,400
159,100101,1,1,2,5,50000,90,43,5
160,100101,1,1,2,5,10000,97,115,1
161,100101,1,1,2,4,400000,91,59,400
163,100101,1,1,2,3,400000,91,59,400
165,100101,1,1,2,2,400000,91,59,400
167,100101,1,1,2,1,400000,91,59,400
169,100101,1,1,1,0,1000000,11,69,1
170,100101,1,18,1,0,1000000,91,59,400
172,100101,1,1,1,0,1000000,11,13,1
173,100201,1,1,2,5,400000,91,59,400
175,100201,1,1,2,5,50000,90,43,5
176,100201,1,1,2,5,10000,97,115,1
177,100201,1,1,2,4,400000,91,59,400
179,100201,1,1,2,3,400000,91,59,400
