id,race_set_id,scenario_group_id,target_type,sort_id,turn,race_type,condition_type,condition_id,condition_value_1,condition_value_2,determine_race,determine_race_flag,alt_determine_race,alt_determine_race_flag,determine_race_for_generate
1,1001,100,1,1,12,0,1,1069,0,0,0,0,0,0,0
2,1001,100,1,2,27,0,1,181,5,0,0,0,0,0,0
3,1001,100,1,3,34,0,1,166,5,0,0,0,0,0,0
4,1001,100,1,4,44,0,1,168,3,0,0,0,0,0,0
5,1001,100,1,5,56,0,1,4,3,0,0,0,0,0,0
6,1001,100,1,6,70,0,1,79,2,0,0,0,0,0,0
7,1001,100,1,7,72,0,1,81,1,0,0,0,0,0,0
8,1001,701,3,8,74,1,1,10001,1,0,0,0,0,0,0
9,1001,701,3,9,76,2,1,10002,1,0,0,0,0,0,0
10,1001,701,3,10,78,3,1,10003,1,0,0,0,0,0,0
11,1006,100,1,1,12,0,1,1070,0,0,0,0,0,0,0
12,1006,100,1,2,24,0,3,0,3000,0,0,0,0,0,0
13,1006,100,1,3,33,0,1,164,5,0,0,0,0,0,0
14,1006,100,1,4,46,0,1,78,3,0,0,0,0,0,0
15,1006,100,1,5,48,0,1,81,3,0,0,0,0,0,0
16,1006,100,1,6,60,0,2,100,3,2,0,0,0,0,0
17,1006,100,1,7,68,0,1,76,1,0,0,0,0,0,0
18,1006,100,1,8,72,0,1,81,1,0,0,0,0,0,0
19,1006,701,3,9,74,1,1,10001,1,0,0,0,0,0,0
20,1006,701,3,10,76,2,1,10002,1,0,0,0,0,0,0
21,1006,701,3,11,78,3,1,10003,1,0,0,0,0,0,0
22,1009,100,1,1,12,0,1,1067,0,0,0,0,0,0,0
23,1009,100,1,2,29,0,1,185,5,0,0,0,0,0,0
24,1009,100,1,3,31,0,1,162,5,0,0,0,0,0,0
25,1009,100,1,4,34,0,1,165,5,0,1,0,1,0,0
26,1009,100,1,5,44,0,1,167,3,0,0,0,0,0,0
27,1009,100,1,6,45,0,1,77,3,0,0,0,0,0,0
28,1009,100,1,7,54,0,1,3,3,0,0,0,0,0,0
29,1009,100,1,8,68,0,1,76,1,0,0,0,0,0,0
30,1009,100,1,9,72,0,1,81,1,0,0,0,0,0,0
31,1009,701,3,10,74,1,1,10001,1,0,0,0,0,0,0
32,1009,701,3,11,76,2,1,10002,1,0,0,0,0,0,0
33,1009,701,3,12,78,3,1,10003,1,0,0,0,0,0,0
34,1010,100,1,1,12,0,1,846,0,0,0,0,0,0,0
35,1010,100,1,2,25,0,1,178,5,0,0,0,0,0,0
36,1010,100,1,3,33,0,1,164,5,0,0,0,0,0,0
37,1010,100,1,4,36,0,1,189,5,0,0,0,0,0,0
38,1010,100,1,5,46,0,1,78,3,0,0,0,0,0,0
39,1010,100,1,6,59,0,1,73,1,0,0,0,0,0,0
40,1010,100,1,7,66,0,1,75,1,0,0,0,0,0,0
41,1010,100,1,8,70,0,1,78,1,0,0,0,0,0,0
42,1010,701,3,9,74,1,1,10001,1,0,0,0,0,0,0
43,1010,701,3,10,76,2,1,10002,1,0,0,0,0,0,0
44,1010,701,3,11,78,3,1,10003,1,0,0,0,0,0,0
45,1013,100,1,1,12,0,1,1069,0,0,0,0,0,0,0
46,1013,100,1,2,24,0,3,0,3000,0,0,0,0,0,0
47,1013,100,1,3,42,0,1,84,3,0,0,0,0,0,0
48,1013,100,1,4,44,0,1,168,3,0,0,0,0,0,0
49,1013,100,1,5,56,0,1,4,1,0,0,0,0,0,0
50,1013,100,1,6,60,0,1,1071,2,0,0,0,0,0,0
51,1013,100,1,7,68,0,1,76,1,0,0,0,0,0,0
52,1013,701,3,8,74,1,1,10001,1,0,0,0,0,0,0
53,1013,701,3,9,76,2,1,10002,1,0,0,0,0,0,0
54,1013,701,3,10,78,3,1,10003,1,0,0,0,0,0,0
55,1052,100,1,1,12,0,1,831,0,0,0,0,0,0,0
56,1052,100,1,2,37,0,3,0,5000,0,0,0,0,0,0
57,1052,100,1,3,45,0,3,0,9000,0,0,0,0,0,0
58,1052,100,1,4,48,0,3,0,12000,0,0,0,0,0,0
59,1052,100,1,5,50,0,1,22,5,0,0,0,0,0,0
60,1052,100,1,6,52,0,1,1,5,0,0,0,0,0,0
61,1052,100,1,7,63,0,1,106,5,0,0,0,0,0,0
62,1052,100,1,8,69,4,1,20002,1,0,0,0,0,0,0
63,1052,100,1,9,72,0,1,81,0,0,0,0,0,0,0
64,1052,701,3,10,74,1,1,10001,1,0,0,0,0,0,0
65,1052,701,3,11,76,2,1,10002,1,0,0,0,0,0,0
66,1052,701,3,12,78,3,1,10003,1,0,0,0,0,0,0
67,1030,100,1,1,12,0,1,931,0,0,0,0,0,0,0
68,1030,100,1,2,30,0,1,171,5,0,0,0,0,0,0
69,1030,100,1,3,34,0,1,166,5,0,0,0,0,0,0
70,1030,100,1,4,44,0,1,168,3,0,0,0,0,0,0
71,1030,100,1,5,54,0,1,13,3,0,0,0,0,0,0
72,1030,100,1,6,56,0,1,4,1,0,0,0,0,0,0
73,1030,100,1,7,60,0,1,1071,3,0,0,0,0,0,0
74,1030,100,1,8,72,0,1,81,1,0,0,0,0,0,0
75,1030,701,3,9,74,1,1,10001,1,0,0,0,0,0,0
76,1030,701,3,10,76,2,1,10002,1,0,0,0,0,0,0
77,1030,701,3,11,78,3,1,10003,1,0,0,0,0,0,0
78,1003,100,1,1,12,0,1,1065,0,0,0,0,0,0,0
79,1003,100,1,2,26,0,1,195,3,0,0,0,0,0,0
80,1003,100,1,3,31,0,1,163,5,0,0,0,0,0,0
81,1003,100,1,4,34,0,1,166,5,0,0,0,0,0,0
82,1003,100,1,5,44,0,1,168,3,0,0,0,0,0,0
83,1003,100,1,6,56,0,1,4,3,0,0,0,0,0,0
84,1003,100,1,7,70,0,1,79,2,0,0,0,0,0,0
85,1003,100,1,8,72,0,1,81,1,0,0,0,0,0,0
86,1003,701,3,9,74,1,1,10001,1,0,0,0,0,0,0
87,1003,701,3,10,76,2,1,10002,1,0,0,0,0,0,0
88,1003,701,3,11,78,3,1,10003,1,0,0,0,0,0,0
89,1056,100,1,1,12,0,1,1069,0,0,0,0,0,0,0
90,1056,100,1,2,29,0,1,169,5,0,3,105601,3,105601,0
91,1056,100,1,3,34,0,1,166,5,0,0,0,0,0,0
92,1056,100,1,4,44,0,1,168,3,0,0,0,0,0,0
93,1056,100,1,5,53,0,1,11,3,0,0,0,0,0,0
94,1056,100,1,6,60,0,1,74,3,0,0,0,0,0,0
95,1056,100,1,7,63,0,1,104,2,0,3,105605,3,105605,0
96,1056,100,1,8,72,0,1,81,1,0,0,0,0,0,0
97,1056,701,3,9,74,1,1,10001,1,0,0,0,0,0,0
98,1056,701,3,10,76,2,1,10002,1,0,0,0,0,0,0
99,1056,701,3,11,78,3,1,10003,1,0,0,0,0,0,0
100,1011,100,1,1,12,0,1,685,0,0,0,0,0,0,0
101,1011,100,1,2,23,0,1,624,5,0,0,0,0,0,0
102,1011,100,1,3,34,0,1,166,5,0,0,0,0,0,0
103,1011,100,1,4,46,0,1,79,5,0,0,0,0,0,0
104,1011,100,1,5,48,0,1,81,3,0,0,0,0,0,0
105,1011,100,1,6,60,0,1,74,3,0,0,0,0,0,0
106,1011,100,1,7,67,0,1,86,1,0,0,0,0,0,0
107,1011,100,1,8,72,0,1,81,1,0,0,0,0,0,0
108,1011,701,3,9,74,1,1,10001,1,0,0,0,0,0,0
109,1011,701,3,10,76,2,1,10002,1,0,0,0,0,0,0
110,1011,701,3,11,78,3,1,10003,1,0,0,0,0,0,0
111,1002,100,1,1,12,0,1,1069,0,0,0,0,0,0,0
112,1002,100,1,2,27,0,3,0,5000,0,0,0,0,0,0
113,1002,100,1,3,29,0,1,169,5,0,0,0,0,0,0
114,1002,100,1,4,42,0,1,84,3,0,0,0,0,0,0
115,1002,100,1,5,53,0,1,11,1,0,0,0,0,0,0
116,1002,100,1,6,60,0,1,74,3,0,0,0,0,0,0
117,1002,100,1,7,67,0,1,86,1,0,0,0,0,0,0
118,1002,100,1,8,68,0,1,76,1,0,0,0,0,0,0
119,1002,701,3,9,74,1,1,10001,1,0,0,0,0,0,0
120,1002,701,3,10,76,2,1,10002,1,0,0,0,0,0,0
121,1002,701,3,11,78,3,1,10003,1,0,0,0,0,0,0
122,1045,100,1,1,12,0,1,1069,0,0,0,0,0,0,0
123,1045,100,1,2,28,0,1,199,3,0,0,0,0,0,0
124,1045,100,1,3,44,0,1,168,3,0,0,0,0,0,0
125,1045,100,1,4,48,0,1,81,3,0,0,0,0,0,0
126,1045,100,1,5,54,0,1,3,3,0,0,0,0,0,0
127,1045,100,1,6,56,0,1,4,3,0,0,0,0,0,0
