id,sort_id,scenario_image_id,prologue_id,turn_set_id,hint_rate,start_date,end_date,additional_icon_set_id,bg_id,bg_sub_id,bg_offset_x,sec_bg_id,sec_bg_sub_id,label_font_color,label_bg_color,chara_program_change_flag,max_speed,max_stamina,max_pow,max_guts,max_wiz,gimmick_discount_rate,skill_upgrade_num,upper_limit_speed,upper_limit_stamina,upper_limit_pow,upper_limit_guts,upper_limit_wiz,max_skill_point
1,1,1,80000001,1,0,1577804400,2524575600,0,5,5110,375,37,110,FFFFFF,9CD127,0,200,200,200,200,200,5000,0,2000,2000,2000,2000,2000,9999
2,2,2,80000002,2,0,1630292400,2524575600,0,124,2111,0,79,110,FFFFFF,18B1FF,0,100,100,100,100,600,5000,0,2000,2000,2000,2000,2000,9999
3,4,3,80000003,3,0,1661310000,2524575600,0,120,132,0,133,110,FFFFFF,B08FFF,0,400,100,100,300,100,5000,0,2000,2000,2000,2000,2000,9999
4,3,4,80000004,4,0,1645671600,2524575600,0,24,110,0,56,111,FFFFFF,EABA00,1,0,700,0,0,300,5000,0,2000,2000,2000,2000,2000,9999
5,5,5,80000005,5,0,1677207600,2524575600,5,50,0,0,50,0,FFFFFF,fb5f5f,0,300,200,300,100,100,5000,0,2000,2000,2000,2000,2000,9999
6,6,6,80000006,6,0,1692846000,2524575600,0,243,2110,0,243,2111,FFFFFF,4B84F4,1,400,400,300,300,100,5000,0,2000,2000,2000,2000,2000,9999
7,7,7,80000007,7,0,1708743600,2524575600,0,264,110,0,264,110,FFFFFF,fc6625,0,500,300,300,300,100,5000,2,2000,2000,2000,2000,2000,9999
8,8,8,80000008,8,0,1719370800,2524575600,0,57,110,-300,11,110,FFFFFF,22C74A,0,550,-200,500,500,150,5000,2,2000,2000,2000,2000,2000,9999
9,9,9,80000009,9,0,1730170800,2524575600,0,303,110,0,303,110,FFFFFF,0ce2d6,0,550,500,300,100,100,5000,2,2000,2000,2000,2000,2000,9999
10,10,10,80000010,10,0,1740366000,2524575600,0,324,110,127,324,110,FFFFFF,D0C36B,2,650,400,400,300,250,5000,2,2000,2000,2000,2000,2000,9999
11,11,11,80000011,11,0,1750993200,2524575600,0,339,110,375,339,110,FFFFFF,D9733C,0,650,500,500,400,100,5000,2,2000,2000,2000,2000,2000,9999
12,12,12,80000012,12,0,1761706800,2524575600,0,362,110,0,362,110,FFFFFF,FFAD01,0,700,600,500,500,200,5000,2,2000,2000,2000,2000,2000,9999
13,13,13,80000013,13,0,1771902000,2524575600,0,371,110,-100,371,110,FFFFFF,8568d7,1,900,500,500,500,600,5000,2,2500,2500,2500,2500,2500,99999
14,14,14,80000014,14,0,1782702000,2524575600,0,381,29110,-130,381,29110,FFFFFF,F9684B,0,950,600,500,500,600,5000,2,2500,2500,2500,2500,2500,99999
