id,group_id,scenario_id
1,1,1
2,2,2
3,3,3
4,4,4
5,5,5
6,6,6
7,7,7
8,8,8
9,9,9
10,10,10
11,11,11
12,12,12
13,13,13
14,14,14
101,100,1
102,100,2
103,100,3
104,100,4
105,100,5
106,100,6
107,100,7
108,100,8
109,100,9
110,100,10
111,100,11
112,100,12
113,100,13
114,100,14
601,601,4
602,601,6
603,601,10
604,601,13
701,701,1
702,701,2
703,701,3
704,701,6
705,701,7
706,701,8
707,701,9
709,701,11
710,701,12
712,701,14
801,801,1
802,801,2
803,801,3
805,801,5
807,801,7
808,801,8
809,801,9
811,801,11
812,801,12
814,801,14
901,901,2
902,901,3
904,901,7
905,901,8
906,901,9
908,901,11
909,901,12
911,901,14
1801,1801,1
1802,1801,2
1803,1801,3
1804,1801,5
1805,1801,7
1806,1801,8
1807,1801,9
1808,1801,10
1809,1801,11
1810,1801,12
1811,1801,13
1812,1801,14
1901,1901,1
1902,1901,2
1903,1901,3
1904,1901,4
1905,1901,5
1906,1901,7
1907,1901,8
1908,1901,9
1909,1901,10
1910,1901,11
1911,1901,12
1913,1901,14
