id,scenario_id,need_record_min,reward_item_category,reward_item_id,reward_num
1,1,4000,91,59,20000
2,1,5000,91,59,40000
3,1,6000,40,41,1
4,1,7000,40,111,1
5,1,8000,97,115,10
6,1,10000,90,43,300
7,1,12000,40,136,1
8,1,14000,93,44,6
9,1,16000,55,501101,1
10,2,4000,91,59,20000
11,2,5000,91,59,40000
12,2,6000,40,41,1
13,2,7000,40,111,1
14,2,8000,97,115,10
15,2,10000,90,43,300
16,2,12000,40,136,1
17,2,14000,93,44,6
18,2,16000,55,502101,1
19,4,4000,91,59,20000
20,4,5000,91,59,40000
21,4,6000,40,41,1
22,4,7000,40,111,1
23,4,8000,97,115,10
24,4,10000,90,43,300
25,4,12000,40,136,1
26,4,14000,93,44,6
27,4,16000,55,504101,1
28,3,4000,91,59,20000
29,3,5000,91,59,40000
30,3,6000,40,41,1
31,3,7000,40,111,1
32,3,8000,97,115,10
33,3,10000,90,43,300
34,3,12000,40,136,1
35,3,14000,93,44,6
36,3,16000,55,503101,1
37,5,4000,91,59,20000
38,5,5000,91,59,40000
39,5,6000,40,41,1
40,5,7000,40,111,1
41,5,8000,97,115,10
42,5,10000,90,43,300
43,5,12000,40,136,1
44,5,14000,93,44,6
45,5,16000,55,505101,1
46,6,4000,91,59,20000
47,6,5000,91,59,40000
48,6,6000,40,41,1
49,6,7000,40,111,1
50,6,8000,97,115,10
51,6,10000,40,193,1
52,6,12000,40,194,1
53,6,14000,93,44,40
54,6,16000,90,43,300
55,6,18000,164,150,1
56,6,20000,164,149,1
57,6,22000,55,506101,1
58,6,24000,164,150,1
59,6,26000,164,149,1
60,6,28000,40,192,1
61,7,4000,91,59,20000
62,7,5000,91,59,40000
63,7,6000,40,41,1
64,7,7000,40,111,1
65,7,8000,97,115,10
66,7,10000,40,220,1
67,7,12000,40,221,1
68,7,14000,93,44,40
69,7,16000,90,43,300
70,7,18000,164,150,1
71,7,20000,164,149,1
72,7,22000,55,507101,1
73,7,24000,164,150,1
74,7,26000,164,149,1
75,7,28000,40,219,1
76,8,4000,91,59,20000
77,8,5000,91,59,40000
78,8,6000,40,41,1
79,8,7000,40,111,1
80,8,8000,97,115,10
81,8,10000,40,220,1
82,8,12000,40,221,1
83,8,14000,93,44,40
84,8,16000,90,43,300
85,8,18000,164,150,1
86,8,20000,164,149,1
87,8,22000,55,508101,1
88,8,24000,164,150,1
89,8,26000,164,149,1
90,8,28000,40,219,1
91,9,4000,91,59,20000
92,9,5000,91,59,40000
93,9,6000,40,41,1
94,9,7000,40,111,1
95,9,8000,97,115,10
96,9,10000,40,220,1
97,9,12000,40,221,1
98,9,14000,93,44,40
99,9,16000,90,43,300
100,9,18000,164,150,1
101,9,20000,164,149,1
102,9,22000,55,509101,1
103,9,24000,164,150,1
104,9,26000,164,149,1
105,9,28000,40,219,1
106,10,20000,91,59,20000
107,10,21000,91,59,40000
108,10,22000,40,41,1
109,10,23000,40,111,1
110,10,24000,97,115,10
111,10,25000,40,236,1
112,10,26000,40,237,1
113,10,28000,93,44,40
114,10,30000,90,43,300
115,10,32000,164,150,1
116,10,34000,164,149,1
117,10,36000,55,510101,1
118,10,38000,164,150,1
119,10,40000,164,149,1
120,10,42000,40,235,1
121,11,20000,91,59,20000
122,11,21000,91,59,40000
123,11,22000,40,41,1
124,11,23000,40,111,1
125,11,24000,97,115,10
126,11,25000,40,236,1
127,11,26000,40,237,1
128,11,28000,93,44,40
129,11,30000,90,43,300
130,11,32000,164,150,1
131,11,34000,164,149,1
132,11,36000,55,511101,1
133,11,38000,164,150,1
134,11,40000,164,149,1
135,11,42000,40,235,1
136,12,20000,91,59,20000
137,12,21000,91,59,40000
138,12,22000,40,41,1
139,12,23000,40,111,1
140,12,24000,97,115,10
141,12,25000,40,236,1
142,12,26000,40,237,1
143,12,28000,93,44,40
144,12,30000,90,43,300
145,12,32000,164,150,1
146,12,34000,164,149,1
147,12,36000,55,512101,1
148,12,38000,164,150,1
149,12,40000,164,149,1
150,12,42000,40,235,1
151,13,20000,91,59,20000
152,13,21000,91,59,40000
153,13,22000,40,41,1
154,13,23000,40,111,1
155,13,24000,97,115,10
156,13,25000,40,240,1
157,13,26000,40,241,1
158,13,28000,93,44,40
159,13,30000,90,43,300
160,13,32000,164,150,1
161,13,34000,164,149,1
162,13,36000,55,513101,1
163,13,38000,164,150,1
164,13,40000,164,149,1
165,13,42000,40,239,1
166,14,20000,91,59,20000
167,14,21000,91,59,40000
168,14,22000,40,41,1
169,14,23000,40,111,1
170,14,24000,97,115,10
171,14,25000,40,240,1
172,14,26000,40,241,1
173,14,28000,93,44,40
174,14,30000,90,43,300
175,14,32000,164,150,1
176,14,34000,164,149,1
177,14,36000,55,514101,1
178,14,38000,164,150,1
179,14,40000,164,149,1
180,14,42000,40,239,1
