id,support_card_id,chara_id,race_dress_id,live_dress_id,tag_support_card_id,speed,stamina,pow,guts,wiz,proper_distance_short,proper_distance_mile,proper_distance_middle,proper_distance_long,proper_running_style_nige,proper_running_style_senko,proper_running_style_sashi,proper_running_style_oikomi,proper_ground_turf,proper_ground_dirt,speed_limit,stamina_limit,pow_limit,guts_limit,wiz_limit
1,10001,1001,100101,100101,10001,133,138,148,140,141,2,5,7,7,1,7,7,5,7,1,710,700,710,750,700
2,10002,1002,100201,100201,10002,151,134,127,150,138,4,7,7,3,7,5,3,1,7,1,750,700,720,700,700
3,10003,1003,100301,100301,10003,140,139,133,142,146,2,3,7,6,4,7,5,3,7,1,750,700,720,700,700
4,10004,1004,100401,100401,10004,146,118,136,150,150,6,7,6,5,7,3,1,1,7,4,750,700,720,700,700
5,10005,1006,100601,100601,10005,151,116,156,134,143,3,7,7,6,2,7,7,4,7,6,700,720,750,700,700
6,10006,1007,100701,100701,10006,137,151,155,131,126,1,5,7,7,1,6,6,7,7,1,700,750,700,720,700
7,10007,1008,100801,100801,10007,152,114,161,129,144,2,7,7,2,5,6,7,2,7,1,700,720,750,700,700
8,10008,1010,101001,101001,10008,146,121,148,143,142,7,7,3,1,5,7,3,1,7,5,750,700,720,700,700
9,10009,1011,101101,101101,10009,146,124,155,129,146,1,7,6,7,2,7,7,2,7,1,710,700,710,750,700
10,10010,1013,101301,101301,10010,121,161,121,153,144,1,2,7,7,6,7,4,2,7,3,700,750,700,720,700
11,10011,1014,101401,101401,10011,140,130,135,149,146,2,7,7,6,3,7,7,5,7,6,700,720,750,700,700
12,10012,1015,101,101,10012,125,158,125,152,140,1,3,7,7,5,7,7,1,7,3,700,750,700,720,700
13,10013,1017,101701,101701,10013,136,141,133,146,144,3,5,7,7,6,7,7,5,7,1,720,700,700,700,750
14,10014,1020,101,101,10014,148,148,138,133,133,1,5,7,7,7,6,4,3,7,1,700,750,700,720,700
15,10015,1030,103001,103001,10015,121,167,120,152,140,3,5,7,7,6,7,5,1,7,1,700,750,700,720,700
16,10016,1035,103501,103501,10016,148,126,152,133,141,1,2,7,6,1,6,7,1,7,1,710,700,710,750,700
17,10017,1040,101,101,10017,139,142,144,142,133,2,7,6,6,2,7,7,2,7,4,750,700,720,700,700
18,10018,1041,104101,104101,10018,148,110,155,145,142,7,6,1,1,7,7,2,1,7,1,750,700,720,700,700
19,10019,1045,104501,104501,10019,119,156,125,156,144,1,1,7,7,4,7,6,1,7,1,700,750,700,720,700
20,10020,1052,105201,105201,10020,144,115,150,147,144,7,6,1,1,1,1,7,5,1,7,710,700,710,750,700
23,10023,1009,100901,100901,10023,139,131,134,150,146,2,7,7,6,7,7,3,1,7,1,720,700,700,700,750
24,10024,1012,101,101,10024,143,134,155,132,136,4,7,7,6,1,6,5,7,7,3,700,720,750,700,700
25,10025,1018,101801,101801,10025,141,136,136,142,145,5,6,7,3,4,7,7,1,7,1,710,700,710,750,700
26,10026,1019,101,101,10026,135,141,133,150,141,2,7,7,1,1,7,7,6,7,7,700,720,750,700,700
27,10027,1021,101,101,10027,146,132,149,129,144,1,2,7,7,1,7,6,7,7,3,700,750,700,720,700
28,10028,1022,101,101,10028,141,135,138,138,148,2,7,7,5,4,7,5,3,7,1,720,700,700,700,750
29,10029,1023,101,101,10029,135,143,132,143,147,2,5,7,7,3,7,6,3,7,2,700,720,750,700,700
30,10030,1024,102401,102401,10030,127,156,121,151,145,4,4,7,7,7,7,6,5,7,3,700,750,700,720,700
31,10031,1025,101,101,10031,133,148,144,136,139,1,1,5,7,1,5,7,5,7,1,700,750,700,720,700
32,10032,1026,101,101,10032,146,122,142,152,138,5,6,7,6,7,3,1,1,7,1,700,720,750,700,700
33,10033,1027,102701,102701,10033,148,124,156,130,142,3,5,7,6,2,7,7,2,7,1,700,720,750,700,700
34,10034,1029,101,101,10034,139,142,130,148,141,5,7,7,5,5,7,2,1,7,4,710,700,710,750,700
35,10035,1031,101,101,10035,147,142,132,144,135,2,7,7,3,7,7,1,1,7,1,710,700,710,750,700
36,10036,1032,103201,103201,10036,142,135,135,138,150,1,4,7,6,3,7,6,2,7,1,720,700,700,700,750
37,10037,1036,101,101,10037,152,132,152,121,143,2,5,7,7,2,5,7,6,7,1,720,700,700,700,750
38,10038,1037,101,101,10038,150,133,143,132,142,1,2,7,7,1,6,7,5,7,1,750,700,720,700,700
39,10039,1046,101,101,10039,144,135,135,150,136,6,7,7,3,7,4,1,1,3,7,700,720,750,700,700
40,10040,1050,101,101,10040,146,132,149,129,144,2,4,7,7,1,2,6,7,7,1,750,700,720,700,700
41,10041,1051,101,101,10041,141,131,141,144,143,7,7,4,1,2,7,7,1,7,2,750,700,720,700,700
42,10042,1054,101,101,10042,146,117,154,136,147,7,6,1,1,1,6,7,3,7,3,750,700,720,700,700
43,10043,1055,101,101,10043,150,134,146,124,146,1,1,7,6,1,6,7,5,7,2,720,700,700,700,750
44,10044,1056,105601,105601,10044,137,141,149,141,132,2,5,7,7,1,6,7,2,7,2,720,700,700,700,750
45,10045,1058,101,101,10045,143,145,135,146,131,1,2,7,7,2,7,6,3,7,3,710,700,710,750,700
46,10046,1059,101,101,10046,151,133,149,126,141,3,7,7,2,5,6,7,1,7,1,720,700,700,700,750
47,10047,1060,106001,106001,10047,147,131,150,128,144,1,5,7,7,2,6,7,4,7,1,710,700,710,750,700
48,10048,1061,106101,106101,10048,148,117,154,132,149,7,6,6,5,1,6,7,4,7,1,750,700,720,700,700
49,10049,1005,101,101,10049,146,138,147,132,137,6,7,6,3,5,7,5,1,7,2,720,700,700,700,750
50,10050,1044,101,101,10050,151,127,155,122,145,3,7,7,5,1,3,7,7,7,1,750,700,720,700,700
51,10051,1066,101,101,10051,143,138,135,146,138,3,6,7,5,7,1,1,1,7,3,750,700,720,700,700
52,10052,1065,101,101,10052,148,122,151,151,128,5,7,6,3,7,6,1,1,7,1,700,720,750,700,700
53,10053,1063,101,101,10053,146,129,143,135,147,2,6,7,5,2,6,7,2,7,1,720,700,700,700,750
54,10054,1064,101,101,10054,146,146,125,149,134,1,2,7,7,7,3,2,1,7,1,710,700,710,750,700
55,10055,1068,101,101,10055,141,149,121,149,140,3,3,7,7,7,6,5,1,7,1,750,700,720,700,700
56,10056,1067,101,101,10056,141,137,145,130,147,2,4,7,7,1,4,7,6,7,1,700,750,700,720,700
57,10057,1062,101,101,10057,141,138,143,138,140,1,2,7,7,2,7,7,3,7,1,710,700,710,750,700
58,10058,1072,101,101,10058,141,148,128,147,136,3,6,7,4,2,7,6,2,7,4,700,720,750,700,700
59,10059,1047,101,101,10059,138,138,143,138,143,2,3,7,7,1,7,7,3,7,1,700,750,700,720,700
60,10061,1042,101,101,10061,147,118,149,135,151,7,7,2,1,1,5,7,6,7,2,710,700,710,750,700
61,10062,1069,101,101,10062,142,137,130,147,144,1,7,7,2,6,7,2,1,7,1,700,750,700,720,700
62,10063,1039,101,101,10063,150,121,157,132,140,5,4,7,4,1,5,7,4,7,1,750,700,720,700,700
63,10064,1028,101,101,10064,149,110,158,141,142,7,6,2,1,6,7,5,1,7,2,710,700,710,750,700
64,10065,1053,101,101,10065,146,128,155,137,134,7,7,6,1,1,3,7,5,7,4,700,720,750,700,700
65,10066,1043,101,101,10066,139,130,151,148,132,5,7,6,1,1,7,6,2,3,7,750,700,720,700,700
66,10069,1071,101,101,10069,142,145,139,130,144,3,4,7,5,5,7,5,1,7,2,700,750,700,720,700
67,10070,1048,101,101,10070,139,148,125,151,137,1,1,7,6,4,7,7,1,7,1,720,700,700,700,750
68,10072,1016,101,101,10072,143,139,150,139,129,2,6,7,7,1,7,7,4,7,1,720,700,700,700,750
69,20001,1005,101,101,10049,146,138,147,132,137,6,7,6,3,5,7,5,1,7,2,720,700,700,700,750
70,20002,1009,100901,100901,10023,139,131,134,150,146,2,7,7,6,7,7,3,1,7,1,720,700,700,700,750
71,20003,1012,101,101,10024,143,134,155,132,136,4,7,7,6,1,6,5,7,7,3,700,720,750,700,700
72,20004,1018,101801,101801,10025,141,136,136,142,145,5,6,7,3,4,7,7,1,7,1,710,700,710,750,700
73,20005,1019,101,101,10026,135,141,133,150,141,2,7,7,1,1,7,7,6,7,7,700,720,750,700,700
74,20006,1023,101,101,10029,135,143,132,143,147,2,5,7,7,3,7,6,3,7,2,700,720,750,700,700
75,20007,1024,102401,102401,10030,127,156,121,151,145,4,4,7,7,7,7,6,5,7,3,700,750,700,720,700
76,20008,1025,101,101,10031,133,148,144,136,139,1,1,5,7,1,5,7,5,7,1,700,750,700,720,700
77,20009,1026,101,101,10032,146,122,142,152,138,5,6,7,6,7,3,1,1,7,1,700,720,750,700,700
78,20010,1027,102701,102701,10033,148,124,156,130,142,3,5,7,6,2,7,7,2,7,1,700,720,750,700,700
79,20011,1029,101,101,10034,139,142,130,148,141,5,7,7,5,5,7,2,1,7,4,710,700,710,750,700
80,20012,1032,103201,103201,10036,142,135,135,138,150,1,4,7,6,3,7,6,2,7,1,720,700,700,700,750
81,20013,1037,101,101,10038,150,133,143,132,142,1,2,7,7,1,6,7,5,7,1,750,700,720,700,700
82,20014,1050,101,101,10040,146,132,149,129,144,2,4,7,7,1,2,6,7,7,1,750,700,720,700,700
83,20015,1055,101,101,10043,150,134,146,124,146,1,1,7,6,1,6,7,5,7,2,720,700,700,700,750
84,20016,1056,105601,105601,10044,137,141,149,141,132,2,5,7,7,1,6,7,2,7,2,720,700,700,700,750
85,20017,1058,101,101,10045,143,145,135,146,131,1,2,7,7,2,7,6,3,7,3,710,700,710,750,700
86,20018,1059,101,101,10046,151,133,149,126,141,3,7,7,2,5,6,7,1,7,1,720,700,700,700,750
87,20019,1060,106001,106001,10047,147,131,150,128,144,1,5,7,7,2,6,7,4,7,1,710,700,710,750,700
88,20020,1061,106101,106101,10048,148,117,154,132,149,7,6,6,5,1,6,7,4,7,1,750,700,720,700,700
90,20022,1021,101,101,10027,146,132,149,129,144,1,2,7,7,1,7,6,7,7,3,710,700,710,750,700
91,20023,1044,101,101,10050,151,127,155,122,145,3,7,7,5,1,3,7,7,7,1,750,700,720,700,700
92,20024,1065,101,101,10052,148,122,151,151,128,5,7,6,3,7,6,1,1,7,1,700,720,750,700,700
93,20025,1063,101,101,10053,146,129,143,135,147,2,6,7,5,2,6,7,2,7,1,720,700,700,700,750
94,20026,1060,106001,106001,10047,147,131,150,128,144,1,5,7,7,2,6,7,4,7,1,720,700,700,700,750
95,20027,1051,101,101,10041,141,131,141,144,143,7,7,4,1,2,7,7,1,7,2,720,700,700,700,750
96,20028,1047,101,101,10059,138,138,143,138,143,2,3,7,7,1,7,7,3,7,1,700,750,700,720,700
97,20029,1042,101,101,10061,147,118,149,135,151,7,7,2,1,1,5,7,6,7,2,710,700,710,750,700
98,20031,1043,101,101,10066,139,130,151,148,132,5,7,6,1,1,7,6,2,3,7,700,750,700,720,700
99,20034,1071,101,101,10069,142,145,139,130,144,3,4,7,5,5,7,5,1,7,2,720,700,700,700,750
100,20035,1048,101,101,10070,139,148,125,151,137,1,1,7,6,4,7,7,1,7,1,700,750,700,720,700
101,30001,1001,100101,100101,10001,133,138,148,140,141,2,5,7,7,1,7,7,5,7,1,710,700,710,750,700
102,30002,1002,100201,100201,10002,151,134,127,150,138,4,7,7,3,7,5,3,1,7,1,750,700,720,700,700
103,30003,1003,100301,100301,10003,140,139,133,142,146,2,3,7,6,4,7,5,3,7,1,750,700,720,700,700
104,30004,1007,100701,100701,10006,137,151,155,131,126,1,5,7,7,1,6,6,7,7,1,700,750,700,720,700
105,30005,1008,100801,100801,10007,152,114,161,129,144,2,7,7,2,5,6,7,2,7,1,700,720,750,700,700
106,30006,1011,101101,101101,10009,146,124,155,129,146,1,7,6,7,2,7,7,2,7,1,710,700,710,750,700
107,30007,1014,101401,101401,10011,140,130,135,149,146,2,7,7,6,3,7,7,5,7,6,700,720,750,700,700
108,30008,1020,101,101,10014,148,148,138,133,133,1,5,7,7,7,6,4,3,7,1,700,750,700,720,700
109,30009,1021,101,101,10027,146,132,149,129,144,1,2,7,7,1,7,6,7,7,3,700,750,700,720,700
110,30010,1022,101,101,10028,141,135,138,138,148,2,7,7,5,4,7,5,3,7,1,720,700,700,700,750
111,30011,1031,101,101,10035,147,142,132,144,135,2,7,7,3,7,7,1,1,7,1,710,700,710,750,700
112,30012,1035,103501,103501,10016,148,126,152,133,141,1,2,7,6,1,6,7,1,7,1,710,700,710,750,700
