id,scenario_id,chara_id
11,1,9004
21,2,1010
22,2,1030
23,2,1052
24,2,1056
25,2,9006
31,3,1046
32,3,1032
33,3,1002
34,3,1026
35,3,9008
36,5,9040
37,6,1007
38,6,1014
39,6,1025
40,6,1049
41,6,1067
42,6,1070
43,6,1107
44,6,1115
45,6,1128
46,6,1133
47,6,1137
48,6,1143
50,6,9043
51,7,1035
52,7,1027
53,7,1072
54,7,1077
55,7,1048
56,7,9044
61,8,1001
62,8,1028
63,8,1030
64,8,1051
65,8,1104
66,8,9002
67,9,1023
68,9,1050
69,9,1036
70,9,1083
71,9,1084
72,10,1046
73,10,1070
74,10,1086
75,10,1115
76,10,1116
77,10,9047
78,11,1021
79,11,1027
80,11,1031
81,11,1040
82,11,1069
83,11,9049
84,12,1003
85,12,1026
86,12,1080
87,12,1099
88,12,1100
89,13,1081
90,13,1132
91,13,1136
92,13,1138
93,13,1139
94,12,9050
95,14,1022
96,14,1058
97,14,1060
98,14,1077
99,13,1140
100,14,1120
101,14,9001
102,14,9008
