id,command_id,training_level,target_type,effect_value
21010101,2101,1,1,1
21010106,2101,1,30,1
21010201,2101,2,1,1
21010206,2101,2,30,1
21010301,2101,3,1,2
21010306,2101,3,30,1
21010401,2101,4,1,2
21010406,2101,4,30,1
21010501,2101,5,1,3
21010506,2101,5,30,1
21020102,2102,1,2,1
21020106,2102,1,30,1
21020202,2102,2,2,1
21020206,2102,2,30,1
21020302,2102,3,2,2
21020306,2102,3,30,1
21020402,2102,4,2,2
21020406,2102,4,30,1
21020502,2102,5,2,3
21020506,2102,5,30,1
21030103,2103,1,3,1
21030106,2103,1,30,1
21030203,2103,2,3,1
21030206,2103,2,30,1
21030303,2103,3,3,2
21030306,2103,3,30,1
21030403,2103,4,3,2
21030406,2103,4,30,1
21030503,2103,5,3,3
21030506,2103,5,30,1
21040104,2104,1,4,1
21040106,2104,1,30,1
21040204,2104,2,4,1
21040206,2104,2,30,1
21040304,2104,3,4,2
21040306,2104,3,30,1
21040404,2104,4,4,2
21040406,2104,4,30,1
21040504,2104,5,4,3
21040506,2104,5,30,1
21050105,2105,1,5,1
21050106,2105,1,30,1
21050205,2105,2,5,1
21050206,2105,2,30,1
21050305,2105,3,5,2
21050306,2105,3,30,1
21050405,2105,4,5,2
21050406,2105,4,30,1
21050505,2105,5,5,3
21050506,2105,5,30,1
22010101,2201,1,1,1
22010106,2201,1,30,1
22010201,2201,2,1,1
22010206,2201,2,30,1
22010301,2201,3,1,2
22010306,2201,3,30,1
22010401,2201,4,1,2
22010406,2201,4,30,1
22010501,2201,5,1,3
22010506,2201,5,30,1
22020102,2202,1,2,1
22020106,2202,1,30,1
22020202,2202,2,2,1
22020206,2202,2,30,1
22020302,2202,3,2,2
22020306,2202,3,30,1
22020402,2202,4,2,2
22020406,2202,4,30,1
22020502,2202,5,2,3
22020506,2202,5,30,1
22030103,2203,1,3,1
22030106,2203,1,30,1
22030203,2203,2,3,1
22030206,2203,2,30,1
22030303,2203,3,3,2
22030306,2203,3,30,1
22030403,2203,4,3,2
22030406,2203,4,30,1
22030503,2203,5,3,3
22030506,2203,5,30,1
22040104,2204,1,4,1
22040106,2204,1,30,1
22040204,2204,2,4,1
22040206,2204,2,30,1
22040304,2204,3,4,2
22040306,2204,3,30,1
22040404,2204,4,4,2
22040406,2204,4,30,1
22040504,2204,5,4,3
22040506,2204,5,30,1
22050105,2205,1,5,1
22050106,2205,1,30,1
22050205,2205,2,5,1
22050206,2205,2,30,1
22050305,2205,3,5,2
22050306,2205,3,30,1
22050405,2205,4,5,2
22050406,2205,4,30,1
22050505,2205,5,5,3
22050506,2205,5,30,1
23010101,2301,1,1,1
23010106,2301,1,30,1
23010201,2301,2,1,1
23010206,2301,2,30,1
23010301,2301,3,1,2
23010306,2301,3,30,1
23010401,2301,4,1,2
23010406,2301,4,30,1
23010501,2301,5,1,3
23010506,2301,5,30,1
23020102,2302,1,2,1
23020106,2302,1,30,1
23020202,2302,2,2,1
23020206,2302,2,30,1
23020302,2302,3,2,2
23020306,2302,3,30,1
23020402,2302,4,2,2
23020406,2302,4,30,1
23020502,2302,5,2,3
23020506,2302,5,30,1
23030103,2303,1,3,1
23030106,2303,1,30,1
23030203,2303,2,3,1
23030206,2303,2,30,1
23030303,2303,3,3,2
23030306,2303,3,30,1
23030403,2303,4,3,2
23030406,2303,4,30,1
23030503,2303,5,3,3
23030506,2303,5,30,1
23040104,2304,1,4,1
23040106,2304,1,30,1
23040204,2304,2,4,1
23040206,2304,2,30,1
23040304,2304,3,4,2
23040306,2304,3,30,1
23040404,2304,4,4,2
23040406,2304,4,30,1
23040504,2304,5,4,3
23040506,2304,5,30,1
23050105,2305,1,5,1
23050106,2305,1,30,1
23050205,2305,2,5,1
23050206,2305,2,30,1
23050305,2305,3,5,2
23050306,2305,3,30,1
23050405,2305,4,5,2
23050406,2305,4,30,1
23050505,2305,5,5,3
23050506,2305,5,30,1
