id,sport_type,total_sport_rank,stance_effect_id_1,stance_effect_id_2,stance_effect_id_3,stance_effect_id_4,stance_effect_id_5,effect_turn
101,1,50,101,102,0,0,0,2
102,1,100,101,102,0,0,0,2
103,1,150,101,102,0,0,0,2
104,1,200,101,102,0,0,0,2
105,1,250,101,102,0,0,0,2
106,1,300,101,102,0,0,0,2
107,1,350,101,102,0,0,0,2
108,1,400,101,102,0,0,0,2
109,1,450,101,102,0,0,0,2
110,1,500,101,102,0,0,0,2
201,2,50,201,202,203,204,0,2
202,2,100,201,202,203,204,0,2
203,2,150,201,202,203,204,0,2
204,2,200,201,202,203,204,0,2
205,2,250,201,202,203,204,0,2
206,2,300,201,202,203,204,0,2
207,2,350,201,202,203,204,0,2
208,2,400,201,202,203,204,0,2
209,2,450,201,202,203,204,0,2
210,2,500,201,202,203,204,0,2
301,3,50,301,302,0,0,0,2
302,3,100,301,302,0,0,0,2
303,3,150,301,302,0,0,0,2
304,3,200,301,302,0,0,0,2
305,3,250,301,302,0,0,0,2
306,3,300,301,302,0,0,0,2
307,3,350,301,302,0,0,0,2
308,3,400,301,302,0,0,0,2
309,3,450,301,302,0,0,0,2
310,3,500,301,302,0,0,0,2
