id,command_id,training_level,success_cutin_name,failure_cutin_name
1,2101,1,training_106010_001_02_suc01,training_106010_001_02_bad01
2,2101,2,training_106010_001_02_suc01,training_106010_001_02_bad01
3,2101,3,training_106010_001_02_suc01,training_106010_001_02_bad01
4,2101,4,training_106010_001_02_suc02,training_106010_001_02_bad01
5,2101,5,training_106010_001_02_suc02,training_106010_001_02_bad01
6,2102,1,training_106020_001_02_suc01,training_106020_001_02_bad01
7,2102,2,training_106020_001_02_suc01,training_106020_001_02_bad01
8,2102,3,training_106020_001_02_suc01,training_106020_001_02_bad01
9,2102,4,training_106020_001_02_suc02,training_106020_001_02_bad01
10,2102,5,training_106020_001_02_suc02,training_106020_001_02_bad01
11,2103,1,training_106030_001_02_suc01,training_106030_001_02_bad01
12,2103,2,training_106030_001_02_suc01,training_106030_001_02_bad01
13,2103,3,training_106030_001_02_suc01,training_106030_001_02_bad01
14,2103,4,training_106030_001_02_suc02,training_106030_001_02_bad01
15,2103,5,training_106030_001_02_suc02,training_106030_001_02_bad01
16,2104,1,training_106040_001_02_suc01,training_106040_001_02_bad01
17,2104,2,training_106040_001_02_suc01,training_106040_001_02_bad01
18,2104,3,training_106040_001_02_suc01,training_106040_001_02_bad01
19,2104,4,training_106040_001_02_suc02,training_106040_001_02_bad01
20,2104,5,training_106040_001_02_suc02,training_106040_001_02_bad01
21,2105,1,training_106050_001_02_suc01,training_106050_001_02_bad01
22,2105,2,training_106050_001_02_suc01,training_106050_001_02_bad01
23,2105,3,training_106050_001_02_suc01,training_106050_001_02_bad01
24,2105,4,training_106050_001_02_suc02,training_106050_001_02_bad01
25,2105,5,training_106050_001_02_suc02,training_106050_001_02_bad01
26,2201,1,training_106110_001_02_suc01,training_106110_001_02_bad01
27,2201,2,training_106110_001_02_suc01,training_106110_001_02_bad01
28,2201,3,training_106110_001_02_suc01,training_106110_001_02_bad01
29,2201,4,training_106110_001_02_suc02,training_106110_001_02_bad01
30,2201,5,training_106110_001_02_suc02,training_106110_001_02_bad01
31,2202,1,training_106120_001_02_suc01,training_106120_001_02_bad01
32,2202,2,training_106120_001_02_suc01,training_106120_001_02_bad01
33,2202,3,training_106120_001_02_suc01,training_106120_001_02_bad01
34,2202,4,training_106120_001_02_suc02,training_106120_001_02_bad01
35,2202,5,training_106120_001_02_suc02,training_106120_001_02_bad01
36,2203,1,training_106130_001_02_suc01,training_106130_001_02_bad01
37,2203,2,training_106130_001_02_suc01,training_106130_001_02_bad01
38,2203,3,training_106130_001_02_suc01,training_106130_001_02_bad01
39,2203,4,training_106130_001_02_suc02,training_106130_001_02_bad01
40,2203,5,training_106130_001_02_suc02,training_106130_001_02_bad01
41,2204,1,training_106140_001_02_suc01,training_106140_001_02_bad01
42,2204,2,training_106140_001_02_suc01,training_106140_001_02_bad01
43,2204,3,training_106140_001_02_suc01,training_106140_001_02_bad01
44,2204,4,training_106140_001_02_suc02,training_106140_001_02_bad01
45,2204,5,training_106140_001_02_suc02,training_106140_001_02_bad01
46,2205,1,training_106150_001_02_suc01,training_106150_001_02_bad01
47,2205,2,training_106150_001_02_suc01,training_106150_001_02_bad01
48,2205,3,training_106150_001_02_suc01,training_106150_001_02_bad01
49,2205,4,training_106150_001_02_suc02,training_106150_001_02_bad01
50,2205,5,training_106150_001_02_suc02,training_106150_001_02_bad01
51,2301,1,training_106210_001_02_suc01,training_106210_001_02_bad01
52,2301,2,training_106210_001_02_suc01,training_106210_001_02_bad01
53,2301,3,training_106210_001_02_suc01,training_106210_001_02_bad01
54,2301,4,training_106210_001_02_suc02,training_106210_001_02_bad01
55,2301,5,training_106210_001_02_suc02,training_106210_001_02_bad01
56,2302,1,training_106220_001_02_suc01,training_106220_001_02_bad01
57,2302,2,training_106220_001_02_suc01,training_106220_001_02_bad01
58,2302,3,training_106220_001_02_suc01,training_106220_001_02_bad01
59,2302,4,training_106220_001_02_suc02,training_106220_001_02_bad01
60,2302,5,training_106220_001_02_suc02,training_106220_001_02_bad01
61,2303,1,training_106230_001_02_suc01,training_106230_001_02_bad01
62,2303,2,training_106230_001_02_suc01,training_106230_001_02_bad01
63,2303,3,training_106230_001_02_suc01,training_106230_001_02_bad01
64,2303,4,training_106230_001_02_suc02,training_106230_001_02_bad01
65,2303,5,training_106230_001_02_suc02,training_106230_001_02_bad01
66,2304,1,training_106240_001_02_suc01,training_106240_001_02_bad01
67,2304,2,training_106240_001_02_suc01,training_106240_001_02_bad01
68,2304,3,training_106240_001_02_suc01,training_106240_001_02_bad01
69,2304,4,training_106240_001_02_suc02,training_106240_001_02_bad01
70,2304,5,training_106240_001_02_suc02,training_106240_001_02_bad01
71,2305,1,training_106250_001_02_suc01,training_106250_001_02_bad01
72,2305,2,training_106250_001_02_suc01,training_106250_001_02_bad01
73,2305,3,training_106250_001_02_suc01,training_106250_001_02_bad01
74,2305,4,training_106250_001_02_suc02,training_106250_001_02_bad01
75,2305,5,training_106250_001_02_suc02,training_106250_001_02_bad01
