id,support_card_id,pattern,pos_index,pos_x,pos_y,scale_x,scale_y,rot_z
1,10001,1,1,0,20000,9408,9408,0
2,10001,2,1,-5000,2480000,9427,9427,0
3,10001,2,2,55000,-6390000,9347,9347,0
4,10001,3,1,-10000,4205000,9380,9380,0
5,10001,3,2,0,-2145000,9481,9481,0
6,10001,3,3,-10000,-7550000,9355,9355,0
7,10001,4,1,-2670000,2015000,10000,9995,0
8,10001,4,2,3420000,2350000,10000,10000,0
9,10001,4,3,-2670000,-6570000,10000,10000,0
10,10001,4,4,3020000,-6570000,10000,10000,0
11,10001,5,1,-2500000,3915000,8522,8526,0
12,10001,5,2,3015000,3555000,8608,8608,0
13,10001,5,3,60000,-1785000,9789,9794,0
14,10001,5,4,-2500000,-7135000,8382,8382,0
15,10001,5,5,3230000,-7090000,8339,8343,0
16,10002,1,1,0,20000,9408,9408,0
17,10002,2,1,-5000,2480000,9427,9427,0
18,10002,2,2,55000,-6390000,9347,9347,0
19,10002,3,1,-10000,4205000,9380,9380,0
20,10002,3,2,0,-2145000,9481,9481,0
21,10002,3,3,-10000,-7550000,9355,9355,0
22,10002,4,1,-2670000,2015000,10000,9995,0
23,10002,4,2,3800000,2350000,10000,10000,0
24,10002,4,3,-2670000,-6570000,10000,10000,0
25,10002,4,4,3320000,-6570000,10000,10000,0
26,10002,5,1,-2500000,3915000,8522,8526,0
27,10002,5,2,3315000,3555000,8608,8608,0
28,10002,5,3,60000,-1785000,9789,9794,0
29,10002,5,4,-2500000,-7135000,8382,8382,0
30,10002,5,5,3530000,-7090000,8339,8343,0
31,10003,1,1,0,20000,9408,9408,0
32,10003,2,1,-5000,2480000,9427,9427,0
33,10003,2,2,55000,-6390000,9347,9347,0
34,10003,3,1,-10000,4205000,9380,9380,0
35,10003,3,2,0,-2145000,9481,9481,0
36,10003,3,3,-10000,-7550000,9355,9355,0
37,10003,4,1,-2670000,2015000,10000,9995,0
38,10003,4,2,3220000,2350000,10000,10000,0
39,10003,4,3,-2670000,-6570000,10000,10000,0
40,10003,4,4,3020000,-6570000,10000,10000,0
41,10003,5,1,-2500000,3915000,8522,8526,0
42,10003,5,2,3015000,3555000,8608,8608,0
43,10003,5,3,60000,-1385000,9789,9794,0
44,10003,5,4,-2500000,-7135000,8382,8382,0
45,10003,5,5,3230000,-7090000,8339,8343,0
46,10004,1,1,0,20000,9408,9408,0
47,10004,2,1,-5000,2480000,9427,9427,0
48,10004,2,2,55000,-6390000,9347,9347,0
49,10004,3,1,-10000,4205000,9380,9380,0
50,10004,3,2,0,-2145000,9481,9481,0
51,10004,3,3,-10000,-7550000,9355,9355,0
52,10004,4,1,-2670000,2015000,10000,9995,0
53,10004,4,2,3070000,2350000,10000,10000,0
54,10004,4,3,-2670000,-6570000,10000,10000,0
55,10004,4,4,3020000,-6570000,10000,10000,0
56,10004,5,1,-2600000,3915000,8522,8526,0
57,10004,5,2,2815000,3555000,8608,8608,0
58,10004,5,3,60000,-1785000,9789,9794,0
59,10004,5,4,-2700000,-7135000,8382,8382,0
60,10004,5,5,3230000,-7090000,8339,8343,0
61,10005,1,1,0,20000,9408,9408,0
62,10005,2,1,-5000,2480000,9427,9427,0
63,10005,2,2,55000,-6390000,9347,9347,0
64,10005,3,1,-10000,4205000,9380,9380,0
65,10005,3,2,0,-2145000,9481,9481,0
66,10005,3,3,-10000,-7550000,9355,9355,0
67,10005,4,1,-2670000,2015000,10000,9995,0
68,10005,4,2,3420000,2350000,10000,10000,0
69,10005,4,3,-2670000,-6570000,10000,10000,0
70,10005,4,4,3020000,-6570000,10000,10000,0
71,10005,5,1,-2700000,3915000,8522,8526,0
72,10005,5,2,3015000,3555000,8608,8608,0
73,10005,5,3,60000,-1785000,9789,9794,0
74,10005,5,4,-2500000,-7135000,8382,8382,0
75,10005,5,5,3230000,-7090000,8339,8343,0
76,10006,1,1,0,20000,9408,9408,0
77,10006,2,1,-5000,2480000,9427,9427,0
78,10006,2,2,55000,-6390000,9347,9347,0
79,10006,3,1,-10000,4205000,9380,9380,0
80,10006,3,2,0,-2145000,9481,9481,0
