id,partner_id,scenario_id,chara_id,period,training_placement,gain_flag_id,is_support_featured_stock,gain_role_id
1,101,1,9001,0,1,0,0,109001
2,102,1,9002,2,0,9002,1,109002
3,103,1,9003,2,0,0,0,109003
4,104,1,9004,0,0,0,0,109004
5,106,1,9006,0,1,9006,0,109006
6,108,1,9008,0,1,9008,0,109008
7,109,1,9040,0,1,9040,0,109040
8,110,1,9043,0,1,9043,0,109043
9,111,1,9044,0,1,9044,0,109044
10,112,1,9047,0,1,9047,0,109047
11,113,1,9049,0,1,9049,0,109049
12,114,1,9050,0,1,9050,0,109050
13,115,1,1139,0,1,1139,0,101139
201,101,2,9001,0,1,0,0,209001
203,103,2,9003,2,0,0,0,209003
204,104,2,9004,0,1,9004,0,209004
205,106,2,9006,2,0,0,1,209006
206,108,2,9008,0,1,9008,0,209008
207,109,2,9040,0,1,9040,0,209040
208,110,2,9043,0,1,9043,0,209043
209,111,2,9044,0,1,9044,0,209044
210,112,2,9047,0,1,9047,0,209047
211,113,2,9049,0,1,9049,0,209049
212,114,2,9050,0,1,9050,0,209050
213,115,2,1139,0,1,1139,0,201139
301,101,3,9001,0,1,0,0,309001
302,102,3,9002,2,0,9002,1,309002
303,103,3,9003,2,0,0,0,309003
304,104,3,9004,0,1,9004,0,309004
305,106,3,9006,0,1,9006,0,309006
306,108,3,9008,2,0,0,1,309008
307,109,3,9040,0,1,9040,0,309040
308,110,3,9043,0,1,9043,0,309043
309,111,3,9044,0,1,9044,0,309044
310,112,3,9047,0,1,9047,0,309047
311,113,3,9049,0,1,9049,0,309049
312,114,3,9050,0,1,9050,0,309050
313,115,3,1139,0,1,1139,0,301139
401,101,4,9001,0,1,0,0,409001
402,102,4,9002,2,0,9002,1,409002
403,103,4,9003,2,0,0,0,409003
404,104,4,9004,0,1,9004,0,409004
405,106,4,9006,0,1,9006,0,409006
406,108,4,9008,0,1,9008,0,409008
407,109,4,9040,0,1,9040,0,409040
408,110,4,9043,0,1,9043,0,409043
