id,upgrade_type,description_id,num,sub_num,timing_type,count_type
10010101,1,100101111,1,1,1,1
10010102,1,100101111,2,1,1,1
10010103,1,100101211,1,1,2,1
10010104,1,100101211,1,2,2,1
10010105,1,100101211,2,1,1,1
10010106,1,100101311,1,1,1,1
10010107,1,100101311,1,2,1,1
10010201,1,100102111,1,1,2,1
10010202,1,100102111,2,1,1,1
10010203,1,100102211,1,1,2,1
10010204,1,100102211,1,2,2,1
10010205,1,100102211,2,1,1,1
10010301,1,100103111,1,1,2,1
10010302,1,100103111,1,2,2,1
10010303,1,100103111,2,1,1,1
10010304,1,100103211,1,1,1,1
10010305,1,100103211,2,1,2,1
10020101,1,100201111,1,1,2,1
10020102,1,100201111,1,2,2,1
10020103,1,100201111,2,1,1,1
10020104,1,100201211,1,1,1,1
10020105,1,100201211,1,2,1,1
10020201,1,100202111,1,1,1,1
10020202,1,100202111,1,2,1,1
10020203,1,100202111,2,1,1,1
10020204,1,100202111,3,1,1,1
10020205,1,100202111,3,2,1,1
10020206,1,100202211,1,1,2,1
10020207,1,100202211,2,1,1,1
10020208,1,100202211,2,2,1,1
10020209,1,100202121,1,1,2,1
10030101,1,100301111,1,1,2,1
10030102,1,100301111,1,2,2,1
10030103,1,100301111,2,1,1,1
10030104,1,100301211,1,1,1,1
10030105,1,100301211,2,1,1,1
10030106,1,100301311,1,1,1,1
10030201,1,100302111,1,1,2,1
10030202,1,100302111,1,2,2,1
10030203,1,100302111,2,1,1,1
10030204,1,100302211,1,1,2,1
10030205,1,100302211,2,1,1,1
10030301,1,100303111,1,1,2,1
10030302,1,100303111,1,2,1,1
10030303,1,100303111,2,1,1,1
10030304,1,100303211,1,1,2,2
10030305,1,100303211,1,2,1,1
10030306,1,100303211,2,1,1,1
10030307,1,100303211,2,2,1,1
10030308,1,100303221,1,1,2,1
10030309,1,100303221,1,2,1,1
10030310,1,100303221,2,1,1,1
10040101,1,100401111,1,1,2,1
10040102,1,100401111,1,2,1,1
10040103,1,100401111,2,1,1,1
10040104,1,100401211,1,1,2,1
10040105,1,100401221,1,1,2,2
10040106,1,100401221,1,2,1,1
10040107,1,100401221,2,1,2,1
10040201,1,100402111,1,1,2,1
10040202,1,100402111,1,2,2,1
10040203,1,100402111,2,1,1,1
10040204,1,100402211,1,1,2,1
10040205,1,100402211,2,1,1,1
10040206,1,100402121,1,1,1,1
10040207,1,100402121,2,1,1,1
10040301,1,100403111,1,1,2,2
10040302,1,100403111,1,2,1,1
10040303,1,100403111,2,1,1,1
10040304,1,100403111,2,2,1,1
10040305,1,100403211,1,1,2,1
10040306,1,100403211,2,1,1,1
10050101,1,100501111,1,1,2,1
10050102,1,100501111,1,2,1,1
10050103,1,100501111,2,1,2,1
10050104,1,100501211,1,1,2,1
10050105,1,100501211,1,2,1,1
10050106,1,100501211,2,1,1,1
