id,card_id,rank,skill_id,start_date
100101111,100101,3,100101111,1677207600
100101211,100101,5,100101211,1677207600
100101311,100101,7,100101311,1774839600
100102111,100102,3,100102111,1677207600
100102211,100102,5,100102211,1677207600
100103111,100103,3,100103111,1677207600
100103211,100103,5,100103211,1677207600
100201111,100201,3,100201111,1677207600
100201211,100201,5,100201211,1677207600
100202111,100202,3,100202111,1690772400
100202121,100202,3,100202121,1730430000
100202211,100202,5,100202211,1690772400
100301111,100301,3,100301111,1677207600
100301211,100301,5,100301211,1677207600
100301311,100301,7,100301311,1780023600
100302111,100302,3,100302111,1677207600
100302211,100302,5,100302211,1677207600
100303111,100303,3,100303111,1698634800
100303211,100303,5,100303211,1698634800
100303221,100303,5,100303221,1733108400
100401111,100401,3,100401111,1677207600
100401211,100401,5,100401211,1677207600
100401221,100401,5,100401221,1762225200
100402111,100402,3,100402111,1677207600
100402121,100402,3,100402121,1770001200
100402211,100402,5,100402211,1677207600
100403111,100403,3,100403111,1736478000
100403211,100403,5,100403211,1736478000
100501111,100501,3,100501111,1677207600
100501211,100501,5,100501211,1677207600
100501221,100501,5,100501221,1725246000
100502111,100502,3,100502111,1677207600
100502121,100502,3,100502121,1706756400
100502211,100502,5,100502211,1677207600
100503111,100503,3,100503111,1777518000
100503211,100503,5,100503211,1777518000
100601111,100601,3,100601111,1677207600
100601121,100601,3,100601121,1698807600
100601211,100601,5,100601211,1677207600
100602111,100602,3,100602111,1677207600
100602211,100602,5,100602211,1677207600
100603111,100603,3,100603111,1765422000
100603211,100603,5,100603211,1765422000
100603221,100603,5,100603221,1765422000
100701111,100701,3,100701111,1677207600
100701211,100701,5,100701211,1677207600
100702111,100702,3,100702111,1677207600
100702211,100702,5,100702211,1677207600
100702221,100702,5,100702221,1701399600
100703111,100703,3,100703111,1693450800
100703211,100703,5,100703211,1693450800
100801111,100801,3,100801111,1677207600
100801211,100801,5,100801211,1677207600
100802111,100802,3,100802111,1677207600
100802211,100802,5,100802211,1677207600
100901111,100901,3,100901111,1677207600
100901211,100901,5,100901211,1677207600
100902111,100902,3,100902111,1677207600
100902121,100902,3,100902121,1754017200
100902211,100902,5,100902211,1677207600
101001111,101001,3,101001111,1677207600
101001211,101001,5,101001211,1677207600
101002111,101002,3,101002111,1677207600
101002211,101002,5,101002211,1677207600
101003111,101003,3,101003111,1769742000
101003211,101003,5,101003211,1769742000
101101111,101101,3,101101111,1677207600
101101211,101101,5,101101211,1677207600
101102111,101102,3,101102111,1677207600
101102211,101102,5,101102211,1677207600
101103111,101103,3,101103111,1734577200
101103211,101103,5,101103211,1734577200
101201111,101201,3,101201111,1677207600
101201121,101201,3,101201121,1704337200
101201211,101201,5,101201211,1677207600
101202111,101202,3,101202111,1685329200
101202211,101202,5,101202211,1685329200
101202221,101202,5,101202221,1751338800
101301111,101301,3,101301111,1677207600
101301211,101301,5,101301211,1677207600
101302111,101302,3,101302111,1677207600
