id,scenario_id,base_skill_id,skill_id,start_date
407011,7,202801,407011,1708743600
407021,7,200461,407021,1708743600
407031,7,200511,407031,1708743600
407041,7,202501,407041,1708743600
407051,7,202111,407051,1708743600
407061,7,200721,407061,1708743600
407071,7,202101,407071,1708743600
408011,8,201592,408011,1719370800
408021,8,202401,408021,1719370800
408031,8,202791,408031,1719370800
408041,8,200973,408041,1719370800
408051,8,200651,408051,1719370800
408061,8,200341,408061,1719370800
409011,9,202481,409011,1730170800
409021,9,203241,409021,1730170800
409031,9,203141,409031,1730170800
409041,9,200511,409041,1730170800
409051,9,201271,409051,1730170800
409061,9,200331,409061,1730170800
410011,10,203501,410011,1740366000
410021,10,200361,410021,1740366000
410031,10,202791,410031,1740366000
410041,10,200531,410041,1740366000
410051,10,202711,410051,1740366000
410061,10,202901,410061,1740366000
411011,11,203651,411011,1750993200
411021,11,203661,411021,1750993200
411031,11,202721,411031,1750993200
411041,11,200511,411041,1750993200
411051,11,202101,411051,1750993200
411061,11,200721,411061,1750993200
412011,12,201662,412011,1761706800
412021,12,200531,412021,1761706800
412031,12,204001,412031,1761706800
412041,12,202791,412041,1761706800
412051,12,203361,412051,1761706800
413011,13,201652,413011,1771902000
413021,13,204181,413021,1771902000
413031,13,204191,413031,1771902000
413041,13,200511,413041,1771902000
413051,13,203651,413051,1771902000
414011,14,201662,414011,1782702000
414021,14,204391,414021,1782702000
414031,14,203651,414031,1782702000
414041,14,202791,414041,1782702000
414051,14,201051,414051,1782702000
414061,14,204171,414061,1782702000
