tbl,idx,stat
jobs_reward,jobs_reward_0_limited_schedule_id,89 15
jobs_reward,jobs_reward_0_place_id,89 7
team_stadium_bgm,team_stadium_bgm_0_scene_type,11 2
team_stadium_class,team_stadium_class_0_team_stadium_id,6 6
trained_chara_trade_item,trained_chara_trade_item_0_trained_chara_rank,298 1
topics,topics_0_type,596 199
single_mode_13_rank_bonus_effect_group,single_mode_13_rank_bonus_effect_group_0_group_id,33 2
single_mode_12_check_dug_result,single_mode_12_check_dug_result_0_schedule_id_1_result_type,7 3 1
single_mode_12_dig_power_rank,,24
single_mode_cook_motion_group,,36
single_mode_14_check_point,,3
omakase_base_pt_onsen,omakase_base_pt_onsen_0_command_id,8 2
single_mode_cook_dish_icon,,13
single_mode_arc_race_debuff,single_mode_arc_race_debuff_0_debuff_id,48 6
single_mode_arc_race_debuff,single_mode_arc_race_debuff_0_race_instance_id,48 6
transfer_rotation_detail,transfer_rotation_detail_0_rotation_id,120 3
main_story_race_chara_data,main_story_race_chara_data_0_running_style,460 92
main_story_race_chara_data,main_story_race_chara_data_0_group_id,460 12
single_mode_12_onsen_effect,single_mode_12_onsen_effect_0_group_id,48 4
single_mode_cook_dish_material,single_mode_cook_dish_material_0_material_group_id,38 3
single_mode_arc_debuff,single_mode_arc_debuff_0_potential_id_1_potential_lv,9 1 1
single_mode_arc_debuff,single_mode_arc_debuff_0_potential_id,9 1
single_mode_live_song_list,single_mode_live_song_list_0_live_id,24 1
single_mode_live_song_list,single_mode_live_song_list_0_command_id,24 1
single_mode_cook_coin_rate,single_mode_cook_coin_rate_0_material_count_1_period,9 2 1
single_mode_special_chara,single_mode_special_chara_0_scenario_id_1_chara_id,73 6 1
single_mode_special_chara,single_mode_special_chara_0_scenario_id,73 6
rental_deck,,10
ultimate_race_contents,ultimate_race_contents_0_event_id_1_group_id_2_difficulty,119 15 3 1
ultimate_race_contents,ultimate_race_contents_0_event_id_1_group_id,119 15 3
ultimate_race_contents,ultimate_race_contents_0_group_id,119 3
ultimate_race_contents,ultimate_race_contents_0_event_id,119 15
ultimate_race_contents,ultimate_race_contents_0_race_instance_id,119 1
ultimate_race_contents,ultimate_race_contents_0_id,119 1
map_event_flavor_text,map_event_flavor_text_0_event_id,18 18
campaign_n_present_bonus_data,campaign_n_present_bonus_data_0_target_type_1_card_id,243 243 1
campaign_n_present_bonus_data,campaign_n_present_bonus_data_0_card_id,243 1
crane_game_define_param,,1
omakase_stop_condition,omakase_stop_condition_0_scenario_id,41 7
single_mode_arc_potential_buff,single_mode_arc_potential_buff_0_potential_id_1_potential_lv,8 1 1
single_mode_arc_potential_buff,single_mode_arc_potential_buff_0_potential_id,8 1
single_mode_venus_spirit_effect,single_mode_venus_spirit_effect_0_spirit_effect_group_id,83 2
hide_chara_text_special,hide_chara_text_special_0_character_id,12 12
single_mode_recommend_setting,single_mode_recommend_setting_0_recommend_course_id,3 1
single_mode_analyze_ticket,single_mode_analyze_ticket_0_grade,7 1
campaign_single_race_add_reward,campaign_single_race_add_reward_0_race_additional_reward_id,336 3
single_mode_11_facility_effect,single_mode_11_facility_effect_0_state_id,403 10
single_mode_10_group_outing_eff,single_mode_10_group_outing_eff_0_chara_id_1_step,5 2 1
single_mode_10_cm_detail,,36
single_mode_10_buff_num,single_mode_10_buff_num_0_legend_id_1_num,12 4 1
