id,reward_set_id,line_num,item_category,item_id,item_num
1,1,1,103,98,500
2,1,2,30,110,1000
3,1,3,21,34,1
4,1,4,150,117,1
5,1,5,34,95,1
6,1,6,20,32,1
7,1,7,90,43,100
8,1,8,51,30025,1
9,2,1,150,118,1
10,2,2,150,116,1
11,2,3,34,95,1
12,2,4,21,34,1
13,2,5,91,59,500
14,2,6,103,98,100
15,2,7,30,110,300
16,2,8,97,115,1
17,3,1,103,98,500
18,3,2,30,110,1000
19,3,3,21,34,1
20,3,4,150,117,1
21,3,5,51,20026,1
22,3,6,34,95,1
23,3,7,20,32,1
24,3,8,51,30030,1
25,4,1,103,98,500
26,4,2,30,110,1000
27,4,3,21,34,1
28,4,4,150,116,1
29,4,5,34,95,1
30,4,6,20,32,1
31,4,7,90,43,150
32,4,8,51,30041,1
33,5,1,91,59,100
34,5,2,103,98,100
35,5,3,30,110,300
36,5,4,91,59,500
37,5,5,150,116,1
38,5,6,34,95,1
39,5,7,21,34,1
40,5,8,97,115,1
41,6,1,103,98,500
42,6,2,30,110,1000
43,6,3,21,34,1
44,6,4,150,116,1
45,6,5,34,95,1
46,6,6,20,32,1
47,6,7,90,43,150
48,6,8,51,30057,1
49,7,1,91,59,100
50,7,2,103,98,100
51,7,3,30,110,300
52,7,4,91,59,500
53,7,5,150,116,1
54,7,6,34,95,1
55,7,7,21,34,1
56,7,8,97,115,1
57,8,1,103,98,500
58,8,2,30,110,1000
59,8,3,21,34,1
60,8,4,150,116,1
61,8,5,34,95,1
62,8,6,20,32,1
63,8,7,90,43,150
64,8,8,51,30047,1
65,9,1,103,98,500
66,9,2,30,110,1000
67,9,3,21,34,1
68,9,4,150,116,1
69,9,5,164,150,1
70,9,6,20,32,1
71,9,7,90,43,150
72,9,8,51,30066,1
73,10,1,103,98,500
74,10,2,30,110,1000
75,10,3,21,34,1
76,10,4,150,116,1
77,10,5,20,32,1
78,10,6,164,150,1
79,10,7,90,43,150
80,10,8,51,30066,1
81,11,1,30,110,1000
82,11,2,91,59,2000
83,11,3,21,34,1
84,11,4,150,116,1
85,11,5,20,32,1
86,11,6,164,150,1
87,11,7,90,43,150
88,11,8,51,30066,1
89,12,1,103,98,500
90,12,2,30,110,1000
91,12,3,21,34,1
92,12,4,150,116,1
93,12,5,164,150,1
94,12,6,20,32,1
95,12,7,90,43,150
96,12,8,51,30070,1
97,13,1,103,98,500
98,13,2,30,110,1000
99,13,3,21,34,1
100,13,4,150,116,1
101,13,5,20,32,1
102,13,6,164,150,1
103,13,7,90,43,150
104,13,8,51,30070,1
105,14,1,30,110,1000
106,14,2,91,59,2000
107,14,3,21,34,1
108,14,4,150,116,1
109,14,5,20,32,1
110,14,6,164,150,1
111,14,7,90,43,150
112,14,8,51,30070,1
113,15,1,103,98,500
114,15,2,30,110,1000
115,15,3,21,34,1
116,15,4,150,116,1
117,15,5,164,150,1
118,15,6,20,32,1
119,15,7,90,43,150
120,15,8,51,30074,1
121,16,1,103,98,500
122,16,2,30,110,1000
123,16,3,21,34,1
124,16,4,150,116,1
125,16,5,20,32,1
126,16,6,164,150,1
127,16,7,90,43,150
128,16,8,51,30074,1
129,17,1,30,110,1000
130,17,2,91,59,2000
131,17,3,21,34,1
132,17,4,150,116,1
133,17,5,20,32,1
134,17,6,164,150,1
135,17,7,90,43,150
136,17,8,51,30074,1
145,18,1,103,98,500
146,18,2,30,110,1000
147,18,3,21,34,1
148,18,4,150,116,1
149,18,5,20,32,1
150,18,6,164,150,1
151,18,7,90,43,150
152,18,8,51,30079,1
153,19,1,30,110,1000
154,19,2,91,59,2000
155,19,3,21,34,1
156,19,4,150,116,1
157,19,5,20,32,1
158,19,6,164,150,1
159,19,7,90,43,150
160,19,8,51,30079,1
161,20,1,103,98,500
162,20,2,30,110,1000
163,20,3,21,34,1
164,20,4,150,116,1
165,20,5,20,32,1
166,20,6,164,150,1
167,20,7,90,43,150
168,20,8,51,30084,1
169,21,1,30,110,1000
170,21,2,91,59,2000
171,21,3,21,34,1
172,21,4,150,116,1
173,21,5,20,32,1
174,21,6,164,150,1
175,21,7,90,43,150
176,21,8,51,30084,1
177,22,1,103,98,500
178,22,2,30,110,1000
179,22,3,21,34,1
180,22,4,150,116,1
181,22,5,164,150,1
182,22,6,51,20043,1
183,22,7,90,43,150
184,22,8,51,30087,1
185,23,1,30,110,1000
186,23,2,91,59,2000
187,23,3,21,34,1
188,23,4,150,116,1
189,23,5,164,150,1
190,23,6,51,20043,1
191,23,7,90,43,150
192,23,8,51,30087,1
193,24,1,103,98,500
194,24,2,30,110,1000
195,24,3,21,34,1
196,24,4,150,116,1
197,24,5,20,32,1
198,24,6,164,150,1
199,24,7,90,43,150
200,24,8,51,30092,1
201,25,1,30,110,1000
202,25,2,91,59,2000
203,25,3,21,34,1
204,25,4,150,116,1
205,25,5,20,32,1
206,25,6,164,150,1
207,25,7,90,43,150
208,25,8,51,30092,1
209,26,1,103,98,500
210,26,2,30,110,1000
211,26,3,21,34,1
