id,story_event_id,chara_id,support_card_id,limit_0,limit_1,limit_2,limit_3,limit_4,start_date,end_date
1,1014,1030,30081,10,13,16,20,25,1653879600,1654829999
2,1016,1013,30081,10,13,16,20,25,1659063600,1660100399
3,1017,1003,30067,10,13,16,20,25,1661742000,1662951599
4,1017,1035,30081,10,13,16,20,25,1661742000,1662951599
5,1020,1016,30081,10,13,16,20,25,1669604400,1670813999
6,1021,1001,30081,10,13,16,20,25,1672282800,1673319599
7,1023,1017,30067,10,13,16,20,25,1677207600,1678417199
8,1024,1003,30067,10,13,16,20,25,1680058800,1681095599
9,1024,1013,30081,10,13,16,20,25,1680058800,1681095599
10,1030,1003,30067,10,13,16,20,25,1698634800,1699498799
11,1030,1073,30067,10,13,16,20,25,1698634800,1699498799
12,1032,1001,30081,10,13,16,20,25,1703732400,1704769199
13,1032,1003,30067,10,13,16,20,25,1703732400,1704769199
14,1032,1001,30180,20,23,26,30,35,1703732400,1704769199
15,1032,1003,30180,20,23,26,30,35,1703732400,1704769199
16,1032,1068,30180,20,23,26,30,35,1703732400,1704769199
17,1033,1035,30081,10,13,16,20,25,1706670000,1707879599
18,1039,1016,30081,10,13,16,20,25,1727665200,1728615599
19,1041,1017,30067,10,13,16,20,25,1735268400,1736477999
20,1051,1002,30081,10,13,16,20,25,1769742000,1771037999
