id,story_event_id,mission_type,condition_type,condition_value_1,condition_value_2,condition_value_3,condition_value_4,condition_num,step_group_id,step_order,disp_order,item_category,item_id,item_num,transition_type,date_check_flg,start_date
1,1001,1,100004,0,0,0,0,1,1,1,1,94,45,3,10001,0,
2,1001,1,200008,0,0,0,0,1,2,1,2,94,45,3,20003,0,
3,1001,1,200005,0,0,0,0,1,3,1,3,94,45,3,20001,0,
4,1001,1,600022,0,0,0,0,1,4,1,4,94,45,3,0,0,
5,1001,1,900001,1,0,0,0,4,5,1,5,94,45,10,0,0,
6,1001,4,100004,1,0,0,0,3,1,1,1,100,58,200,10001,0,
7,1001,4,100004,1,0,0,0,5,1,2,1,94,45,10,10001,0,
8,1001,4,100004,1,0,0,0,10,1,3,1,100,58,500,10001,0,
9,1001,4,100004,1,0,0,0,20,1,5,1,94,45,20,10001,0,
10,1001,4,200005,0,0,0,0,5,2,1,2,94,45,10,20001,0,
11,1001,4,200005,0,0,0,0,10,2,2,2,100,58,200,20001,0,
12,1001,4,200005,0,0,0,0,20,2,3,2,94,45,20,20001,0,
13,1001,4,200005,0,0,0,0,30,2,4,2,100,58,500,20001,0,
14,1001,4,200005,0,0,0,0,50,2,5,2,94,45,30,20001,0,
15,1001,4,100003,0,0,0,0,5,3,1,3,100,58,200,10001,0,
16,1001,4,100003,0,0,0,0,10,3,2,3,94,45,10,10001,0,
17,1001,4,100003,0,0,0,0,20,3,3,3,100,58,500,10001,0,
18,1001,4,100003,0,0,0,0,30,3,4,3,94,45,20,10001,0,
19,1001,4,100003,0,0,0,0,40,3,5,3,100,58,1000,10001,0,
20,1001,4,100003,0,0,0,0,50,3,6,3,94,45,30,10001,0,
21,1001,4,200003,0,0,0,0,3,4,1,4,100,58,200,20003,0,
22,1001,4,200003,0,0,0,0,5,4,2,4,94,45,10,20003,0,
23,1001,4,200003,0,0,0,0,10,4,3,4,100,58,500,20003,0,
24,1001,4,200003,0,0,0,0,15,4,4,4,94,45,20,20003,0,
25,1001,4,200003,0,0,0,0,20,4,5,4,100,58,1000,20003,0,
26,1001,4,200003,0,0,0,0,25,4,6,4,94,45,30,20003,0,
27,1001,4,100007,100,1,0,0,3,5,1,5,94,45,10,10001,0,
28,1001,4,100007,100,1,0,0,5,5,2,5,100,58,200,10001,0,
29,1001,4,100007,100,1,0,0,10,5,3,5,94,45,20,10001,0,
30,1001,4,100007,100,1,0,0,20,5,4,5,100,58,500,10001,0,
31,1001,4,100007,100,1,0,0,30,5,5,5,94,45,30,10001,0,
32,1001,4,100027,0,0,0,0,100000,6,1,6,100,58,200,10001,0,
33,1001,4,100027,0,0,0,0,200000,6,2,6,94,45,10,10001,0,
34,1001,4,100027,0,0,0,0,300000,6,3,6,100,58,500,10001,0,
35,1001,4,100027,0,0,0,0,500000,6,4,6,94,45,20,10001,0,
36,1001,4,100027,0,0,0,0,1000000,6,5,6,100,58,1000,10001,0,
37,1001,4,100027,0,0,0,0,1500000,6,6,6,94,45,30,10001,0,
38,1001,4,500004,90001008,0,0,0,1,7,1,7,51,30025,1,0,0,
39,1001,6,900001,4,0,0,0,33,1,1,1,55,310101,1,0,0,
40,1002,1,100004,0,0,0,0,1,1,1,1,94,45,5,10001,0,
41,1002,1,100003,0,0,0,0,1,2,1,2,94,45,5,10001,0,
42,1002,1,200005,0,0,0,0,1,3,1,3,94,45,5,20001,0,
43,1002,1,600022,0,0,0,0,1,4,1,4,94,45,5,0,0,
44,1002,1,900001,1,0,0,0,4,5,1,5,94,45,10,0,0,
