id,story_event_id,ending_flag,character_id,dress_id,dress_color,chara_dress_color_set_id,menu_bg_id,menu_bg_sub_id,bgm_cue_name,bgm_cuesheet_name,env_cue_name,env_cuesheet_name
1,1001,0,9001,900101,0,0,1,1110,snd_bgm_GM029_sys_02,snd_bgm_GM029,snd_sfx_atmos_tokubetu_d,snd_sfx_atmos_tokubetu_d
2,1001,1,9001,900101,0,0,1,1110,snd_bgm_GM029_sys_02,snd_bgm_GM029,snd_sfx_atmos_tokubetu_d,snd_sfx_atmos_tokubetu_d
3,1002,0,1062,5,0,0,1,1110,snd_bgm_GM029_sys_02,snd_bgm_GM029,snd_sfx_atmos_tokubetu_d,snd_sfx_atmos_tokubetu_d
4,1002,1,1062,5,0,0,1,1110,snd_bgm_GM029_sys_02,snd_bgm_GM029,snd_sfx_atmos_tokubetu_d,snd_sfx_atmos_tokubetu_d
5,1003,0,1059,3,0,0,51,110,snd_bgm_AM028_sys_02,snd_bgm_AM028,snd_sfx_atmos_mori_d,snd_sfx_atmos_mori_d
6,1003,1,1059,3,0,0,126,110,snd_bgm_AM028_sys_02,snd_bgm_AM028,snd_sfx_atmos_namiki_d,snd_sfx_atmos_namiki_d
7,1004,0,1007,100701,0,0,113,110,snd_bgm_GM095_Lp01_sys,snd_bgm_GM095_Lp01,snd_sfx_atmos_aozora_d,snd_sfx_atmos_aozora_d
8,1004,1,1007,100701,0,0,113,110,snd_bgm_GM095_Lp01_sys,snd_bgm_GM095_Lp01,snd_sfx_atmos_aozora_d,snd_sfx_atmos_aozora_d
9,1005,0,1004,100430,0,0,132,1,snd_bgm_GM116_sys,snd_bgm_GM116,snd_sfx_atmos_zawazawa_e,snd_sfx_atmos_zawazawa_e
10,1005,1,1004,901004,0,0,135,111,snd_bgm_AM028_sys_02,snd_bgm_AM028,snd_sfx_atmos_room_d_noext,snd_sfx_atmos_room_d_noext
11,1006,0,1045,104540,0,0,146,130,snd_bgm_GM129_sys_02,snd_bgm_GM129,snd_sfx_atmos_aozora_n,snd_sfx_atmos_aozora_n
