id,factor_group_id,effect_id,target_type,value_1,value_2
1,1,1,1,1,0
2,1,2,1,4,0
3,1,3,1,7,0
4,1,4,1,10,0
5,1,5,1,13,0
6,1,6,1,16,0
7,1,7,1,19,0
8,1,8,1,22,0
9,1,9,1,25,0
10,1,10,1,28,0
11,2,1,2,1,0
12,2,2,2,4,0
13,2,3,2,7,0
14,2,4,2,10,0
15,2,5,2,13,0
16,2,6,2,16,0
17,2,7,2,19,0
18,2,8,2,22,0
19,2,9,2,25,0
20,2,10,2,28,0
21,3,1,3,1,0
22,3,2,3,4,0
23,3,3,3,7,0
24,3,4,3,10,0
25,3,5,3,13,0
26,3,6,3,16,0
27,3,7,3,19,0
28,3,8,3,22,0
29,3,9,3,25,0
30,3,10,3,28,0
31,4,1,4,1,0
32,4,2,4,4,0
33,4,3,4,7,0
34,4,4,4,10,0
35,4,5,4,13,0
36,4,6,4,16,0
37,4,7,4,19,0
38,4,8,4,22,0
39,4,9,4,25,0
40,4,10,4,28,0
41,5,1,5,1,0
42,5,2,5,4,0
43,5,3,5,7,0
44,5,4,5,10,0
45,5,5,5,13,0
46,5,6,5,16,0
47,5,7,5,19,0
48,5,8,5,22,0
49,5,9,5,25,0
50,5,10,5,28,0
51,11,1,11,1,0
52,11,2,11,2,0
53,12,1,12,1,0
54,12,2,12,2,0
55,21,1,21,1,0
56,21,2,21,2,0
57,22,1,22,1,0
58,22,2,22,2,0
59,23,1,23,1,0
60,23,2,23,2,0
61,24,1,24,1,0
62,24,2,24,2,0
63,31,1,31,1,0
64,31,2,31,2,0
65,32,1,32,1,0
66,32,2,32,2,0
67,33,1,33,1,0
68,33,2,33,2,0
69,34,1,34,1,0
70,34,2,34,2,0
71,100101,1,41,900011,1
72,100102,1,41,910011,1
73,100101,2,41,900011,2
74,100102,2,41,910011,2
75,100101,3,41,900011,3
76,100102,3,41,910011,3
77,100201,1,41,900021,1
79,100201,2,41,900021,2
81,100201,3,41,900021,3
83,100301,1,41,900031,1
84,100302,1,41,910031,1
85,100301,2,41,900031,2
86,100302,2,41,910031,2
87,100301,3,41,900031,3
88,100302,3,41,910031,3
89,100401,1,41,900041,1
90,100402,1,41,910041,1
91,100401,2,41,900041,2
92,100402,2,41,910041,2
93,100401,3,41,900041,3
94,100402,3,41,910041,3
95,100501,1,41,900051,1
97,100501,2,41,900051,2
99,100501,3,41,900051,3
101,100601,1,41,900061,1
102,100602,1,41,910061,1
103,100601,2,41,900061,2
104,100602,2,41,910061,2
105,100601,3,41,900061,3
106,100602,3,41,910061,3
107,100701,1,41,900071,1
109,100701,2,41,900071,2
111,100701,3,41,900071,3
113,100801,1,41,900081,1
115,100801,2,41,900081,2
117,100801,3,41,900081,3
119,100901,1,41,900091,1
121,100901,2,41,900091,2
123,100901,3,41,900091,3
125,101001,1,41,900101,1
127,101001,2,41,900101,2
129,101001,3,41,900101,3
131,101101,1,41,900111,1
132,101102,1,41,910111,1
133,101101,2,41,900111,2
134,101102,2,41,910111,2
135,101101,3,41,900111,3
136,101102,3,41,910111,3
137,101201,1,41,900121,1
139,101201,2,41,900121,2
141,101201,3,41,900121,3
143,101301,1,41,900131,1
144,101302,1,41,910131,1
145,101301,2,41,900131,2
146,101302,2,41,910131,2
147,101301,3,41,900131,3
148,101302,3,41,910131,3
149,101401,1,41,900141,1
150,101402,1,41,910141,1
151,101401,2,41,900141,2
152,101402,2,41,910141,2
153,101401,3,41,900141,3
154,101402,3,41,910141,3
155,101501,1,41,900151,1
156,101502,1,41,910151,1
157,101501,2,41,900151,2
158,101502,2,41,910151,2
159,101501,3,41,900151,3
160,101502,3,41,910151,3
161,101601,1,41,900161,1
162,101601,2,41,900161,2
163,101601,3,41,900161,3
164,101701,1,41,900171,1
165,101702,1,41,910171,1
166,101701,2,41,900171,2
167,101702,2,41,910171,2
168,101701,3,41,900171,3
169,101702,3,41,910171,3
170,101801,1,41,900181,1
172,101801,2,41,900181,2
174,101801,3,41,900181,3
176,101901,1,41,900191,1
177,101901,2,41,900191,2
178,101901,3,41,900191,3
179,102001,1,41,900201,1
181,102001,2,41,900201,2
183,102001,3,41,900201,3
185,102101,1,41,900211,1
186,102101,2,41,900211,2
187,102101,3,41,900211,3
188,102201,1,41,900221,1
189,102201,2,41,900221,2
190,102201,3,41,900221,3
191,102301,1,41,900231,1
192,102301,2,41,900231,2
193,102301,3,41,900231,3
194,102401,1,41,900241,1
196,102401,2,41,900241,2
198,102401,3,41,900241,3
200,102501,1,41,900251,1
201,102501,2,41,900251,2
202,102501,3,41,900251,3
203,102601,1,41,900261,1
204,102601,2,41,900261,2
205,102601,3,41,900261,3
206,102701,1,41,900271,1
208,102701,2,41,900271,2
210,102701,3,41,900271,3
212,102801,1,41,900281,1
213,102801,2,41,900281,2
214,102801,3,41,900281,3
215,102901,1,41,900291,1
216,102901,2,41,900291,2
217,102901,3,41,900291,3
218,103001,1,41,900301,1
219,103002,1,41,910301,1
220,103001,2,41,900301,2
221,103002,2,41,910301,2
222,103001,3,41,900301,3
223,103002,3,41,910301,3
224,103101,1,41,900311,1
225,103101,2,41,900311,2
226,103101,3,41,900311,3
227,103201,1,41,900321,1
229,103201,2,41,900321,2
231,103201,3,41,900321,3
233,103301,1,41,900331,1
234,103301,2,41,900331,2
235,103301,3,41,900331,3
236,103401,1,41,900341,1
237,103401,2,41,900341,2
238,103401,3,41,900341,3
239,103501,1,41,900351,1
241,103501,2,41,900351,2
243,103501,3,41,900351,3
245,103601,1,41,900361,1
246,103601,2,41,900361,2
247,103601,3,41,900361,3
248,103701,1,41,900371,1
249,103701,2,41,900371,2
250,103701,3,41,900371,3
251,103801,1,41,900381,1
252,103801,2,41,900381,2
253,103801,3,41,900381,3
254,103901,1,41,900391,1
255,103901,2,41,900391,2
256,103901,3,41,900391,3
257,104001,1,41,900401,1
258,104002,1,41,910401,1
259,104001,2,41,900401,2
260,104002,2,41,910401,2
261,104001,3,41,900401,3
262,104002,3,41,910401,3
263,104101,1,41,900411,1
265,104101,2,41,900411,2
267,104101,3,41,900411,3
269,104201,1,41,900421,1
270,104201,2,41,900421,2
271,104201,3,41,900421,3
272,104301,1,41,900431,1
273,104301,2,41,900431,2
274,104301,3,41,900431,3
275,104401,1,41,900441,1
276,104401,2,41,900441,2
277,104401,3,41,900441,3
278,104501,1,41,900451,1
279,104502,1,41,910451,1
280,104501,2,41,900451,2
281,104502,2,41,910451,2
282,104501,3,41,900451,3
283,104502,3,41,910451,3
284,104601,1,41,900461,1
285,104601,2,41,900461,2
286,104601,3,41,900461,3
287,104701,1,41,900471,1
288,104701,2,41,900471,2
289,104701,3,41,900471,3
290,104801,1,41,900481,1
291,104801,2,41,900481,2
292,104801,3,41,900481,3
293,104901,1,41,900491,1
294,104901,2,41,900491,2
295,104901,3,41,900491,3
296,105001,1,41,900501,1
297,105001,2,41,900501,2
298,105001,3,41,900501,3
299,105101,1,41,900511,1
300,105101,2,41,900511,2
301,105101,3,41,900511,3
302,105201,1,41,900521,1
303,105202,1,41,910521,1
304,105201,2,41,900521,2
305,105202,2,41,910521,2
306,105201,3,41,900521,3
307,105202,3,41,910521,3
308,105301,1,41,900531,1
309,105301,2,41,900531,2
310,105301,3,41,900531,3
314,105501,1,41,900551,1
315,105501,2,41,900551,2
316,105501,3,41,900551,3
317,105601,1,41,900561,1
