id,rental_rank,rental_num,use_value1,use_value2
1,1,1,20,10
2,1,2,20,10
3,1,3,20,10
4,1,4,20,10
5,1,5,20,10
6,1,6,20,10
7,1,7,20,10
8,1,8,20,10
9,1,9,20,10
10,1,10,20,10
11,2,1,50,30
12,2,2,50,30
13,2,3,50,30
14,2,4,50,30
15,2,5,50,30
16,2,6,50,30
17,2,7,50,30
18,2,8,50,30
19,2,9,50,30
20,2,10,50,30
21,3,1,100,60
22,3,2,100,60
23,3,3,100,60
24,3,4,100,60
25,3,5,100,60
26,3,6,100,60
27,3,7,100,60
28,3,8,100,60
29,3,9,100,60
30,3,10,100,60
31,4,1,170,100
32,4,2,170,100
33,4,3,170,100
34,4,4,170,100
35,4,5,170,100
36,4,6,170,100
37,4,7,170,100
38,4,8,170,100
39,4,9,170,100
40,4,10,170,100
41,5,1,260,150
42,5,2,260,150
43,5,3,260,150
44,5,4,260,150
45,5,5,260,150
46,5,6,260,150
47,5,7,260,150
48,5,8,260,150
49,5,9,260,150
50,5,10,260,150
51,6,1,380,220
52,6,2,380,220
53,6,3,380,220
54,6,4,380,220
55,6,5,380,220
56,6,6,380,220
57,6,7,380,220
58,6,8,380,220
59,6,9,380,220
60,6,10,380,220
61,7,1,530,310
62,7,2,530,310
63,7,3,530,310
64,7,4,530,310
65,7,5,530,310
66,7,6,530,310
67,7,7,530,310
68,7,8,530,310
69,7,9,530,310
70,7,10,530,310
71,8,1,710,410
72,8,2,710,410
73,8,3,710,410
74,8,4,710,410
75,8,5,710,410
76,8,6,710,410
77,8,7,710,410
78,8,8,710,410
79,8,9,710,410
80,8,10,710,410
81,9,1,920,520
82,9,2,920,520
83,9,3,920,520
84,9,4,920,520
85,9,5,920,520
86,9,6,920,520
87,9,7,920,520
88,9,8,920,520
89,9,9,920,520
90,9,10,920,520
91,10,1,1170,660
92,10,2,1170,660
93,10,3,1170,660
94,10,4,1170,660
95,10,5,1170,660
96,10,6,1170,660
97,10,7,1170,660
98,10,8,1170,660
99,10,9,1170,660
100,10,10,1170,660
101,11,1,1460,820
102,11,2,1460,820
103,11,3,1460,820
104,11,4,1460,820
105,11,5,1460,820
106,11,6,1460,820
107,11,7,1460,820
108,11,8,1460,820
109,11,9,1460,820
110,11,10,1460,820
111,12,1,1790,1000
112,12,2,1790,1000
113,12,3,1790,1000
114,12,4,1790,1000
115,12,5,1790,1000
116,12,6,1790,1000
117,12,7,1790,1000
118,12,8,1790,1000
119,12,9,1790,1000
120,12,10,1790,1000
121,13,1,2480,1380
122,13,2,2480,1380
123,13,3,2480,1380
124,13,4,2480,1380
125,13,5,2480,1380
126,13,6,2480,1380
127,13,7,2480,1380
128,13,8,2480,1380
129,13,9,2480,1380
130,13,10,2480,1380
131,14,1,3370,1860
132,14,2,3370,1860
133,14,3,3370,1860
134,14,4,3370,1860
135,14,5,3370,1860
136,14,6,3370,1860
137,14,7,3370,1860
138,14,8,3370,1860
139,14,9,3370,1860
140,14,10,3370,1860
141,15,1,4940,2720
142,15,2,4940,2720
143,15,3,4940,2720
144,15,4,4940,2720
145,15,5,4940,2720
146,15,6,4940,2720
147,15,7,4940,2720
148,15,8,4940,2720
149,15,9,4940,2720
150,15,10,4940,2720
151,16,1,7100,3880
152,16,2,7100,3880
153,16,3,7100,3880
154,16,4,7100,3880
155,16,5,7100,3880
156,16,6,7100,3880
157,16,7,7100,3880
158,16,8,7100,3880
159,16,9,7100,3880
160,16,10,7100,3880
161,17,1,10020,5440
162,17,2,10020,5440
163,17,3,10020,5440
164,17,4,10020,5440
165,17,5,10020,5440
166,17,6,10020,5440
167,17,7,10020,5440
168,17,8,10020,5440
169,17,9,10020,5440
170,17,10,10020,5440
171,18,1,13920,7520
172,18,2,13920,7520
173,18,3,13920,7520
174,18,4,13920,7520
175,18,5,13920,7520
176,18,6,13920,7520
177,18,7,13920,7520
178,18,8,13920,7520
179,18,9,13920,7520
180,18,10,13920,7520
181,19,1,14650,7860
182,19,2,14650,7860
183,19,3,14650,7860
184,19,4,14650,7860
185,19,5,14650,7860
186,19,6,14650,7860
187,19,7,14650,7860
188,19,8,14650,7860
189,19,9,14650,7860
190,19,10,14650,7860
191,20,1,14650,7860
192,20,2,14650,7860
193,20,3,14650,7860
194,20,4,14650,7860
195,20,5,14650,7860
196,20,6,14650,7860
197,20,7,14650,7860
198,20,8,14650,7860
199,20,9,14650,7860
200,20,10,14650,7860
201,21,1,14650,7860
202,21,2,14650,7860
203,21,3,14650,7860
204,21,4,14650,7860
205,21,5,14650,7860
206,21,6,14650,7860
207,21,7,14650,7860
208,21,8,14650,7860
209,21,9,14650,7860
210,21,10,14650,7860
211,22,1,14650,7860
212,22,2,14650,7860
213,22,3,14650,7860
214,22,4,14650,7860
215,22,5,14650,7860
216,22,6,14650,7860
217,22,7,14650,7860
218,22,8,14650,7860
219,22,9,14650,7860
220,22,10,14650,7860
221,23,1,14650,7860
222,23,2,14650,7860
223,23,3,14650,7860
224,23,4,14650,7860
225,23,5,14650,7860
226,23,6,14650,7860
227,23,7,14650,7860
228,23,8,14650,7860
229,23,9,14650,7860
230,23,10,14650,7860
231,24,1,14650,7860
232,24,2,14650,7860
233,24,3,14650,7860
234,24,4,14650,7860
235,24,5,14650,7860
236,24,6,14650,7860
237,24,7,14650,7860
238,24,8,14650,7860
239,24,9,14650,7860
240,24,10,14650,7860
241,25,1,14650,7860
242,25,2,14650,7860
243,25,3,14650,7860
244,25,4,14650,7860
245,25,5,14650,7860
246,25,6,14650,7860
247,25,7,14650,7860
248,25,8,14650,7860
249,25,9,14650,7860
250,25,10,14650,7860
251,26,1,14650,7860
252,26,2,14650,7860
253,26,3,14650,7860
254,26,4,14650,7860
255,26,5,14650,7860
256,26,6,14650,7860
257,26,7,14650,7860
258,26,8,14650,7860
259,26,9,14650,7860
260,26,10,14650,7860
261,27,1,14650,7860
262,27,2,14650,7860
263,27,3,14650,7860
264,27,4,14650,7860
265,27,5,14650,7860
266,27,6,14650,7860
267,27,7,14650,7860
268,27,8,14650,7860
269,27,9,14650,7860
270,27,10,14650,7860
271,28,1,14650,7860
272,28,2,14650,7860
273,28,3,14650,7860
274,28,4,14650,7860
275,28,5,14650,7860
276,28,6,14650,7860
277,28,7,14650,7860
278,28,8,14650,7860
279,28,9,14650,7860
280,28,10,14650,7860
281,29,1,14650,7860
282,29,2,14650,7860
283,29,3,14650,7860
284,29,4,14650,7860
285,29,5,14650,7860
286,29,6,14650,7860
287,29,7,14650,7860
288,29,8,14650,7860
289,29,9,14650,7860
290,29,10,14650,7860
291,30,1,14650,7860
292,30,2,14650,7860
293,30,3,14650,7860
294,30,4,14650,7860
295,30,5,14650,7860
296,30,6,14650,7860
297,30,7,14650,7860
298,30,8,14650,7860
299,30,9,14650,7860
300,30,10,14650,7860
301,31,1,14650,7860
302,31,2,14650,7860
303,31,3,14650,7860
304,31,4,14650,7860
305,31,5,14650,7860
306,31,6,14650,7860
307,31,7,14650,7860
308,31,8,14650,7860
309,31,9,14650,7860
310,31,10,14650,7860
311,32,1,14650,7860
312,32,2,14650,7860
313,32,3,14650,7860
314,32,4,14650,7860
315,32,5,14650,7860
316,32,6,14650,7860
317,32,7,14650,7860
318,32,8,14650,7860
319,32,9,14650,7860
320,32,10,14650,7860
321,33,1,14650,7860
322,33,2,14650,7860
323,33,3,14650,7860
324,33,4,14650,7860
325,33,5,14650,7860
326,33,6,14650,7860
327,33,7,14650,7860
328,33,8,14650,7860
329,33,9,14650,7860
330,33,10,14650,7860
331,34,1,14650,7860
332,34,2,14650,7860
333,34,3,14650,7860
334,34,4,14650,7860
335,34,5,14650,7860
336,34,6,14650,7860
337,34,7,14650,7860
338,34,8,14650,7860
339,34,9,14650,7860
340,34,10,14650,7860
341,35,1,14650,7860
342,35,2,14650,7860
343,35,3,14650,7860
344,35,4,14650,7860
345,35,5,14650,7860
346,35,6,14650,7860
347,35,7,14650,7860
348,35,8,14650,7860
349,35,9,14650,7860
350,35,10,14650,7860
351,36,1,14650,7860
352,36,2,14650,7860
353,36,3,14650,7860
354,36,4,14650,7860
355,36,5,14650,7860
356,36,6,14650,7860
357,36,7,14650,7860
358,36,8,14650,7860
359,36,9,14650,7860
360,36,10,14650,7860
361,37,1,14650,7860
362,37,2,14650,7860
363,37,3,14650,7860
364,37,4,14650,7860
365,37,5,14650,7860
366,37,6,14650,7860
367,37,7,14650,7860
368,37,8,14650,7860
369,37,9,14650,7860
370,37,10,14650,7860
371,38,1,14650,7860
372,38,2,14650,7860
373,38,3,14650,7860
374,38,4,14650,7860
375,38,5,14650,7860
376,38,6,14650,7860
377,38,7,14650,7860
378,38,8,14650,7860
379,38,9,14650,7860
380,38,10,14650,7860
381,39,1,14650,7860
382,39,2,14650,7860
383,39,3,14650,7860
384,39,4,14650,7860
385,39,5,14650,7860
386,39,6,14650,7860
387,39,7,14650,7860
388,39,8,14650,7860
389,39,9,14650,7860
390,39,10,14650,7860
391,40,1,14650,7860
392,40,2,14650,7860
393,40,3,14650,7860
394,40,4,14650,7860
395,40,5,14650,7860
396,40,6,14650,7860
397,40,7,14650,7860
398,40,8,14650,7860
399,40,9,14650,7860
400,40,10,14650,7860
401,41,1,14650,7860
402,41,2,14650,7860
403,41,3,14650,7860
404,41,4,14650,7860
405,41,5,14650,7860
406,41,6,14650,7860
407,41,7,14650,7860
408,41,8,14650,7860
409,41,9,14650,7860
410,41,10,14650,7860
411,42,1,14650,7860
412,42,2,14650,7860
413,42,3,14650,7860
414,42,4,14650,7860
415,42,5,14650,7860
416,42,6,14650,7860
417,42,7,14650,7860
418,42,8,14650,7860
419,42,9,14650,7860
