id,type,init,limit_lv5,limit_lv10,limit_lv15,limit_lv20,limit_lv25,limit_lv30,limit_lv35,limit_lv40,limit_lv45,limit_lv50
10001,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10001,2,10,-1,-1,-1,25,-1,-1,-1,35,-1,-1
10001,5,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10001,14,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10001,17,-1,1,-1,1,1,-1,-1,2,-1,-1,-1
10001,18,-1,5,-1,20,20,-1,-1,30,-1,-1,-1
10001,19,-1,5,-1,20,20,-1,-1,35,-1,-1,-1
10002,1,5,-1,-1,-1,15,-1,-1,-1,20,-1,-1
10002,2,-1,10,-1,15,15,-1,-1,25,-1,-1,-1
10002,14,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10002,15,-1,1,-1,1,1,-1,-1,5,-1,-1,-1
10002,16,-1,1,-1,5,5,-1,-1,10,-1,-1,-1
10002,19,5,-1,-1,-1,35,-1,-1,-1,50,-1,-1
10002,30,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10003,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10003,2,10,-1,-1,-1,25,-1,-1,-1,35,-1,-1
10003,5,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10003,14,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10003,17,-1,1,-1,1,1,-1,-1,2,-1,-1,-1
10003,18,-1,5,-1,20,20,-1,-1,30,-1,-1,-1
10003,19,-1,5,-1,20,20,-1,-1,35,-1,-1,-1
10004,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10004,5,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10004,8,1,-1,-1,-1,5,-1,-1,-1,10,-1,-1
10004,9,10,-1,-1,-1,20,-1,-1,-1,25,-1,-1
10004,15,1,-1,-1,-1,5,-1,-1,-1,5,-1,-1
10004,16,1,-1,-1,-1,10,-1,-1,-1,15,-1,-1
10004,19,-1,5,-1,20,20,-1,-1,35,-1,-1,-1
10005,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10005,2,10,-1,-1,-1,25,-1,-1,-1,35,-1,-1
10005,5,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10005,14,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10005,17,-1,1,-1,1,1,-1,-1,2,-1,-1,-1
10005,18,-1,5,-1,20,20,-1,-1,30,-1,-1,-1
10005,19,-1,5,-1,20,20,-1,-1,35,-1,-1,-1
10006,1,5,-1,-1,10,10,-1,-1,15,-1,-1,-1
10006,2,-1,10,-1,15,15,-1,-1,25,-1,-1,-1
10006,4,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
10006,8,-1,1,-1,5,5,-1,-1,5,-1,-1,-1
10006,14,-1,10,-1,15,15,-1,-1,20,-1,-1,-1
10006,17,1,-1,-1,-1,2,-1,-1,-1,2,-1,-1
10006,18,5,-1,-1,-1,30,-1,-1,-1,40,-1,-1
10007,1,5,-1,-1,-1,15,-1,-1,-1,20,-1,-1
10007,2,-1,10,-1,15,15,-1,-1,25,-1,-1,-1
10007,5,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
