id,lv,type_0,value_0,value_0_1,value_0_2,value_0_3,value_0_4,type_1,value_1,value_1_1,value_1_2,value_1_3,value_1_4,idle_mode_sub_rate
20001,1,30,1,0,0,0,0,13,20,0,0,0,0,0
20002,1,2,15,0,0,0,0,14,15,0,0,0,0,0
20003,1,1,10,0,0,0,0,15,5,0,0,0,0,0
20004,1,2,15,0,0,0,0,15,5,0,0,0,0,0
20005,1,1,10,0,0,0,0,11,20,0,0,0,0,0
20006,1,8,5,0,0,0,0,18,20,0,0,0,0,0
20007,1,1,10,0,0,0,0,19,20,0,0,0,0,0
20008,1,8,5,0,0,0,0,19,20,0,0,0,0,0
20009,1,1,10,0,0,0,0,18,20,0,0,0,0,0
20010,1,2,15,0,0,0,0,15,5,0,0,0,0,0
20011,1,6,1,0,0,0,0,12,20,0,0,0,0,0
20012,1,30,1,0,0,0,0,18,20,0,0,0,0,0
20013,1,2,15,0,0,0,0,15,5,0,0,0,0,0
20014,1,2,15,0,0,0,0,19,20,0,0,0,0,0
20015,1,2,15,0,0,0,0,13,20,0,0,0,0,0
20016,1,1,10,0,0,0,0,14,15,0,0,0,0,0
20017,1,8,5,0,0,0,0,18,20,0,0,0,0,0
20018,1,8,5,0,0,0,0,13,20,0,0,0,0,0
20019,1,2,15,0,0,0,0,12,20,0,0,0,0,0
20020,1,3,1,0,0,0,0,9,20,0,0,0,0,0
20021,1,27,10,0,0,0,0,28,5,0,0,0,0,0
20022,1,30,1,0,0,0,0,12,20,0,0,0,0,0
20023,1,8,5,0,0,0,0,18,20,0,0,0,0,0
20024,1,2,15,0,0,0,0,19,20,0,0,0,0,0
20025,1,7,1,0,0,0,0,19,20,0,0,0,0,0
20026,1,8,5,0,0,0,0,13,20,0,0,0,0,0
20027,1,2,15,0,0,0,0,15,5,0,0,0,0,0
20028,1,1,10,0,0,0,0,10,20,0,0,0,0,0
20029,1,1,10,0,0,0,0,14,15,0,0,0,0,0
20030,1,2,15,0,0,0,0,15,5,0,0,0,0,0
20031,1,1,10,0,0,0,0,14,15,0,0,0,0,0
20032,1,1,10,0,0,0,0,4,1,0,0,0,0,0
20033,1,3,1,0,0,0,0,19,20,0,0,0,0,0
20034,1,2,15,0,0,0,0,18,20,0,0,0,0,0
20035,1,2,15,0,0,0,0,15,5,0,0,0,0,0
20036,1,4,1,0,0,0,0,12,20,0,0,0,0,0
20037,1,5,1,0,0,0,0,14,15,0,0,0,0,0
20038,1,8,5,0,0,0,0,9,20,0,0,0,0,0
20039,1,8,5,0,0,0,0,18,20,0,0,0,0,0
20040,1,1,10,0,0,0,0,6,1,0,0,0,0,0
20041,1,3,1,0,0,0,0,15,5,0,0,0,0,0
20042,1,1,10,0,0,0,0,19,20,0,0,0,0,0
20043,1,8,5,0,0,0,0,11,20,0,0,0,0,0
20044,1,1,10,0,0,0,0,15,5,0,0,0,0,0
20045,1,8,5,0,0,0,0,11,20,0,0,0,0,0
20046,1,8,5,0,0,0,0,13,20,0,0,0,0,0
20047,1,10,20,0,0,0,0,12,20,0,0,0,0,0
20048,1,5,1,0,0,0,0,15,5,0,0,0,0,0
20049,1,3,1,0,0,0,0,13,20,0,0,0,0,0
20050,1,8,5,0,0,0,0,15,5,0,0,0,0,0
20051,1,1,10,0,0,0,0,30,1,0,0,0,0,0
20052,1,6,1,0,0,0,0,8,5,0,0,0,0,0
20053,1,1,10,0,0,0,0,15,5,0,0,0,0,0
20054,1,1,10,0,0,0,0,4,1,0,0,0,0,0
20055,1,1,10,0,0,0,0,3,1,0,0,0,0,0
20056,1,1,10,0,0,0,0,30,1,0,0,0,0,0
20057,1,8,5,0,0,0,0,15,5,0,0,0,0,0
20058,1,1,10,0,0,0,0,4,1,0,0,0,0,0
20059,1,5,1,0,0,0,0,14,15,0,0,0,0,0
20060,1,8,5,0,0,0,0,30,1,0,0,0,0,0
20061,1,8,5,0,0,0,0,15,5,0,0,0,0,0
20062,1,1,10,0,0,0,0,13,20,0,0,0,0,0
20063,1,2,15,0,0,0,0,14,15,0,0,0,0,0
20064,1,8,5,0,0,0,0,18,20,0,0,0,0,0
20065,1,8,5,0,0,0,0,15,5,0,0,0,0,0
20066,1,8,5,0,0,0,0,12,20,0,0,0,0,0
20067,1,3,1,0,0,0,0,19,20,0,0,0,0,0
20068,1,4,1,0,0,0,0,19,20,0,0,0,0,0
20069,1,5,1,0,0,0,0,2,15,0,0,0,0,0
20070,1,1,10,0,0,0,0,3,1,0,0,0,0,0
20071,1,1,10,0,0,0,0,19,20,0,0,0,0,0
20072,1,30,1,0,0,0,0,13,20,0,0,0,0,0
20073,1,5,1,0,0,0,0,8,5,0,0,0,0,0
20074,1,10,20,0,0,0,0,30,1,0,0,0,0,0
