id,chara_group_id,chara_id
1,1,1008
2,1,1009
3,2,1011
4,2,1024
5,3,1007
6,3,1013
7,4,1038
8,4,1041
9,5,1006
10,5,1010
11,6,1003
12,6,1017
13,7,1067
14,7,1068
15,8,1046
16,8,1098
17,9,1010
18,9,1085
19,10,1008
20,10,1019
21,11,1017
22,11,1057
23,12,1021
24,12,1034
25,13,1099
26,13,1100
27,14,1028
28,14,1087
29,15,1011
30,15,1065
31,16,1012
32,16,1022
33,17,1016
34,17,1083
35,18,1019
36,18,1046
37,19,1042
38,19,1061
39,20,1029
40,20,1044
41,21,1040
42,21,1072
43,22,1030
44,22,1076
45,23,1043
46,23,1098
47,24,1051
48,24,1053
49,25,1063
50,25,1078
51,26,1027
52,26,1064
53,27,1050
54,27,1062
55,28,1080
56,28,1099
57,29,1028
58,29,1054
59,30,1059
60,30,1018
61,31,1094
62,31,1077
63,32,1119
64,32,1007
65,33,1046
66,33,1100
67,34,1060
68,34,1065
69,35,1086
70,35,1029
71,36,1023
72,36,1016
73,37,1106
74,37,1025
75,38,1079
76,38,1019
