id,team_building_event_id,chara_group_id,skill_id
1,1001,1,1200031
2,1001,2,1200011
3,1001,3,1200021
4,1002,4,1200041
5,1002,5,1200031
6,1002,6,1200011
7,1002,7,1200021
8,1002,8,1200051
9,1003,9,1200041
10,1003,10,1200031
11,1003,11,1200011
12,1003,12,1200021
13,1003,13,1200051
14,1004,14,1200041
15,1004,15,1200031
16,1004,16,1200011
17,1004,17,1200021
18,1004,18,1200051
19,1005,19,1200041
20,1005,20,1200031
21,1005,21,1200011
22,1005,22,1200021
23,1005,23,1200051
24,1006,24,1200041
25,1006,25,1200031
26,1006,26,1200011
27,1006,27,1200021
28,1006,28,1200051
29,1007,29,1200041
30,1007,30,1200031
31,1007,31,1200011
32,1007,32,1200021
33,1007,33,1200051
34,1008,34,1200041
35,1008,35,1200031
36,1008,36,1200011
37,1008,37,1200021
38,1008,38,1200051
