id,npc_group_id,chara_id,mob_id,race_dress_id,speed,stamina,pow,guts,wiz,proper_distance_short,proper_distance_mile,proper_distance_middle,proper_distance_long,proper_running_style_nige,proper_running_style_senko,proper_running_style_sashi,proper_running_style_oikomi,proper_ground_turf,proper_ground_dirt,skill_set_id
1,1,1,8001,8,352,376,344,492,366,6,5,1,1,6,5,4,3,6,1,61800130
2,1,1,8352,8,480,485,357,243,282,1,1,5,6,4,5,6,5,6,1,61808530
3,1,1,8100,8,399,430,366,250,445,5,6,5,2,4,5,6,5,6,1,51808220
4,1,1,8307,11,336,455,455,332,256,2,5,6,5,3,4,5,6,6,1,61829230
5,1,1,8481,8,434,438,343,438,198,2,5,6,5,5,6,5,4,6,1,61805930
6,1,1,8515,11,328,244,414,444,466,6,5,1,1,5,6,5,4,1,6,61851530
7,1001,1010,0,101001,455,370,476,333,374,7,7,3,1,5,7,3,1,7,5,201001
8,1001,1,8061,12,458,454,354,344,208,5,6,5,1,5,6,5,4,6,1,51806120
9,1001,1,8064,11,283,469,281,350,490,5,6,5,2,5,6,5,4,6,1,51806420
10,1001,1,8067,8,401,423,319,419,349,5,6,5,2,5,6,5,4,6,1,51806720
11,1001,1,8082,12,374,436,374,196,475,5,6,5,2,4,5,6,5,6,1,51808220
12,1001,1,8085,12,431,393,336,241,492,5,6,5,2,4,5,6,5,6,1,51808520
13,1001,1,8088,12,311,443,383,383,418,5,6,5,2,4,5,6,5,6,1,51808820
14,1002,1004,0,100401,421,364,414,340,421,6,7,6,5,7,3,1,1,7,4,200401
15,1002,1,8070,11,434,437,351,184,412,5,6,5,2,5,6,5,4,6,1,51807020
16,1002,1,8073,12,345,293,420,365,480,5,6,5,2,5,6,5,4,6,1,51807320
17,1002,1,8091,8,418,455,322,430,259,5,6,5,2,4,5,6,5,6,1,51809120
18,1002,1,8121,11,353,481,422,281,334,5,6,5,2,3,4,5,6,6,1,51812120
19,1002,1,8415,11,356,317,471,394,387,5,6,5,1,6,5,4,3,6,1,51841520
20,1002,1,8421,11,302,328,254,476,490,5,6,5,1,5,6,5,4,6,1,51842120
21,1003,1002,0,100201,397,312,421,374,326,4,7,7,3,7,5,3,1,7,1,200201
22,1003,1,8154,8,366,294,511,511,235,2,5,6,5,5,6,5,4,6,1,51815430
23,1003,1,8157,8,378,260,353,438,480,2,5,6,5,5,6,5,4,6,1,51815730
