id,team_rank,team_min_value,team_max_value,reward_group_id
1,1,1,99999,0
2,2,100000,109999,2
3,3,110000,119999,3
4,4,120000,129999,4
5,5,130000,139999,5
6,6,140000,149999,6
7,7,150000,159999,7
8,8,160000,169999,8
9,9,170000,174999,9
10,10,175000,179999,10
11,11,180000,184999,11
12,12,185000,189999,12
13,13,190000,194999,13
14,14,195000,199999,14
15,15,200000,204999,15
16,16,205000,209999,16
17,17,210000,214999,17
18,18,215000,219999,18
19,19,220000,224999,19
20,20,225000,229999,20
21,21,230000,234999,21
22,22,235000,239999,22
23,23,240000,244999,23
24,24,245000,249999,24
25,25,250000,254999,25
26,26,255000,259999,26
27,27,260000,264999,27
28,28,265000,269999,28
29,29,270000,274999,29
30,30,275000,999999,30
