id,reward_group_id,item_category,item_id,item_num
1,2,103,98,1000
2,2,34,95,5
3,3,91,59,10000
4,3,30,110,5000
5,4,11,160,10
6,4,11,161,5
7,5,90,43,100
8,6,103,98,1500
9,6,34,95,5
10,7,91,59,15000
11,7,30,110,7500
12,8,11,160,10
13,8,11,161,5
14,9,90,43,100
15,10,103,98,2000
16,10,34,95,5
17,11,91,59,20000
18,11,30,110,10000
19,12,93,44,10
20,13,90,43,100
21,14,103,98,2500
22,14,34,95,5
23,15,91,59,30000
24,15,30,110,15000
25,16,93,44,10
26,17,90,43,200
27,18,164,150,1
28,19,40,41,1
29,20,11,162,5
30,20,11,163,2
31,21,40,111,1
32,22,11,162,5
33,22,11,163,3
34,23,93,44,10
35,24,97,115,4
36,25,90,43,300
37,26,93,44,10
38,27,90,43,300
39,28,164,149,1
40,29,97,115,5
41,30,90,43,500
