id,chara_rank,scout_value
1,1,1000
2,2,1000
3,3,1000
4,4,1000
5,5,1000
6,6,1000
7,7,1000
8,8,1000
9,9,1000
10,10,1000
11,11,1000
12,12,1000
13,13,1000
14,14,1000
15,15,1000
16,16,1000
17,17,1000
18,18,1000
19,19,1000
20,20,1050
21,21,1100
22,22,1150
23,23,1200
24,24,1250
25,25,1300
26,26,1350
27,27,1400
28,28,1450
29,29,1500
30,30,1550
31,31,1600
32,32,1650
33,33,1700
34,34,1750
35,35,1800
36,36,1850
37,37,1900
38,38,1950
39,39,2000
40,40,2050
41,41,2100
42,42,2150
43,43,2200
44,44,2250
45,45,2300
46,46,2350
47,47,2400
48,48,2450
49,49,2500
50,50,2550
51,51,2600
52,52,2650
53,53,2700
54,54,2750
55,55,2800
56,56,2900
57,57,3000
58,58,3100
59,59,3200
60,60,3300
61,61,3400
62,62,3500
63,63,3600
64,64,3700
65,65,3800
66,66,4000
67,67,4200
68,68,4400
69,69,4600
70,70,4800
71,71,5000
72,72,5000
73,73,5000
74,74,5000
75,75,5000
76,76,5000
77,77,5000
78,78,5000
79,79,5000
80,80,5000
81,81,5000
82,82,5000
83,83,5000
84,84,5000
85,85,5000
86,86,5000
87,87,5000
88,88,5000
89,89,5000
90,90,5000
91,91,5000
92,92,5000
93,93,5000
94,94,5000
95,95,5000
96,96,5000
97,97,5000
98,98,5000
99,99,5000
100,100,5000
101,101,5000
102,102,5000
103,103,5000
104,104,5000
105,105,5000
106,106,5000
107,107,5000
108,108,5000
109,109,5000
110,110,5000
111,111,5000
112,112,5000
113,113,5000
114,114,5000
115,115,5000
116,116,5000
117,117,5000
118,118,5000
119,119,5000
120,120,5000
121,121,5000
122,122,5000
123,123,5000
124,124,5000
125,125,5000
126,126,5000
127,127,5000
128,128,5000
129,129,5000
130,130,5000
131,131,5000
132,132,5000
133,133,5000
134,134,5000
135,135,5000
136,136,5000
137,137,5000
138,138,5000
139,139,5000
140,140,5000
141,141,5000
142,142,5000
143,143,5000
144,144,5000
145,145,5000
146,146,5000
147,147,5000
148,148,5000
149,149,5000
150,150,5000
151,151,5000
152,152,5000
153,153,5000
154,154,5000
155,155,5000
156,156,5000
157,157,5000
158,158,5000
159,159,5000
160,160,5000
161,161,5000
162,162,5000
163,163,5000
164,164,5000
165,165,5000
166,166,5000
167,167,5000
168,168,5000
169,169,5000
170,170,5000
171,171,5000
172,172,5000
173,173,5000
174,174,5000
175,175,5000
176,176,5000
177,177,5000
178,178,5000
179,179,5000
180,180,5000
181,181,5000
182,182,5000
183,183,5000
184,184,5000
185,185,5000
186,186,5000
187,187,5000
188,188,5000
189,189,5000
190,190,5000
191,191,5000
192,192,5000
193,193,5000
194,194,5000
195,195,5000
196,196,5000
197,197,5000
198,198,5000
199,199,5000
200,200,5000
201,201,5000
202,202,5000
203,203,5000
204,204,5000
205,205,5000
206,206,5000
207,207,5000
208,208,5000
209,209,5000
210,210,5000
211,211,5000
212,212,5000
213,213,5000
214,214,5000
215,215,5000
216,216,5000
217,217,5000
218,218,5000
219,219,5000
220,220,5000
221,221,5000
222,222,5000
223,223,5000
224,224,5000
225,225,5000
226,226,5000
227,227,5000
228,228,5000
229,229,5000
230,230,5000
231,231,5000
232,232,5000
233,233,5000
234,234,5000
235,235,5000
236,236,5000
237,237,5000
238,238,5000
239,239,5000
240,240,5000
241,241,5000
242,242,5000
243,243,5000
244,244,5000
245,245,5000
246,246,5000
247,247,5000
248,248,5000
249,249,5000
250,250,5000
251,251,5000
252,252,5000
253,253,5000
254,254,5000
255,255,5000
256,256,5000
257,257,5000
258,258,5000
259,259,5000
260,260,5000
261,261,5000
262,262,5000
263,263,5000
264,264,5000
265,265,5000
266,266,5000
267,267,5000
268,268,5000
269,269,5000
270,270,5000
271,271,5000
272,272,5000
273,273,5000
274,274,5000
275,275,5000
276,276,5000
277,277,5000
278,278,5000
279,279,5000
280,280,5000
281,281,5000
282,282,5000
283,283,5000
284,284,5000
285,285,5000
286,286,5000
287,287,5000
288,288,5000
289,289,5000
290,290,5000
291,291,5000
292,292,5000
293,293,5000
294,294,5000
295,295,5000
296,296,5000
297,297,5000
298,298,5000
