id,event_id,special_race_instance_id,race_condition_id,start_date,end_date
100401,1004,650045,13,1700622000,1700708399
100402,1004,650046,15,1700708400,1700794799
100403,1004,650047,13,1700794800,1700881199
100404,1004,650048,13,1700881200,1700967599
100405,1004,650045,13,1700967600,1701053999
100406,1004,650046,15,1701054000,1701140399
100407,1004,650047,13,1701140400,1701226799
100408,1004,650048,13,1701226800,1701313199
100501,1005,650057,4,1713754800,1713841199
100502,1005,650058,1,1713841200,1713927599
100503,1005,650059,1,1713927600,1714013999
100504,1005,650060,1,1714014000,1714100399
100505,1005,650057,4,1714100400,1714186799
100506,1005,650058,1,1714186800,1714273199
100507,1005,650059,1,1714273200,1714359599
100508,1005,650060,1,1714359600,1714445999
100601,1006,650069,7,1723604400,1723690799
100602,1006,650070,9,1723690800,1723777199
100603,1006,650071,7,1723777200,1723863599
100604,1006,650072,9,1723863600,1723949999
100605,1006,650069,7,1723950000,1724036399
100606,1006,650070,9,1724036400,1724122799
100607,1006,650071,7,1724122800,1724209199
100608,1006,650072,9,1724209200,1724295599
100701,1007,650081,19,1733886000,1733972399
100702,1007,650082,19,1733972400,1734058799
100703,1007,650083,21,1734058800,1734145199
100704,1007,650084,19,1734145200,1734231599
100705,1007,650081,19,1734231600,1734317999
100706,1007,650082,19,1734318000,1734404399
100707,1007,650083,21,1734404400,1734490799
100708,1007,650084,19,1734490800,1734577199
100801,1008,650093,1,1744254000,1744340399
100802,1008,650094,1,1744340400,1744426799
100803,1008,650095,1,1744426800,1744513199
100804,1008,650096,2,1744513200,1744599599
100805,1008,650093,1,1744599600,1744685999
100806,1008,650094,1,1744686000,1744772399
100807,1008,650095,1,1744772400,1744858799
100808,1008,650096,2,1744858800,1744945199
