id,npc_group_id,motion_id
1,100101,1
2,100102,2
3,100201,3
4,100202,4
5,100301,5
6,100302,6
7,100401,4
8,100501,8
9,100601,3
10,100701,7
11,100402,4
12,100502,8
13,100602,3
14,100702,7
15,100801,4
16,100901,8
17,101001,1
18,101101,7
19,100802,4
20,100902,8
21,101002,1
22,101102,7
23,101201,6
24,101301,5
25,101401,8
26,101501,1
27,101202,6
28,101302,5
29,101402,8
30,101502,1
31,101601,1
32,101701,8
33,101801,7
34,101901,5
35,101602,1
36,101702,8
37,101802,7
38,101902,5
39,102001,6
40,102101,1
41,102201,7
42,102301,4
43,102002,6
44,102102,1
45,102202,7
46,102302,4
