id,category,index,text
211,211,3,　ストーリーイベント開催決定！
211,211,4,　ストーリーイベント開催決定！
211,211,5,　ストーリーイベント開催決定！
211,211,6,　ストーリーイベント開催決定！
211,211,9,　ストーリーイベント開催決定！
211,211,10,　ストーリーイベント開催決定！
211,211,11,　ストーリーイベント開催決定！
211,211,12,　ストーリーイベント開催決定！
211,211,13,　ストーリーイベント開催決定！
211,211,14,　ストーリーイベント開催決定！
211,211,15,　ストーリーイベント開催決定！
211,211,16,　ストーリーイベント開催決定！
211,211,17,　ストーリーイベント開催決定！
211,211,18,　ストーリーイベント開催決定！
211,211,19,　ストーリーイベント開催決定！
211,211,20,　ストーリーイベント開催決定！
211,211,21,　ストーリーイベント開催決定！
211,211,22,　ストーリーイベント開催決定！
211,211,23,　ストーリーイベント開催決定！
211,211,24,　ストーリーイベント開催決定！
211,211,25,　ストーリーイベント開催決定！
211,211,26,　ストーリーイベント開催決定！
211,211,27,　ストーリーイベント開催決定！
211,211,28,　ストーリーイベント開催決定！
211,211,29,　ストーリーイベント開催決定！
211,211,30,　ストーリーイベント開催決定！
211,211,31,　ストーリーイベント開催決定！
211,211,32,　ストーリーイベント開催決定！
211,211,33,　ストーリーイベント開催決定！
211,211,34,　ストーリーイベント開催決定！
211,211,35,　ストーリーイベント開催決定！
211,211,36,　ストーリーイベント開催決定！
211,211,37,　ストーリーイベント開催決定！
211,211,38,　ストーリーイベント開催決定！
211,211,39,　ストーリーイベント開催決定！
211,211,40,　ストーリーイベント開催決定！
211,211,41,　ストーリーイベント開催決定！
211,211,42,　ストーリーイベント開催決定！
211,211,43,　ストーリーイベント開催決定！
211,211,44,　ストーリーイベント開催決定！
211,211,45,　ストーリーイベント開催決定！
211,211,46,　ストーリーイベント開催決定！
211,211,47,　ストーリーイベント開催決定！
211,211,48,　ストーリーイベント開催決定！
211,211,49,　ストーリーイベント開催決定！
211,211,50,　ストーリーイベント開催決定！
211,211,51,　ストーリーイベント開催決定！
211,211,52,　ストーリーイベント開催決定！
211,211,53,　ストーリーイベント開催決定！
211,211,54,　ストーリーイベント開催決定！
212,212,3,　<caption = ''>7/29 12:00から、ストーリーイベント「あの娘が水着に着替えたら　ウマ娘夏物語」の開催が決定しました！\n\nストーリーイベント「あの娘が水着に着替えたら　ウマ娘夏物語」は、ウマ娘たちを育成してイベントPtを集め、限定ストーリーの解放や限定SSRサポートカードなど豪華報酬の獲得を目指すイベントです。\n\n今回から、イベント予告にボイスを追加いたしました。\n予告ボイスはイベント報酬受け取り期間終了後、ホームの[ストーリー]から[エクストラ]を選択して再生できます。</caption>\n\n<caption = '開催期間'>7/29 12:00 ～ 8/11 11:59</caption>\n\n<caption = '注意事項'>1. ストーリーイベントについての詳細は、イベント開催後に掲載されるお知らせや、ストーリーイベント「あの娘が水着に着替えたら　ウマ娘夏物語」のトップ画面右上の[ヘルプ]をご確認ください。\n2. イベント開催期間および内容は、予告なく変更する場合があります。</caption>
266,266,2,視聴する場合はYouTubeの動画を再生するため\n外部サイトにアクセスします
266,266,266,外部サイトにアクセスします
266,266,274,視聴する場合はYouTubeの動画を再生するため\n外部サイトにアクセスします
