id,target_main_scenario,exam_id_1,exam_id_2,exam_id_3,exam_id_4,exam_id_5,ex_exam_id,free_exam_id,shop_id,rental_value,consume_tp_ratio,bonus_reward_ratio,ranking_entry_love_point_reward,ranking_entry_change_num,notice_date,start_date,ranking_entry_end_date,end_date,start_result_date,end_result_date
2001,2,1,2,3,4,5,6,7,11000,3000,20000,20000,0,0,1639364400,1639450800,,1640141999,1640142000,1640401199
3001,3,9,10,11,12,13,14,15,11002,3000,20000,20000,0,0,1663556400,1663642800,,1664420399,1664420400,1664679599
4001,4,0,0,0,0,0,0,8,11001,3000,0,0,0,0,1648004400,1648090800,,1648522799,1648522800,1648781999
5001,5,16,17,18,19,20,21,22,11003,3000,20000,20000,0,0,1681786800,1681873200,,1682650799,1682650800,1682909999
6001,6,23,24,25,26,27,28,29,11004,3000,20000,20000,0,0,1693364400,1693450800,,1694401199,1694401200,1694660399
7001,7,30,31,32,33,34,35,36,11005,3000,20000,20000,0,0,1708657200,1708743600,,1709521199,1709521200,1709780399
8001,8,37,38,41,0,0,42,43,11006,3000,20000,20000,0,0,1719284400,1719370800,,1720493999,1720494000,1720753199
9001,9,44,45,46,47,0,48,49,11007,3000,20000,20000,0,0,1730084400,1730170800,,1731034799,1731034800,1731293999
10001,10,50,51,52,53,54,55,56,11008,3000,20000,20000,0,0,1740279600,1740366000,,1741143599,1741143600,1741402799
11001,11,57,58,59,60,0,61,62,11009,3000,20000,20000,0,0,1750906800,1750993200,,1751857199,1751857200,1752116399
12001,12,63,64,65,66,67,68,69,11010,3000,20000,20000,0,0,1761620400,1761706800,,1762484399,1762484400,1762743599
13001,13,70,71,72,73,74,75,76,11011,3000,20000,20000,100,2,1771815600,1771902000,1772506799,1772765999,1772766000,1773025199
14001,14,77,78,79,80,81,82,83,11012,3000,20000,20000,100,2,1782615600,1782702000,1783393199,1783652399,1783652400,1783911599
