command_id,sub_id,chara_num,target_chara_index,target_value,cutt_index,success_flg
101045,1,2,1,1,1,0
101045,1,2,1,2,2,0
101045,1,2,1,3,3,0
101045,1,2,1,4,4,0
101045,1,2,1,5,5,0
101045,1,2,1,6,6,0
103010,1,1,0,1,1,2
103010,1,1,0,2,2,2
103010,1,1,0,3,3,2
103010,1,1,0,4,4,2
103010,1,1,0,5,5,2
103010,1,1,0,6,6,2
103020,1,1,0,1,1,2
103020,1,1,0,2,2,2
103020,1,1,0,3,3,2
103020,1,1,0,4,4,2
103020,1,1,0,5,5,2
103020,1,1,0,6,6,2
103020,1,1,0,7,7,2
103030,1,1,0,1,1,2
103030,1,1,0,2,2,2
103030,1,1,0,3,3,2
103030,1,1,0,4,4,2
103030,1,1,0,5,5,2
103030,2,1,0,1,1,2
103030,2,1,0,2,2,2
103030,2,1,0,3,3,2
103030,2,1,0,4,4,2
103030,2,1,0,5,5,2
103030,3,1,0,1,1,2
103030,3,1,0,2,2,2
103030,3,1,0,3,3,2
103030,3,1,0,4,4,2
103030,3,1,0,5,5,2
103040,1,1,0,1,1,2
103040,1,1,0,2,2,2
103040,1,1,0,3,3,2
103040,1,1,0,4,4,2
103040,1,1,0,5,5,2
103040,1,1,0,6,6,2
103050,1,1,0,1,1,2
103050,1,1,0,2,2,2
103050,1,1,0,3,3,2
103050,1,1,0,4,4,2
103050,1,1,0,5,5,2
103050,1,1,0,6,6,2
101031,1,1,0,1,1,0
101031,1,1,0,2,2,0
101031,1,1,0,3,3,0
101031,1,2,0,1,1,0
101031,1,2,0,2,2,0
101031,1,2,0,3,3,0
101032,1,1,0,1,1,0
101032,1,1,0,2,2,0
101032,1,1,0,3,3,0
101032,1,2,0,1,1,0
101032,1,2,0,2,2,0
101032,1,2,0,3,3,0
101033,1,1,0,1,1,0
101033,1,1,0,2,2,0
101033,1,1,0,3,3,0
101033,1,2,0,1,1,0
101033,1,2,0,2,2,0
101033,1,2,0,3,3,0
101034,1,1,0,1,1,0
101034,1,1,0,2,2,0
101034,1,1,0,3,3,0
101034,1,2,0,1,1,0
101034,1,2,0,2,2,0
101034,1,2,0,3,3,0
102030,1,1,0,1,1,0
102030,1,1,0,2,2,0
102030,1,1,0,3,3,0
102030,1,2,0,1,1,0
102030,1,2,0,2,2,0
102030,1,2,0,3,3,0
102040,1,2,1,1,1,0
102040,1,2,1,2,2,0
102040,1,2,1,3,3,0
102040,1,2,1,4,4,0
102040,1,2,1,5,5,0
102040,1,2,1,6,6,0
105010,1,1,0,1,1,2
105010,1,1,0,2,2,2
105010,1,1,0,3,3,2
105020,1,1,0,1,1,2
105020,1,1,0,2,2,2
105020,1,1,0,3,3,2
105030,1,1,0,1,1,2
105030,1,1,0,2,2,2
105030,1,1,0,3,3,2
106020,1,2,0,1,1,1
106020,1,2,0,2,2,1
106120,1,2,0,1,1,0
106120,1,2,0,2,2,0
106130,1,2,0,1,1,2
106130,1,2,0,2,2,2
106130,1,2,0,3,3,2
106130,1,2,0,1,1,3
106130,1,2,0,2,2,3
106130,1,2,0,3,3,3
107030,1,1,0,1,1,0
107030,1,1,0,2,2,0
107030,1,1,0,3,3,0
107030,1,2,0,1,1,0
107030,1,2,0,2,2,0
107030,1,2,0,3,3,0
107040,1,2,1,1,1,0
107040,1,2,1,2,2,0
107040,1,2,1,3,3,0
107040,1,2,1,4,4,0
107040,1,2,1,5,5,0
107040,1,2,1,6,6,0
108010,1,1,0,1,1,2
108010,1,1,0,2,2,2
108010,1,1,0,3,3,2
108010,1,1,0,4,4,2
108020,1,1,0,1,1,2
108020,1,1,0,2,2,2
108020,1,1,0,3,3,2
108030,1,1,0,1,1,2
108030,1,1,0,2,2,2
108030,1,1,0,3,3,2
108030,1,1,0,4,4,2
108030,1,1,0,5,5,2
108040,1,1,0,1,1,2
108040,1,1,0,2,2,2
108040,1,1,0,3,3,2
108040,1,1,0,4,4,2
107053,1,2,0,1,1,1
107053,1,2,0,2,2,1
107053,1,2,0,3,1,1
107053,1,2,0,4,2,1
107013,1,2,0,1,1,1
107013,1,2,0,2,2,1
109010,1,1,0,1,1,2
109010,1,1,0,2,2,2
109010,1,1,0,3,3,2
109020,1,2,0,1,1,2
109020,1,2,0,2,2,2
109020,1,2,0,3,3,2
109030,1,6,0,1,1,2
109030,1,6,0,2,2,2
109030,1,6,0,3,3,2
109030,1,6,0,4,4,2
