id,point_threshold,value
1,0,0
2,2000,100
3,4000,100
4,6000,200
5,8000,200
6,10000,300
7,12000,400
8,14000,500
9,16000,600
10,18000,800
11,20000,1000
12,22000,1500
13,24000,2000
14,26000,2500
15,28000,3000
16,30000,3500
17,32000,4000
18,34000,4500
19,36000,5000
20,38000,5500
21,40000,6000
22,42000,6500
23,44000,7000
24,46000,7500
25,48000,8000
26,50000,8500
27,52000,9000
28,54000,9500
29,56000,10000
30,58000,10000
31,60000,10000
32,62000,10500
33,64000,11000
34,66000,11500
35,68000,12000
36,70000,12500
37,72000,13000
38,74000,13500
39,76000,14000
40,78000,14500
41,80000,15000
42,82000,15000
43,84000,15500
44,86000,16000
45,88000,16000
46,90000,16500
47,92000,16500
48,94000,17000
49,96000,17000
50,98000,17500
51,100000,17500
52,102000,18000
53,104000,18000
54,106000,18500
55,108000,18500
56,110000,19000
57,112000,19000
58,114000,19500
59,116000,19500
60,118000,20000
61,120000,20000
