id,season_id,product_master_id,inflation_coef,normal_reward_set,special_reward_set,jobs_training_report_point_limit,remind_date,start_date,end_date,bg_image
1,202403,92,10000,1001,2001,60000,2024/3/22 12:00:00,2024/2/24 12:00:00,2024/3/25 11:59:59,trainingreport_bg_01
2,202404,92,10000,1001,2001,60000,2024/4/21 12:00:00,2024/3/25 12:00:00,2024/4/24 11:59:59,trainingreport_bg_01
3,202405,92,10000,1001,2001,60000,2024/5/21 12:00:00,2024/4/24 12:00:00,2024/5/24 11:59:59,trainingreport_bg_01
4,202406,92,10000,1001,2001,60000,2024/6/23 12:00:00,2024/5/24 12:00:00,2024/6/26 11:59:59,trainingreport_bg_01
5,202407,92,10000,1001,2001,60000,2024/7/21 12:00:00,2024/6/26 12:00:00,2024/7/24 11:59:59,utx_frm_trainingreport_note_01
6,202408,92,10000,1001,2001,60000,2024/8/20 12:00:00,2024/7/24 12:00:00,2024/8/23 11:59:59,utx_frm_trainingreport_note_01
7,202409,92,10000,1002,2002,60000,2024/9/21 12:00:00,2024/8/23 12:00:00,2024/9/24 11:59:59,utx_frm_trainingreport_note_01
8,202410,92,10000,1002,2002,60000,2024/10/26 12:00:00,2024/9/24 12:00:00,2024/10/29 11:59:59,utx_frm_trainingreport_note_01
9,202411,92,10000,1002,2002,60000,2024/11/22 12:00:00,2024/10/29 12:00:00,2024/11/25 11:59:59,utx_frm_trainingreport_note_02
10,202412,92,10000,1002,2002,60000,2024/12/21 12:00:00,2024/11/25 12:00:00,2024/12/24 11:59:59,utx_frm_trainingreport_note_02
11,202501,92,10000,1002,2002,60000,2025/1/21 12:00:00,2024/12/24 12:00:00,2025/1/24 11:59:59,utx_frm_trainingreport_note_02
12,202502,92,10000,1002,2002,60000,2025/2/21 12:00:00,2025/1/24 12:00:00,2025/2/24 11:59:59,utx_frm_trainingreport_note_02
13,202503,92,10000,1002,2002,60000,2025/3/21 12:00:00,2025/2/24 12:00:00,2025/3/24 11:59:59,utx_frm_trainingreport_note_03
14,202504,92,10000,1002,2002,60000,2025/4/21 12:00:00,2025/3/24 12:00:00,2025/4/24 11:59:59,utx_frm_trainingreport_note_03
15,202505,92,10000,1002,2002,60000,2025/5/23 12:00:00,2025/4/24 12:00:00,2025/5/26 11:59:59,utx_frm_trainingreport_note_03
16,202506,92,10000,1002,2002,60000,2025/6/24 12:00:00,2025/5/26 12:00:00,2025/6/27 11:59:59,utx_frm_trainingreport_note_03
17,202507,92,10000,1002,2002,60000,2025/7/21 12:00:00,2025/6/27 12:00:00,2025/7/24 11:59:59,utx_frm_trainingreport_note_04
18,202508,92,10000,1002,2002,60000,2025/8/21 12:00:00,2025/7/24 12:00:00,2025/8/24 11:59:59,utx_frm_trainingreport_note_04
19,202509,92,10000,1002,2002,60000,2025/9/21 12:00:00,2025/8/24 12:00:00,2025/9/24 11:59:59,utx_frm_trainingreport_note_04
20,202510,92,10000,1003,2003,60000,2025/10/26 12:00:00,2025/9/24 12:00:00,2025/10/29 11:59:59,utx_frm_trainingreport_note_04
21,202511,92,10000,1003,2003,60000,2025/11/22 12:00:00,2025/10/29 12:00:00,2025/11/25 11:59:59,utx_frm_trainingreport_note_05
22,202512,92,10000,1003,2003,60000,2025/12/21 12:00:00,2025/11/25 12:00:00,2025/12/24 11:59:59,utx_frm_trainingreport_note_05
23,202601,92,10000,1003,2003,60000,2026/1/20 12:00:00,2025/12/24 12:00:00,2026/1/23 11:59:59,utx_frm_trainingreport_note_05
24,202602,92,10000,1003,2003,60000,2026/2/21 12:00:00,2026/1/23 12:00:00,2026/2/24 11:59:59,utx_frm_trainingreport_note_05
25,202603,92,10000,1003,2003,60000,2026/3/21 12:00:00,2026/2/24 12:00:00,2026/3/24 11:59:59,utx_frm_trainingreport_note_06
26,202604,92,10000,1003,2003,60000,2026/4/21 12:00:00,2026/3/24 12:00:00,2026/4/24 11:59:59,utx_frm_trainingreport_note_06
27,202605,92,10000,1003,2003,60000,2026/5/22 12:00:00,2026/4/24 12:00:00,2026/5/25 11:59:59,utx_frm_trainingreport_note_06
28,202606,92,10000,1003,2003,60000,2026/6/26 12:00:00,2026/5/25 12:00:00,2026/6/29 11:59:59,utx_frm_trainingreport_note_06
29,202607,92,10000,1003,2003,60000,2026/7/24 12:00:00,2026/6/29 12:00:00,2026/7/27 11:59:59,utx_frm_trainingreport_note_07
9999,999999,92,10000,9999,9999,60000,2050/12/29 0:00:00,2026/7/27 12:00:00,2050/12/31 23:59:59,trainingreport_bg_01
