id,reward_set,is_pickup,base_point,reward_item_id,reward_item_category,reward_item_num
20010001,2001,0,400,59,91,8000
20010002,2001,0,800,1,11,5
20010003,2001,0,1200,32,20,1
20010004,2001,0,1600,59,91,8000
20010005,2001,0,2000,4,11,5
20010006,2001,0,2400,116,150,1
20010007,2001,0,2800,211,179,1
20010008,2001,0,3200,7,11,5
20010009,2001,0,3600,34,21,1
20010010,2001,0,4000,59,91,8000
20010011,2001,0,4400,32,20,1
20010012,2001,0,4800,59,91,8000
20010013,2001,0,5200,110,30,2500
20010014,2001,0,5600,13,11,5
20010015,2001,0,6000,95,34,1
20010016,2001,0,6400,59,91,8000
20010017,2001,0,6800,1,11,5
20010018,2001,0,7200,110,30,2500
20010019,2001,0,7600,211,179,1
20010020,2001,0,8000,34,21,1
20010021,2001,0,8400,59,91,8000
20010022,2001,0,8800,110,30,2500
20010023,2001,0,9200,116,150,1
20010024,2001,0,9600,59,91,8000
20010025,2001,0,10000,110,30,2500
20010026,2001,0,10400,10,11,5
20010027,2001,0,10800,110,30,2500
20010028,2001,0,11200,211,179,1
20010029,2001,0,11600,160,11,1
20010030,2001,0,12000,32,20,1
20010031,2001,0,12400,59,91,8000
20010032,2001,0,12800,95,34,1
20010033,2001,0,13200,116,150,1
20010034,2001,0,13600,59,91,8000
20010035,2001,0,14000,4,11,5
20010036,2001,0,14400,59,91,8000
20010037,2001,0,14800,211,179,1
20010038,2001,0,15200,7,11,5
20010039,2001,0,15600,34,21,1
20010040,2001,0,16000,110,30,2500
20010041,2001,0,16400,10,11,5
20010042,2001,0,16800,95,34,1
20010043,2001,0,17200,211,179,1
20010044,2001,0,17600,13,11,5
20010045,2001,0,18000,160,11,1
20010046,2001,0,18400,116,150,1
20010047,2001,0,18800,34,21,1
20010048,2001,0,19200,32,20,1
20010049,2001,0,19600,95,34,1
20010050,2001,0,20000,44,93,1
20010051,2001,0,20400,116,150,1
20010052,2001,0,20800,59,91,8000
20010053,2001,0,21200,44,93,1
20010054,2001,0,21600,116,150,1
20010055,2001,0,22000,211,179,1
20010056,2001,0,22400,4,11,5
20010057,2001,0,22800,116,150,1
20010058,2001,0,23200,59,91,8000
20010059,2001,0,23600,44,93,1
20010060,2001,0,24000,34,21,1
20010061,2001,0,24400,59,91,8000
20010062,2001,0,24800,44,93,1
20010063,2001,0,25200,211,179,1
20010064,2001,0,25600,43,90,15
20010065,2001,0,26000,44,93,1
20010066,2001,0,26400,95,34,1
20010067,2001,0,26800,211,179,1
20010068,2001,0,27200,1,11,5
20010069,2001,0,27600,110,30,2500
20010070,2001,0,28000,95,34,1
20010071,2001,0,28400,160,11,1
20010072,2001,0,28800,95,34,1
20010073,2001,0,29200,211,179,1
20010074,2001,0,29600,44,93,1
20010075,2001,1,30000,41,40,1
20010076,2001,0,30400,110,30,2500
20010077,2001,0,30800,32,20,1
20010078,2001,0,31200,116,150,1
20010079,2001,0,31600,211,179,1
20010080,2001,0,32000,32,20,1
20010081,2001,0,32400,34,21,1
20010082,2001,0,32800,59,91,8000
20010083,2001,0,33200,34,21,1
20010084,2001,0,33600,44,93,1
20010085,2001,0,34000,59,91,8000
20010086,2001,0,34400,160,11,1
20010087,2001,0,34800,32,20,1
20010088,2001,0,35200,110,30,2500
20010089,2001,0,35600,7,11,5
20010090,2001,0,36000,59,91,8000
20010091,2001,0,36400,43,90,15
20010092,2001,0,36800,10,11,5
20010093,2001,0,37200,59,91,8000
20010094,2001,0,37600,110,30,2500
20010095,2001,0,38000,13,11,5
20010096,2001,0,38400,34,21,1
20010097,2001,0,38800,32,20,1
20010098,2001,0,39200,59,91,8000
20010099,2001,0,39600,95,34,1
20010100,2001,1,40000,43,90,300
20010101,2001,0,40400,43,90,15
20010102,2001,0,40800,59,91,8000
20010103,2001,0,41200,160,11,1
20010104,2001,0,41600,34,21,1
20010105,2001,0,42000,32,20,1
20010106,2001,0,42400,4,11,5
20010107,2001,0,42800,43,90,15
20010108,2001,0,43200,110,30,2500
20010109,2001,0,43600,34,21,1
20010110,2001,0,44000,116,150,1
20010111,2001,0,44400,59,91,8000
20010112,2001,0,44800,95,34,1
20010113,2001,0,45200,43,90,15
20010114,2001,0,45600,59,91,8000
20010115,2001,0,46000,116,150,1
20010116,2001,0,46400,95,34,1
20010117,2001,0,46800,110,30,2500
20010118,2001,0,47200,1,11,5
20010119,2001,0,47600,43,90,15
20010120,2001,0,48000,43,90,15
20010121,2001,0,48400,32,20,1
20010122,2001,0,48800,43,90,15
20010123,2001,0,49200,59,91,8000
20010124,2001,0,49600,160,11,1
20010125,2001,0,50000,44,93,1
20010126,2001,0,50400,211,179,1
20010127,2001,0,50800,10,11,5
20010128,2001,0,51200,34,21,1
20010129,2001,0,51600,211,179,1
20010130,2001,0,52000,13,11,5
20010131,2001,0,52400,32,20,1
20010132,2001,0,52800,59,91,8000
20010133,2001,0,53200,95,34,1
20010134,2001,0,53600,59,91,8000
20010135,2001,0,54000,110,30,2500
20010136,2001,0,54400,34,21,1
20010137,2001,0,54800,43,90,15
20010138,2001,0,55200,211,179,1
20010139,2001,0,55600,7,11,5
20010140,2001,0,56000,116,150,1
20010141,2001,0,56400,59,91,8000
20010142,2001,0,56800,116,150,1
20010143,2001,0,57200,95,34,1
20010144,2001,0,57600,59,91,8000
20010145,2001,0,58000,32,20,1
20010146,2001,0,58400,110,30,2500
20010147,2001,0,58800,59,91,8000
20010148,2001,0,59200,211,179,1
20010149,2001,0,59600,211,179,1
20010150,2001,1,60000,111,40,1
20010151,2001,0,60400,116,150,1
20010152,2001,0,60800,59,91,8000
20010153,2001,0,61200,32,20,1
20010154,2001,0,61600,43,90,15
20010155,2001,0,62000,110,30,2500
20010156,2001,0,62400,4,11,5
20010157,2001,0,62800,34,21,1
20010158,2001,0,63200,59,91,8000
20010159,2001,0,63600,34,21,1
20010160,2001,0,64000,43,90,15
20010161,2001,0,64400,59,91,8000
20010162,2001,0,64800,160,11,1
20010163,2001,0,65200,32,20,1
20010164,2001,0,65600,211,179,1
20010165,2001,0,66000,13,11,5
20010166,2001,0,66400,43,90,15
20010167,2001,0,66800,95,34,1
20010168,2001,0,67200,59,91,8000
20010169,2001,0,67600,1,11,5
20010170,2001,1,68000,41,40,1
20010171,2001,0,68400,43,90,15
20010172,2001,0,68800,116,150,1
20010173,2001,0,69200,44,93,1
20010174,2001,0,69600,110,30,2500
20010175,2001,0,70000,7,11,5
20010176,2001,0,70400,116,150,1
20010177,2001,0,70800,59,91,8000
20010178,2001,0,71200,10,11,5
20010179,2001,0,71600,110,30,2500
20010180,2001,0,72000,59,91,8000
20010181,2001,0,72400,32,20,1
20010182,2001,0,72800,43,90,15
20010183,2001,0,73200,211,179,1
20010184,2001,0,73600,59,91,8000
20010185,2001,0,74000,162,11,1
20010186,2001,0,74400,32,20,1
20010187,2001,0,74800,59,91,8000
20010188,2001,0,75200,116,150,1
20010189,2001,0,75600,95,34,1
20010190,2001,0,76000,43,90,15
20010191,2001,0,76400,34,21,1
20010192,2001,0,76800,43,90,15
20010193,2001,0,77200,59,91,8000
20010194,2001,0,77600,95,34,1
20010195,2001,0,78000,211,179,1
20010196,2001,0,78400,211,179,1
20010197,2001,0,78800,95,34,1
20010198,2001,0,79200,34,21,1
20010199,2001,0,79600,59,91,8000
20010200,2001,1,80000,43,90,300
20010201,2001,0,80400,43,90,15
20010202,2001,0,80800,110,30,2500
20010203,2001,0,81200,1,11,5
20010204,2001,0,81600,44,93,1
20010205,2001,0,82000,59,91,8000
20010206,2001,0,82400,4,11,5
20010207,2001,0,82800,44,93,1
20010208,2001,0,83200,95,34,1
20010209,2001,0,83600,7,11,5
20010210,2001,0,84000,161,11,1
20010211,2001,0,84400,110,30,2500
20010212,2001,0,84800,10,11,5
20010213,2001,0,85200,44,93,1
20010214,2001,0,85600,32,20,1
20010215,2001,0,86000,162,11,1
20010216,2001,0,86400,43,90,15
20010217,2001,0,86800,59,91,8000
20010218,2001,0,87200,44,93,1
20010219,2001,0,87600,116,150,1
20010220,2001,0,88000,211,179,1
20010221,2001,0,88400,44,93,1
20010222,2001,0,88800,43,90,15
20010223,2001,1,89200,111,40,1
20010224,2001,0,89600,162,11,1
20010225,2001,0,90000,44,93,1
20010226,2001,0,90400,43,90,15
20010227,2001,0,90800,44,93,1
20010228,2001,0,91200,34,21,1
20010229,2001,0,91600,110,30,2500
20010230,2001,0,92000,13,11,5
20010231,2001,0,92400,43,90,15
20010232,2001,0,92800,59,91,8000
20010233,2001,0,93200,44,93,1
20010234,2001,0,93600,110,30,2500
20010235,2001,0,94000,116,150,1
20010236,2001,0,94400,44,93,1
20010237,2001,0,94800,43,90,15
20010238,2001,0,95200,95,34,1
20010239,2001,0,95600,163,11,1
20010240,2001,0,96000,32,20,1
20010241,2001,0,96400,59,91,8000
20010242,2001,0,96800,44,93,1
20010243,2001,0,97200,34,21,1
20010244,2001,0,97600,110,30,2500
20010245,2001,0,98000,44,93,1
20010246,2001,0,98400,43,90,15
20010247,2001,0,98800,110,30,2500
20010248,2001,0,99200,59,91,8000
20010249,2001,0,99600,44,93,1
20010250,2001,1,100000,149,164,1
20010251,2001,0,100400,43,90,15
20010252,2001,0,100800,32,20,1
20010253,2001,0,101200,59,91,8000
20010254,2001,0,101600,44,93,1
20010255,2001,0,102000,110,30,2500
20010256,2001,0,102400,116,150,1
20010257,2001,0,102800,161,11,1
20010258,2001,0,103200,44,93,1
20010259,2001,0,103600,59,91,8000
20010260,2001,0,104000,44,93,1
20010261,2001,0,104400,110,30,2500
20010262,2001,0,104800,1,11,5
20010263,2001,0,105200,43,90,15
20010264,2001,0,105600,95,34,1
20010265,2001,0,106000,43,90,15
20010266,2001,0,106400,44,93,1
20010267,2001,0,106800,110,30,2500
20010268,2001,0,107200,44,93,1
20010269,2001,0,107600,43,90,15
20010270,2001,0,108000,34,21,1
20010271,2001,0,108400,44,93,1
20010272,2001,0,108800,1,11,5
20010273,2001,0,109200,162,11,1
20010274,2001,0,109600,4,11,5
20010275,2001,0,110000,110,30,2500
20010276,2001,0,110400,116,150,1
20010277,2001,0,110800,161,11,1
20010278,2001,0,111200,10,11,5
20010279,2001,0,111600,43,90,15
20010280,2001,0,112000,13,11,5
20010281,2001,0,112400,59,91,8000
20010282,2001,0,112800,44,93,1
20010283,2001,0,113200,110,30,2500
20010284,2001,0,113600,4,11,5
20010285,2001,0,114000,163,11,1
20010286,2001,0,114400,7,11,5
20010287,2001,0,114800,110,30,2500
20010288,2001,0,115200,10,11,5
20010289,2001,0,115600,43,90,15
20010290,2001,0,116000,34,21,1
20010291,2001,0,116400,32,20,1
20010292,2001,0,116800,110,30,2500
20010293,2001,0,117200,44,93,1
20010294,2001,0,117600,110,30,2500
20010295,2001,0,118000,7,11,5
20010296,2001,0,118400,43,90,15
20010297,2001,0,118800,95,34,1
20010298,2001,0,119200,44,93,1
20010299,2001,0,119600,13,11,5
20010300,2001,1,120000,43,90,300
20020001,2002,0,400,59,91,12000
20020002,2002,0,800,1,11,5
20020003,2002,0,1200,32,20,1
20020004,2002,0,1600,59,91,12000
20020005,2002,0,2000,4,11,5
20020006,2002,0,2400,116,150,1
20020007,2002,0,2800,211,179,1
20020008,2002,0,3200,7,11,5
20020009,2002,0,3600,34,21,1
20020010,2002,0,4000,59,91,12000
20020011,2002,0,4400,32,20,1
20020012,2002,0,4800,59,91,12000
20020013,2002,0,5200,110,30,2500
20020014,2002,0,5600,13,11,5
20020015,2002,0,6000,95,34,1
20020016,2002,0,6400,59,91,12000
20020017,2002,0,6800,1,11,5
20020018,2002,0,7200,110,30,2500
20020019,2002,0,7600,211,179,1
20020020,2002,0,8000,34,21,1
20020021,2002,0,8400,59,91,12000
20020022,2002,0,8800,110,30,2500
20020023,2002,0,9200,116,150,1
20020024,2002,0,9600,59,91,12000
20020025,2002,0,10000,110,30,2500
20020026,2002,0,10400,10,11,5
20020027,2002,0,10800,110,30,2500
20020028,2002,0,11200,211,179,1
20020029,2002,0,11600,160,11,1
20020030,2002,0,12000,32,20,1
20020031,2002,0,12400,59,91,12000
20020032,2002,0,12800,95,34,1
20020033,2002,0,13200,116,150,1
20020034,2002,0,13600,59,91,12000
20020035,2002,0,14000,4,11,5
20020036,2002,0,14400,59,91,12000
20020037,2002,0,14800,211,179,1
20020038,2002,0,15200,7,11,5
20020039,2002,0,15600,34,21,1
20020040,2002,0,16000,110,30,2500
20020041,2002,0,16400,10,11,5
20020042,2002,0,16800,95,34,1
20020043,2002,0,17200,211,179,1
20020044,2002,0,17600,13,11,5
20020045,2002,0,18000,160,11,1
20020046,2002,0,18400,116,150,1
20020047,2002,0,18800,34,21,1
20020048,2002,0,19200,32,20,1
20020049,2002,0,19600,95,34,1
20020050,2002,0,20000,44,93,2
20020051,2002,0,20400,116,150,1
20020052,2002,0,20800,59,91,12000
20020053,2002,0,21200,44,93,2
20020054,2002,0,21600,116,150,1
20020055,2002,0,22000,211,179,1
20020056,2002,0,22400,4,11,5
20020057,2002,0,22800,116,150,1
20020058,2002,0,23200,59,91,12000
20020059,2002,0,23600,44,93,2
20020060,2002,0,24000,34,21,1
20020061,2002,0,24400,59,91,12000
