id,rotation_id,item_category,item_id,item_num,odds
10010101,100101,102,0,5,1000000
10010102,100101,93,44,3,1000000
10010103,100101,91,59,5000,1000000
10010104,100101,30,110,1000,1000000
10010201,100102,11,162,1,1000000
10010202,100102,11,163,1,1000000
10010203,100102,93,44,2,1000000
10010204,100102,91,59,3000,1000000
10010205,100102,30,110,500,1000000
10010301,100103,11,160,1,1000000
10010302,100103,11,161,1,1000000
10010303,100103,91,59,1500,1000000
10010304,100103,30,110,300,1000000
10020101,100201,102,0,5,1000000
10020102,100201,93,44,3,1000000
10020103,100201,91,59,5000,1000000
10020104,100201,30,110,1000,1000000
10020201,100202,11,162,1,1000000
10020202,100202,11,163,1,1000000
10020203,100202,93,44,2,1000000
10020204,100202,91,59,3000,1000000
10020205,100202,30,110,500,1000000
10020301,100203,11,160,1,1000000
10020302,100203,11,161,1,1000000
10020303,100203,91,59,1500,1000000
10020304,100203,30,110,300,1000000
10030101,100301,102,0,5,1000000
10030102,100301,93,44,3,1000000
10030103,100301,91,59,5000,1000000
10030104,100301,30,110,1000,1000000
10030201,100302,11,162,1,1000000
10030202,100302,11,163,1,1000000
10030203,100302,93,44,2,1000000
10030204,100302,91,59,3000,1000000
10030205,100302,30,110,500,1000000
10030301,100303,11,160,1,1000000
10030302,100303,11,161,1,1000000
10030303,100303,91,59,1500,1000000
10030304,100303,30,110,300,1000000
10040101,100401,102,0,5,1000000
10040102,100401,93,44,3,1000000
10040103,100401,91,59,5000,1000000
10040104,100401,30,110,1000,1000000
10040201,100402,11,162,1,1000000
10040202,100402,11,163,1,1000000
10040203,100402,93,44,2,1000000
10040204,100402,91,59,3000,1000000
10040205,100402,30,110,500,1000000
10040301,100403,11,160,1,1000000
10040302,100403,11,161,1,1000000
10040303,100403,91,59,1500,1000000
10040304,100403,30,110,300,1000000
10050101,100501,102,0,5,1000000
10050102,100501,93,44,3,1000000
10050103,100501,91,59,5000,1000000
10050104,100501,30,110,1000,1000000
10050201,100502,11,162,1,1000000
10050202,100502,11,163,1,1000000
10050203,100502,93,44,2,1000000
10050204,100502,91,59,3000,1000000
10050205,100502,30,110,500,1000000
10050301,100503,11,160,1,1000000
10050302,100503,11,161,1,1000000
10050303,100503,91,59,1500,1000000
10050304,100503,30,110,300,1000000
10060101,100601,102,0,5,1000000
10060102,100601,93,44,3,1000000
10060103,100601,91,59,5000,1000000
10060104,100601,30,110,1000,1000000
10060201,100602,11,162,1,1000000
10060202,100602,11,163,1,1000000
10060203,100602,93,44,2,1000000
10060204,100602,91,59,3000,1000000
10060205,100602,30,110,500,1000000
10060301,100603,11,160,1,1000000
10060302,100603,11,161,1,1000000
10060303,100603,91,59,1500,1000000
10060304,100603,30,110,300,1000000
10070101,100701,102,0,5,1000000
10070102,100701,93,44,3,1000000
10070103,100701,91,59,5000,1000000
10070104,100701,30,110,1000,1000000
10070201,100702,11,162,1,1000000
10070202,100702,11,163,1,1000000
10070203,100702,93,44,2,1000000
10070204,100702,91,59,3000,1000000
10070205,100702,30,110,500,1000000
10070301,100703,11,160,1,1000000
10070302,100703,11,161,1,1000000
10070303,100703,91,59,1500,1000000
10070304,100703,30,110,300,1000000
10080101,100801,102,0,5,1000000
10080102,100801,93,44,3,1000000
10080103,100801,91,59,5000,1000000
10080104,100801,30,110,1000,1000000
10080201,100802,11,162,1,1000000
10080202,100802,11,163,1,1000000
10080203,100802,93,44,2,1000000
10080204,100802,91,59,3000,1000000
10080205,100802,30,110,500,1000000
10080301,100803,11,160,1,1000000
10080302,100803,11,161,1,1000000
10080303,100803,91,59,1500,1000000
10080304,100803,30,110,300,1000000
10090101,100901,102,0,5,1000000
10090102,100901,93,44,3,1000000
10090103,100901,91,59,5000,1000000
10090104,100901,30,110,1000,1000000
10090201,100902,11,162,1,1000000
10090202,100902,11,163,1,1000000
10090203,100902,93,44,2,1000000
10090204,100902,91,59,3000,1000000
10090205,100902,30,110,500,1000000
10090301,100903,11,160,1,1000000
10090302,100903,11,161,1,1000000
10090303,100903,91,59,1500,1000000
10090304,100903,30,110,300,1000000
10100101,101001,102,0,5,1000000
10100102,101001,93,44,3,1000000
10100103,101001,91,59,5000,1000000
10100104,101001,30,110,1000,1000000
10100201,101002,11,162,1,1000000
10100202,101002,11,163,1,1000000
10100203,101002,93,44,2,1000000
10100204,101002,91,59,3000,1000000
10100205,101002,30,110,500,1000000
10100301,101003,11,160,1,1000000
10100302,101003,11,161,1,1000000
10100303,101003,91,59,1500,1000000
10100304,101003,30,110,300,1000000
10110101,101101,102,0,5,1000000
10110102,101101,93,44,3,1000000
10110103,101101,91,59,5000,1000000
10110104,101101,30,110,1000,1000000
10110201,101102,11,162,1,1000000
10110202,101102,11,163,1,1000000
10110203,101102,93,44,2,1000000
10110204,101102,91,59,3000,1000000
10110205,101102,30,110,500,1000000
10110301,101103,11,160,1,1000000
10110302,101103,11,161,1,1000000
10110303,101103,91,59,1500,1000000
10110304,101103,30,110,300,1000000
10120101,101201,102,0,5,1000000
10120102,101201,93,44,3,1000000
10120103,101201,91,59,5000,1000000
10120104,101201,30,110,1000,1000000
10120201,101202,11,162,1,1000000
10120202,101202,11,163,1,1000000
10120203,101202,93,44,2,1000000
10120204,101202,91,59,3000,1000000
10120205,101202,30,110,500,1000000
10120301,101203,11,160,1,1000000
10120302,101203,11,161,1,1000000
10120303,101203,91,59,1500,1000000
10120304,101203,30,110,300,1000000
10130101,101301,102,0,5,1000000
10130102,101301,93,44,3,1000000
10130103,101301,91,59,5000,1000000
10130104,101301,30,110,1000,1000000
10130201,101302,11,162,1,1000000
10130202,101302,11,163,1,1000000
10130203,101302,93,44,2,1000000
10130204,101302,91,59,3000,1000000
10130205,101302,30,110,500,1000000
10130301,101303,11,160,1,1000000
10130302,101303,11,161,1,1000000
10130303,101303,91,59,1500,1000000
10130304,101303,30,110,300,1000000
10140101,101401,102,0,5,1000000
10140102,101401,93,44,3,1000000
10140103,101401,91,59,5000,1000000
10140104,101401,30,110,1000,1000000
10140201,101402,11,162,1,1000000
10140202,101402,11,163,1,1000000
10140203,101402,93,44,2,1000000
10140204,101402,91,59,3000,1000000
10140205,101402,30,110,500,1000000
10140301,101403,11,160,1,1000000
10140302,101403,11,161,1,1000000
10140303,101403,91,59,1500,1000000
10140304,101403,30,110,300,1000000
10150101,101501,102,0,5,1000000
10150102,101501,93,44,3,1000000
10150103,101501,91,59,5000,1000000
10150104,101501,30,110,1000,1000000
10150201,101502,11,162,1,1000000
10150202,101502,11,163,1,1000000
10150203,101502,93,44,2,1000000
10150204,101502,91,59,3000,1000000
10150205,101502,30,110,500,1000000
10150301,101503,11,160,1,1000000
10150302,101503,11,161,1,1000000
10150303,101503,91,59,1500,1000000
10150304,101503,30,110,300,1000000
10160101,101601,102,0,5,1000000
10160102,101601,93,44,3,1000000
10160103,101601,91,59,5000,1000000
10160104,101601,30,110,1000,1000000
10160201,101602,11,162,1,1000000
10160202,101602,11,163,1,1000000
10160203,101602,93,44,2,1000000
10160204,101602,91,59,3000,1000000
10160205,101602,30,110,500,1000000
10160301,101603,11,160,1,1000000
10160302,101603,11,161,1,1000000
10160303,101603,91,59,1500,1000000
10160304,101603,30,110,300,1000000
10170101,101701,102,0,5,1000000
10170102,101701,93,44,3,1000000
10170103,101701,91,59,5000,1000000
10170104,101701,30,110,1000,1000000
10170201,101702,11,162,1,1000000
10170202,101702,11,163,1,1000000
10170203,101702,93,44,2,1000000
10170204,101702,91,59,3000,1000000
10170205,101702,30,110,500,1000000
10170301,101703,11,160,1,1000000
10170302,101703,11,161,1,1000000
10170303,101703,91,59,1500,1000000
10170304,101703,30,110,300,1000000
10180101,101801,102,0,5,1000000
10180102,101801,93,44,3,1000000
10180103,101801,91,59,5000,1000000
10180104,101801,30,110,1000,1000000
10180201,101802,11,162,1,1000000
10180202,101802,11,163,1,1000000
10180203,101802,93,44,2,1000000
10180204,101802,91,59,3000,1000000
10180205,101802,30,110,500,1000000
10180301,101803,11,160,1,1000000
10180302,101803,11,161,1,1000000
10180303,101803,91,59,1500,1000000
10180304,101803,30,110,300,1000000
10190101,101901,102,0,5,1000000
10190102,101901,93,44,3,1000000
10190103,101901,91,59,5000,1000000
10190104,101901,30,110,1000,1000000
10190201,101902,11,162,1,1000000
10190202,101902,11,163,1,1000000
10190203,101902,93,44,2,1000000
10190204,101902,91,59,3000,1000000
10190205,101902,30,110,500,1000000
10190301,101903,11,160,1,1000000
10190302,101903,11,161,1,1000000
10190303,101903,91,59,1500,1000000
10190304,101903,30,110,300,1000000
10200101,102001,102,0,5,1000000
10200102,102001,93,44,3,1000000
10200103,102001,91,59,5000,1000000
10200104,102001,30,110,1000,1000000
10200201,102002,11,162,1,1000000
10200202,102002,11,163,1,1000000
10200203,102002,93,44,2,1000000
10200204,102002,91,59,3000,1000000
10200205,102002,30,110,500,1000000
10200301,102003,11,160,1,1000000
10200302,102003,11,161,1,1000000
10200303,102003,91,59,1500,1000000
10200304,102003,30,110,300,1000000
20010101,200101,102,0,5,1000000
20010102,200101,93,44,3,1000000
20010103,200101,91,59,5000,1000000
20010104,200101,103,98,500,1000000
20010201,200102,11,162,1,1000000
20010202,200102,11,163,1,1000000
20010203,200102,93,44,2,1000000
20010204,200102,91,59,3000,1000000
20010205,200102,103,98,300,1000000
20010301,200103,11,160,1,1000000
20010302,200103,11,161,1,1000000
20010303,200103,91,59,1500,1000000
20010304,200103,103,98,100,1000000
20020101,200201,102,0,5,1000000
20020102,200201,93,44,3,1000000
20020103,200201,91,59,5000,1000000
20020104,200201,103,98,500,1000000
20020201,200202,11,162,1,1000000
20020202,200202,11,163,1,1000000
20020203,200202,93,44,2,1000000
20020204,200202,91,59,3000,1000000
20020205,200202,103,98,300,1000000
20020301,200203,11,160,1,1000000
20020302,200203,11,161,1,1000000
20020303,200203,91,59,1500,1000000
20020304,200203,103,98,100,1000000
20030101,200301,102,0,5,1000000
20030102,200301,93,44,3,1000000
20030103,200301,91,59,5000,1000000
20030104,200301,103,98,500,1000000
20030201,200302,11,162,1,1000000
20030202,200302,11,163,1,1000000
20030203,200302,93,44,2,1000000
20030204,200302,91,59,3000,1000000
20030205,200302,103,98,300,1000000
20030301,200303,11,160,1,1000000
20030302,200303,11,161,1,1000000
20030303,200303,91,59,1500,1000000
20030304,200303,103,98,100,1000000
20040101,200401,102,0,5,1000000
20040102,200401,93,44,3,1000000
20040103,200401,91,59,5000,1000000
20040104,200401,103,98,500,1000000
20040201,200402,11,162,1,1000000
20040202,200402,11,163,1,1000000
20040203,200402,93,44,2,1000000
20040204,200402,91,59,3000,1000000
20040205,200402,103,98,300,1000000
20040301,200403,11,160,1,1000000
20040302,200403,11,161,1,1000000
20040303,200403,91,59,1500,1000000
20040304,200403,103,98,100,1000000
20050101,200501,102,0,5,1000000
20050102,200501,93,44,3,1000000
20050103,200501,91,59,5000,1000000
20050104,200501,103,98,500,1000000
20050201,200502,11,162,1,1000000
20050202,200502,11,163,1,1000000
20050203,200502,93,44,2,1000000
20050204,200502,91,59,3000,1000000
20050205,200502,103,98,300,1000000
20050301,200503,11,160,1,1000000
20050302,200503,11,161,1,1000000
20050303,200503,91,59,1500,1000000
20050304,200503,103,98,100,1000000
20060101,200601,102,0,5,1000000
20060102,200601,93,44,3,1000000
20060103,200601,91,59,5000,1000000
20060104,200601,103,98,500,1000000
20060201,200602,11,162,1,1000000
20060202,200602,11,163,1,1000000
20060203,200602,93,44,2,1000000
20060204,200602,91,59,3000,1000000
20060205,200602,103,98,300,1000000
20060301,200603,11,160,1,1000000
20060302,200603,11,161,1,1000000
20060303,200603,91,59,1500,1000000
20060304,200603,103,98,100,1000000
20070101,200701,102,0,5,1000000
20070102,200701,93,44,3,1000000
20070103,200701,91,59,5000,1000000
20070104,200701,103,98,500,1000000
20070201,200702,11,162,1,1000000
20070202,200702,11,163,1,1000000
20070203,200702,93,44,2,1000000
20070204,200702,91,59,3000,1000000
20070205,200702,103,98,300,1000000
20070301,200703,11,160,1,1000000
20070302,200703,11,161,1,1000000
20070303,200703,91,59,1500,1000000
20070304,200703,103,98,100,1000000
20080101,200801,102,0,5,1000000
20080102,200801,93,44,3,1000000
20080103,200801,91,59,5000,1000000
20080104,200801,103,98,500,1000000
20080201,200802,11,162,1,1000000
20080202,200802,11,163,1,1000000
20080203,200802,93,44,2,1000000
20080204,200802,91,59,3000,1000000
20080205,200802,103,98,300,1000000
20080301,200803,11,160,1,1000000
20080302,200803,11,161,1,1000000
20080303,200803,91,59,1500,1000000
20080304,200803,103,98,100,1000000
20090101,200901,102,0,5,1000000
20090102,200901,93,44,3,1000000
20090103,200901,91,59,5000,1000000
20090104,200901,103,98,500,1000000
20090201,200902,11,162,1,1000000
20090202,200902,11,163,1,1000000
20090203,200902,93,44,2,1000000
20090204,200902,91,59,3000,1000000
20090205,200902,103,98,300,1000000
20090301,200903,11,160,1,1000000
20090302,200903,11,161,1,1000000
20090303,200903,91,59,1500,1000000
20090304,200903,103,98,100,1000000
20100101,201001,102,0,5,1000000
20100102,201001,93,44,3,1000000
20100103,201001,91,59,5000,1000000
20100104,201001,103,98,500,1000000
20100201,201002,11,162,1,1000000
20100202,201002,11,163,1,1000000
20100203,201002,93,44,2,1000000
20100204,201002,91,59,3000,1000000
20100205,201002,103,98,300,1000000
20100301,201003,11,160,1,1000000
20100302,201003,11,161,1,1000000
20100303,201003,91,59,1500,1000000
20100304,201003,103,98,100,1000000
20110101,201101,102,0,5,1000000
20110102,201101,93,44,3,1000000
20110103,201101,91,59,5000,1000000
20110104,201101,103,98,500,1000000
20110201,201102,11,162,1,1000000
20110202,201102,11,163,1,1000000
20110203,201102,93,44,2,1000000
20110204,201102,91,59,3000,1000000
20110205,201102,103,98,300,1000000
20110301,201103,11,160,1,1000000
20110302,201103,11,161,1,1000000
20110303,201103,91,59,1500,1000000
20110304,201103,103,98,100,1000000
20120101,201201,102,0,5,1000000
20120102,201201,93,44,3,1000000
