id,group_id,page_index,image_index
1,10001,1,1
2,10002,1,1
3,10002,2,2
4,10003,1,1
5,10004,1,1
6,10004,2,2
7,10004,3,3
8,20001,1,1
9,20002,1,1
10,20003,1,1
11,20004,1,1
12,20005,1,1
13,20006,1,1
14,20007,1,1
15,30001,1,1
16,30002,1,1
17,40001,1,1
18,40001,2,2
19,40001,3,3
20,40002,1,1
21,40002,2,2
22,40002,3,3
23,40003,1,1
24,40004,1,1
25,40005,1,1
26,40005,2,2
27,40005,3,3
28,50001,1,1
29,50001,2,2
30,50002,1,1
31,50002,2,2
32,50003,1,1
33,50004,1,1
34,50004,2,2
35,50005,1,1
36,50006,1,1
37,50007,1,1
38,50008,1,1
39,50009,1,1
40,40006,1,1
41,40007,1,1
42,10005,1,1
43,10005,2,2
44,10005,3,3
45,10005,4,4
46,10005,5,5
47,10006,1,1
48,10006,2,2
49,10006,3,3
50,10006,4,4
51,10006,5,5
52,10007,1,1
53,10007,2,2
54,10007,3,3
55,10007,4,4
56,10008,1,1
57,10008,2,2
58,10008,3,3
59,40001,4,4
60,30003,1,1
61,60001,1,1
62,60001,2,2
63,60001,3,3
64,60001,4,4
65,60001,5,5
66,60001,6,6
67,60002,1,1
68,60002,2,2
69,60002,3,3
70,10205,1,1
71,10209,1,1
72,20008,1,1
73,40008,1,1
74,40008,2,2
75,70001,1,1
76,70001,2,2
77,40008,3,3
78,70001,3,3
80,80001,1,1
81,80001,2,2
82,80001,3,3
83,10205,2,2
84,10205,3,3
86,10205,4,4
87,50010,1,1
88,10205,5,5
89,10205,6,6
90,60001,7,7
91,20009,1,1
92,90001,1,1
93,90001,2,2
94,100001,1,1
95,100002,1,1
96,10301,1,1
97,10301,2,2
98,10301,3,3
99,10301,4,4
100,10302,1,1
101,10303,1,1
102,40010,1,1
103,40010,2,2
104,40010,3,3
105,40010,4,4
106,40009,1,1
107,100001,2,2
108,100001,3,3
109,20010,1,1
110,110001,1,1
111,110001,2,2
112,110001,3,3
113,110001,4,4
114,110001,5,5
115,40011,1,1
116,50011,1,1
117,50011,2,2
118,50012,1,1
119,50012,2,2
120,10304,1,1
121,10001,2,2
122,10301,5,5
123,120001,1,1
124,90002,1,1
125,120001,2,2
126,70002,1,1
127,70002,2,2
128,70002,3,3
129,70002,4,4
130,70003,1,1
131,50013,1,1
132,90001,3,3
133,10401,1,1
134,10401,2,2
135,10401,3,3
136,10401,4,4
137,10402,1,1
138,10402,2,2
139,10402,3,3
140,10403,1,1
141,10403,2,2
142,80002,1,1
143,80002,2,2
144,80002,3,3
145,130001,1,1
146,130001,2,2
147,130001,3,3
148,130001,4,4
149,130001,5,5
150,130001,6,6
151,100001,4,4
152,90003,1,1
153,50014,1,1
154,50014,2,2
155,50014,3,3
156,90003,2,2
157,121001,1,1
158,121002,1,1
159,10005,6,6
160,10005,7,7
161,10005,8,8
162,10205,7,7
163,10205,8,8
164,121002,2,2
165,121002,3,3
166,10501,1,1
167,10501,2,2
168,10501,3,3
169,10501,4,4
170,10501,5,5
171,10502,1,1
172,140001,1,1
176,150001,1,1
177,160001,1,1
178,160001,2,2
179,10008,4,4
180,10009,1,1
181,10009,2,2
182,10009,3,3
183,10009,4,4
184,150001,2,2
185,150001,3,3
186,160001,3,3
187,141001,1,1
188,142001,1,1
189,50015,1,1
190,140001,2,2
191,140001,3,3
192,140001,4,4
193,140001,7,7
194,140001,8,8
195,140001,9,9
196,80003,1,1
197,80003,2,2
198,80003,3,3
199,50015,2,2
200,50016,1,1
201,10601,1,1
202,10601,2,2
203,10601,3,3
204,10601,4,4
205,10602,1,1
206,10602,2,2
207,10603,1,1
208,10603,2,2
209,10604,1,1
210,10604,2,2
211,130001,7,7
212,80004,1,1
213,80004,2,2
214,80004,3,3
215,170001,1,1
216,170001,2,2
217,170001,3,3
218,50017,1,1
219,50017,2,2
220,180001,1,1
221,180001,2,2
222,180001,3,3
223,180001,4,4
224,180001,5,5
225,180001,6,6
226,10701,1,1
227,10701,2,2
228,10701,3,3
229,10701,4,4
230,10701,5,5
231,10701,6,6
232,10702,1,1
233,10703,1,1
234,10704,1,1
235,10704,2,2
236,10704,3,3
237,10704,4,4
238,190001,1,1
239,180001,7,7
240,10801,1,1
241,10801,2,2
242,10801,3,3
243,10801,4,5
244,10802,1,1
245,10803,1,1
246,10804,1,1
247,10805,1,1
248,10805,2,2
249,70004,1,1
250,70004,2,2
251,70004,3,3
252,70004,4,4
253,70004,5,5
254,50018,1,1
255,50018,2,2
256,50019,1,1
257,50020,1,1
258,10901,1,1
259,10901,2,2
260,10901,3,3
261,10901,4,4
262,10902,1,1
263,10902,2,2
264,10903,1,1
265,50001,3,3
266,11001,1,1
267,11001,2,2
268,11001,3,3
269,11001,4,4
270,11002,1,1
271,11003,1,1
272,11004,1,1
273,50021,1,1
274,50021,2,2
275,10010,1,1
276,10005,9,9
277,11001,5,5
278,11002,2,2
279,11101,1,1
280,11101,2,2
281,11101,3,3
282,11101,4,4
283,11101,5,5
284,11102,1,1
285,11102,2,2
286,11103,1,1
287,11104,1,1
288,11105,1,1
289,50023,1,1
290,11106,1,1
291,11106,2,2
292,10011,1,1
293,50024,1,1
294,50024,2,2
295,50025,1,1
296,50025,2,2
297,50025,3,3
298,50025,4,4
299,50025,5,1
300,50025,6,2
301,50025,7,5
302,50027,1,1
303,50027,2,2
304,50027,3,3
305,50027,4,1
306,50027,5,4
307,10012,1,1
308,10013,1,1
309,10013,2,2
310,170002,1,1
311,170002,2,2
312,170002,3,3
313,170002,4,4
314,50026,1,1
315,11201,1,1
316,11201,2,2
317,11201,3,3
318,11201,4,4
319,11202,1,1
320,11203,1,1
321,11204,1,1
322,11205,1,1
323,11205,2,2
324,11205,3,3
325,11206,1,1
326,11206,2,2
327,11206,3,3
328,11207,1,1
329,50028,1,1
330,50029,1,1
331,50029,2,2
332,11201,5,5
333,11201,6,6
334,11301,1,1
335,11302,1,1
336,11303,1,1
337,11304,1,1
338,50030,1,1
339,50030,2,2
340,50031,1,1
341,50032,1,1
342,50032,2,2
343,20011,1,1
344,20011,2,2
345,20012,1,1
346,20013,1,1
347,140001,5,5
348,140001,6,6
349,100001,5,5
350,11301,2,2
351,11302,2,2
352,11302,3,3
353,11302,4,4
354,11302,5,5
355,11302,6,6
356,11302,7,7
357,40012,1,1
358,40012,2,2
359,40012,3,3
360,40012,4,4
361,10014,1,1
362,10014,2,2
363,11401,1,1
364,11401,2,2
365,11401,3,3
366,11401,4,4
367,11401,5,5
368,11402,1,1
369,11403,1,1
370,11403,2,2
371,11404,1,1
372,11405,1,1
373,11406,1,1
